Strike,Dip,Rake,Misfit
0,55,-60,0.0634329761316
0,55,-50,0.0893627277341
0,60,-50,0.0276870587383
0,65,-40,0.0293996915441
0,70,-40,0.0570368419107
0,75,-30,0.0548469996425
0,80,-30,0.0102462046153
0,85,-30,0.0429397601034
5,65,-50,0.050950539167
5,70,-50,0.0915068716539
5,75,-40,0.0738291280432
5,80,-40,0.0446455435998
5,85,-40,0.0619759619257
10,75,-50,0.0802313591933
135,55,-100,0.0520635201405
140,50,-100,0.0621506147187
140,55,-90,0.0485174720138
145,50,-100,0.0388844438364
145,50,-90,0.0799241462778
145,55,-90,0.054737763903
145,55,-80,0.0527558935117
150,50,-100,0.0918097436164
150,50,-90,0.0520069930113
150,50,-80,0.0913714351972
150,55,-80,0.0292421507067
150,55,-70,0.0568233091253
150,60,-70,0.0639396533518
150,60,-60,0.0833365371691
155,50,-90,0.0828652927889
155,50,-80,0.0708842838226
155,55,-70,0.0355502780594
155,55,-60,0.0589957214856
155,60,-60,0.0325109016005
155,60,-50,0.0627419814439
155,65,-50,0.0728335144516
160,50,-70,0.0886049513422
160,55,-60,0.0583656331686
160,55,-50,0.0638509981647
160,60,-50,0.0367942442724
160,60,-40,0.0438033612482
160,65,-40,0.0303068466498
160,65,-30,0.0916794145336
165,55,-50,0.0860450004563
165,55,-40,0.0783084491027
165,60,-40,0.0692997888919
165,60,-30,0.0476314196483
165,60,-20,0.0873036951545
165,65,-30,0.0381688918962
165,65,-20,0.0489328307388
165,70,-30,0.0903201453911
165,70,-20,0.0339561651796
165,75,-20,0.0754275982134
170,60,-20,0.0820752917683
170,60,-10,0.0782009311777
170,65,-20,0.0868419722123
170,65,-10,0.0471605508482
170,70,-10,0.031783478963
170,70,0,0.0784642271602
170,75,-10,0.0565981671961
170,75,0,0.0693657012066
170,80,0,0.0759837972664
175,65,10,0.0808217729631
175,70,10,0.0566943631757
175,75,10,0.0311243904368
175,80,10,0.00861924062278
175,85,10,0.031792136499
