Strike,Dip,Rake,Misfit
159,85,54,0.000300334
149,88,74,0.00107128
153,87,66,0.002329245
156,86,60,0.002492056
150,88,72,0.002962484
175,77,28,0.00460325
148,88,76,0.004744635
172,79,32,0.004842744
144,89,84,0.004875002
152,87,68,0.004934255
179,74,24,0.004956898
162,84,48,0.005017687
168,81,38,0.005064935
143,89,86,0.005289021
145,89,82,0.005582368
171,79,34,0.005867594
154,87,64,0.005935913
158,85,56,0.005979018
157,86,58,0.005997862
155,86,62,0.006400672
166,82,42,0.006499148
142,89,88,0.006559097
160,85,52,0.006680018
161,84,50,0.006735826
151,88,70,0.007069393
146,89,80,0.007204551
165,82,44,0.007712401
137,90,98,0.008213703
141,89,90,0.008309965
147,88,78,0.008328836
178,75,24,0.008862942
169,81,36,0.009225193
151,87,70,0.009309206
174,77,30,0.009402981
147,89,78,0.009420411
176,76,28,0.009958022
163,84,46,0.009995286
