Strike,Dip,Rake,Misfit Val
35,5,-100,0.0832705014229
45,5,-90,0.0701752754494
55,5,-80,0.0628514083446
65,5,-70,0.0639933063125
75,5,-60,0.0730445178485
85,5,-50,0.0869565898656
90,10,-50,0.0492486891926
100,10,-40,0.0304876505185
110,10,-30,0.0640228057111
115,15,-30,0.0416053716132
120,20,-30,0.077332014578
125,15,-20,0.0909463327457
125,20,-20,0.0811859582169
130,25,-20,0.0711586908811
135,30,-20,0.0751852444751
140,35,-20,0.0826332021432
145,40,-20,0.086636243129
150,45,-20,0.08554775767
155,50,-20,0.0819959874709
160,55,-20,0.0825621228508
