Strike,Dip,Rake,Misfit
0,10,-80,0.213148156199
0,10,-70,0.1778798381
0,10,-60,0.189705233776
0,15,-100,0.183049731705
0,15,-90,0.108331202102
0,15,-80,0.0709204023699
0,15,-70,0.138832593662
0,20,-100,0.0402491635476
0,20,-90,0.0686948535843
0,20,-80,0.183312196355
0,25,-100,0.139769049634
0,85,50,0.225956688845
5,10,-70,0.212609561654
5,10,-60,0.198556937135
5,10,-50,0.234662801891
5,15,-100,0.215909200713
5,15,-90,0.151744509021
5,15,-80,0.0992953180511
5,15,-70,0.100648311208
5,15,-60,0.177952316757
5,20,-100,0.0837711300869
5,20,-90,0.00552510405126
5,20,-80,0.0985435832389
5,20,-70,0.206836707409
5,25,-100,0.0936640015526
5,25,-90,0.177008150679
10,10,-60,0.226854707655
10,10,-50,0.233659679581
10,15,-100,0.240392601599
10,15,-90,0.186855982025
10,15,-80,0.140017007839
10,15,-70,0.114303496929
10,15,-60,0.139561231334
10,15,-50,0.221820720031
10,20,-100,0.117364291728
10,20,-90,0.046330954505
10,20,-80,0.0329330371083
10,20,-70,0.118724133705
10,20,-60,0.22261646776
10,25,-100,0.077629369788
10,25,-90,0.115463556222
10,25,-80,0.193211627529
10,30,-100,0.202599949615
15,15,-90,0.213541869455
15,15,-80,0.175597516267
15,15,-70,0.149102751782
15,15,-60,0.147896576281
15,15,-50,0.188276126554
15,20,-100,0.141639263928
15,20,-90,0.0845307097221
15,20,-80,0.0345339099631
15,20,-70,0.0609851405804
15,20,-60,0.138188101115
15,20,-50,0.240285622643
15,25,-100,0.0862896285675
15,25,-90,0.0781440609572
15,25,-80,0.120333831693
15,25,-70,0.190476397802
15,30,-100,0.178132484311
15,30,-90,0.224049453265
20,15,-90,0.232655812915
20,15,-80,0.203393920191
20,15,-70,0.183036058498
20,15,-60,0.177597242064
20,15,-50,0.196767386294
20,20,-100,0.158606712586
20,20,-90,0.112409311702
20,20,-80,0.0726726657654
20,20,-70,0.0598168703394
