,AZT,DPT,AZN,DPN,AZP,DPP,Strike,Dip,Rake,Misfit,Extra
15,34.7558829221,35.9137385306,156.471606274,35.9746455315,275.649473978,33.8869628028,64,36,178,0.0208448569268,"[262619,,array([,4.47987512,,-2.20399132,,,0.31911238]),,array([,0.89682653,,-0.43440035,,,0.0836571,])]"
85,35.2088662906,32.9882906189,170.62186102,47.6525772307,288.920403982,23.3684243369,164,84,42,0.021502659582,"[671871,,array([,4.39073382,,-2.13660969,,,0.30474529]),,array([,0.89682653,,-0.43440035,,,0.0836571,])]"
20,35.2596825913,35.0954341283,164.050047951,41.7180118025,282.903766276,28.426137258,66,42,174,0.0179817439228,"[271257,,array([,4.47535973,,-2.10288178,,,0.34750824]),,array([,0.89682653,,-0.43440035,,,0.0836571,])]"
19,35.4258229712,34.9863240576,161.215674299,39.8829873456,280.912123442,30.6618011323,66,40,176,0.00831760042841,"[271078,,array([,4.44843908,,-2.1987527,,,,0.40453292]),,array([,0.89682653,,-0.43440035,,,0.0836571,])]"
7,35.4349488229,37.761243907,152.0,30.0,268.565051177,37.761243907,62,30,-180,0.0217044748203,"[253800,,array([,4.55140015,,-2.15832307,,,0.32118763]),,array([,0.89682653,,-0.43440035,,,0.0836571,])]"
83,35.6470295534,35.5593524264,159.561866963,37.9727358229,278.944317417,32.1535874388,158,88,52,0.00651119097697,"[647936,,array([,4.46812638,,-2.1996891,,,,0.42457917]),,array([,0.89682653,,-0.43440035,,,0.0836571,])]"
29,35.6577476405,31.9991104552,172.333221437,49.3399955401,290.824086057,22.2799802005,70,50,172,0.0206791648525,"[288176,,array([,4.33571017,,-2.20088451,,,0.36393262]),,array([,0.89682653,,-0.43440035,,,0.0836571,])]"
84,35.7497394669,33.830388927,165.853795909,43.8653717835,285.544567638,27.2636519292,162,86,46,0.0126793146476,"[663953,,array([,4.40570545,,-2.19978833,,,0.43404898]),,array([,0.89682653,,-0.43440035,,,0.0836571,])]"
25,35.8390865298,34.1933963947,169.437495047,45.4255620344,287.489786281,24.8603008871,68,46,172,0.0137013055169,"[279716,,array([,4.44716953,,-2.08619136,,,0.38357945]),,array([,0.89682653,,-0.43440035,,,0.0836571,])]"
14,35.9580666304,36.9454273792,158.940042442,35.8986617797,276.854072706,32.8927861707,64,36,176,0.0210525098755,"[262618,,array([,4.54117256,,-2.08294287,,,0.40896222]),,array([,0.89682653,,-0.43440035,,,0.0836571,])]"
86,36.0361200652,34.2232947407,170.177780024,45.6759231016,287.983360786,24.4937530381,164,84,44,0.0147560648426,"[671872,,array([,4.45041079,,-2.0760637,,,,0.39981692]),,array([,0.89682653,,-0.43440035,,,0.0836571,])]"
13,36.0503328262,36.8711630183,156.41199037,33.9764608625,274.476146819,34.9190486614,64,34,178,0.00411244629704,"[262439,,array([,4.51917792,,-2.16948933,,,0.43185979]),,array([,0.89682653,,-0.43440035,,,0.0836571,])]"
12,36.0800217871,36.8455908816,154.0,32.0,271.919978213,36.8455908816,64,32,-180,0.0124603210053,"[262080,,array([,4.50036269,,-2.24775841,,,0.43732648]),,array([,0.89682653,,-0.43440035,,,0.0836571,])]"
24,36.0820849617,34.0553956475,166.31278283,43.6976659602,285.743110124,27.2133993457,68,44,174,0.0134401187967,"[279537,,array([,4.41726177,,-2.18393589,,,0.46709245]),,array([,0.89682653,,-0.43440035,,,0.0836571,])]"
32,36.3271357033,30.995072648,178.698475592,52.8186057424,294.773141187,18.4386783575,72,54,170,0.0214072297198,"[296635,,array([,4.29859561,,-2.18734844,,,0.36281936]),,array([,0.89682653,,-0.43440035,,,0.0836571,])]"
28,36.3951228876,33.2696763803,175.339814499,48.97353863,291.707511931,21.1283605977,70,50,170,0.0133663671977,"[288175,,array([,4.41721659,,-2.06933746,,,0.39265431]),,array([,0.89682653,,-0.43440035,,,0.0836571,])]"
172,36.4756021376,38.3821068713,147.109795089,23.984461103,260.801685821,42.0870074157,328,88,-66,0.0188462936353,"[1336377,,array([,4.54470591,,-2.27566481,,,0.35752532]),,array([,0.89682653,,-0.43440035,,,0.0836571,])]"
3,36.6333884445,38.8975496568,145.532640325,21.8732439152,257.600747558,43.1025451437,62,22,-174,0.0209563527562,"[253083,,array([,4.56629822,,-2.2515436,,,,0.32630668]),,array([,0.89682653,,-0.43440035,,,0.0836571,])]"
18,36.6613233687,35.9851407298,161.071052852,37.8910371308,279.911675263,31.7921990343,66,38,176,0.0212662687955,"[270898,,array([,4.48823644,,-2.16520992,,,0.52498017]),,array([,0.89682653,,-0.43440035,,,0.0836571,])]"
27,36.7187863832,33.1121677286,171.861698758,47.3843852102,290.180700984,23.5790365634,70,48,172,0.0202472226917,"[287996,,array([,4.3855007,,,-2.16442637,,,0.50361119]),,array([,0.89682653,,-0.43440035,,,0.0836571,])]"
4,36.7509113906,38.7491418234,147.622862796,23.9378745766,260.975456481,41.761898589,62,24,-176,0.0107569557708,"[253262,,array([,4.56772029,,-2.22123054,,,0.37199797]),,array([,0.89682653,,-0.43440035,,,0.0836571,])]"
5,36.8253053963,38.6620343678,149.775011024,25.9829778826,264.158697635,40.2678212534,62,26,-178,0.00787318813736,"[253441,,array([,4.57412342,,-2.17647459,,,0.40617012]),,array([,0.89682653,,-0.43440035,,,0.0836571,])]"
6,36.8512796205,38.6336317884,152.0,28.0,267.148720379,38.6336317884,62,28,-180,0.0181892504272,"[253620,,array([,4.58516496,,-2.11856048,,,0.42721123]),,array([,0.89682653,,-0.43440035,,,0.0836571,])]"
31,36.9252614061,32.3144285628,181.881146826,52.3107290533,295.592228674,17.2588259341,72,54,168,0.0139597819981,"[296634,,array([,4.38399575,,-2.05778023,,,0.37326658]),,array([,0.89682653,,-0.43440035,,,0.0836571,])]"
87,36.9398997266,31.9724861403,178.100350741,51.2918889303,294.218486305,19.432218863,168,82,38,0.0117257825774,"[687889,,array([,4.34744751,,-2.14395711,,,0.45268954]),,array([,0.89682653,,-0.43440035,,,0.0836571,])]"
89,36.9572440569,30.8097979693,184.436956597,54.7302565238,297.461928001,15.4628871949,170,80,34,0.014869743322,"[695807,,array([,4.3040036,,,-2.1379775,,,,0.34996396]),,array([,0.89682653,,-0.43440035,,,0.0836571,])]"
35,37.4287897604,31.3175306677,189.197072128,55.3718662933,299.175178,13.2757888445,74,58,166,0.0185416785481,"[305093,,array([,4.34559227,,-2.05711851,,,0.32502103]),,array([,0.89682653,,-0.43440035,,,0.0836571,])]"
90,37.4952411329,32.1474828901,183.44188242,52.8186057424,296.662192564,16.6500163853,170,80,36,0.0115550988808,"[695808,,array([,4.37391636,,-2.06540444,,,0.43541365]),,array([,0.89682653,,-0.43440035,,,0.0836571,])]"
92,37.6651778013,30.8997140714,190.403741715,56.0490731613,299.9265741,12.6799866022,172,78,32,0.0125354919977,"[703726,,array([,4.32217774,,-2.08097495,,,0.34329654]),,array([,0.89682653,,-0.43440035,,,0.0836571,])]"
170,37.6671130295,39.7456464548,145.272246491,19.9872968445,255.485805942,43.5301292724,326,88,-70,0.0149411533164,"[1328275,,array([,4.60668132,,-2.17373087,,,0.37144202]),,array([,0.89682653,,-0.43440035,,,0.0836571,])]"
