,AZT,DPT,AZN,DPN,AZP,DPP,Strike,Dip,Rake,Misfit,Extra
48,69.85,39.8849725932,193.621473959,33.6247212948,308.262771061,32.0857434919,94,34,172,0.00168289635082,"[383936, array([ 4.2395982 , -2.18283587,  1.97393235]), array([ 0.82104266, -0.42240725,  0.38400659])]"
287,84.81,41.5566425022,348.19530347,7.41406635862,250.03577139,47.484147943,236,8,-22,0.00218779767522,"[956599, array([ 4.07394254, -2.10726272,  1.91202139]), array([ 0.82104266, -0.42240725,  0.38400659])]"
72,68.3,35.6195795657,207.623012219,46.6275802979,322.049677086,21.339458565,100,48,168,0.00287915383918,"[409494, array([ 4.12060574, -2.13592331,  1.93332187]), array([ 0.82104266, -0.42240725,  0.38400659])]"
21,78.34,43.456131881,177.938498497,9.97539103803,278.005865654,44.8238474952,92,10,-176,0.00357440272781,"[373502, array([ 4.23213198, -2.15749093,  1.98126176]), array([ 0.82104266, -0.42240725,  0.38400659])]"
187,70.54,40.3552632859,192.49586765,31.912828613,306.632626946,33.2898359913,190,86,58,0.0044609502546,"[777359, array([ 4.23979368, -2.18301695,  2.00825151]), array([ 0.82104266, -0.42240725,  0.38400659])]"
315,86.16,40.1445662805,344.410990582,13.5760485086,239.57566907,46.6761289618,240,14,-14,0.00474104924465,"[973343, array([ 4.01181326, -2.08036621,  1.85995344]), array([ 0.82104266, -0.42240725,  0.38400659])]"
320,87.15,38.4965214801,340.627584138,19.6834980794,229.707077775,44.9475293618,240,20,-10,0.00511463411147,"[973885, array([ 3.94364197, -2.03888263,  1.82157586]), array([ 0.82104266, -0.42240725,  0.38400659])]"
95,80.57,43.1382859373,173.944900402,3.59461411363,267.758712077,46.6360705031,110,4,-154,0.00514815020466,"[445873, array([ 4.19413364, -2.15586197,  1.93289998]), array([ 0.82104266, -0.42240725,  0.38400659])]"
99,80.64,43.0179531717,173.942035705,3.53115712308,267.705101797,46.7642299272,112,4,-152,0.00532250599525,"[453974, array([ 4.18286608, -2.17477654,  1.94114175]), array([ 0.82104266, -0.42240725,  0.38400659])]"
35,71.23,41.2265602093,188.788426007,27.8332399499,301.460327334,36.1313436228,92,28,174,0.0054644910926,"[375297, array([ 4.26189725, -2.20508971,  1.96742532]), array([ 0.82104266, -0.42240725,  0.38400659])]"
207,68.61,33.6116061108,217.969315356,52.3107290533,328.324541725,15.0421002303,202,78,36,0.00558432495407,"[825228, array([ 4.06171958, -2.07105977,  1.87232519]), array([ 0.82104266, -0.42240725,  0.38400659])]"
8,76.4,43.3223891164,180.0,14.0,283.599807015,43.3223891164,90,14,-180,0.00559336286625,"[365760, array([ 4.26036318, -2.17098642,  1.96461262]), array([ 0.82104266, -0.42240725,  0.38400659])]"
292,87.73,33.961502854,330.821313726,33.9059111562,209.31651779,37.8648092719,236,34,-4,0.0061550147933,"[958948, array([ 3.76713902, -1.9242628 ,  1.78683562]), array([ 0.82104266, -0.42240725,  0.38400659])]"
116,77.96,28.0972748436,287.260422473,58.5250511108,175.057038058,13.0260664492,124,80,150,0.00690318836897,"[509565, array([ 3.71792608, -1.88352716,  1.75199819]), array([ 0.82104266, -0.42240725,  0.38400659])]"
103,72.8,29.3903486562,253.751099064,60.6063049856,163.032231588,0.404939423202,114,70,158,0.00710091482309,"[468169, array([ 3.84923168, -1.947431  ,  1.81108149]), array([ 0.82104266, -0.42240725,  0.38400659])]"
283,86.76,32.8208908232,326.537407632,37.9727358229,203.522388369,34.9178137969,234,38,-2,0.00725937023555,"[951209, array([ 3.75319639, -1.89407889,  1.75315782]), array([ 0.82104266, -0.42240725,  0.38400659])]"
101,71.62,29.282851519,246.174931651,60.6063049856,340.316696079,2.32984742547,112,68,160,0.00769788436349,"[459890, array([ 3.84515652, -2.01818072,  1.79850195]), array([ 0.82104266, -0.42240725,  0.38400659])]"
12,74.57,42.8533595186,182.102834306,17.9886596792,288.902074602,41.6725594368,90,18,178,0.00776664440021,"[366299, array([ 4.26916336, -2.20168848,  1.95440209]), array([ 0.82104266, -0.42240725,  0.38400659])]"
118,78.77,28.0000998509,293.443824642,57.1184732192,177.444321744,15.8221740396,126,82,148,0.00795884511947,"[517844, array([ 3.70083908, -1.91169019,  1.6943228 ]), array([ 0.82104266, -0.42240725,  0.38400659])]"
306,87.46,36.1313436228,334.788426007,27.8332399499,217.230466858,41.2265602093,238,28,-6,0.00821590203869,"[966507, array([ 3.8669734 , -1.96576006,  1.76921862]), array([ 0.82104266, -0.42240725,  0.38400659])]"
91,80.5,43.2609286161,173.948034142,3.65368998384,267.807176185,46.5060208339,108,4,-156,0.00822874573449,"[437772, array([ 4.20543542, -2.13640506,  1.92464575]), array([ 0.82104266, -0.42240725,  0.38400659])]"
68,80.42,43.2633005831,175.925941029,5.82114904839,272.017257456,46.1465556817,100,6,-166,0.00830632463036,"[405547, array([ 4.1846955 , -2.15749806,  2.00389671]), array([ 0.82104266, -0.42240725,  0.38400659])]"
102,80.71,42.900062403,173.939453981,3.46339714439,267.646367414,46.8903295463,114,4,-150,0.00840399914667,"[462075, array([ 4.17165085, -2.1931276 ,  1.94935992]), array([ 0.82104266, -0.42240725,  0.38400659])]"
238,82.86,42.3516220038,350.068822979,3.06314827421,256.722755197,47.4841130093,220,4,-40,0.00840625690488,"[891430, array([ 4.13911048, -2.13558308,  1.89166122]), array([ 0.82104266, -0.42240725,  0.38400659])]"
294,84.95,41.8026524839,348.180761513,7.51466414565,249.987205656,47.2129617236,238,8,-20,0.00847131842986,"[964700, array([ 4.09097465, -2.05806063,  1.91188271]), array([ 0.82104266, -0.42240725,  0.38400659])]"
58,68.63,38.3600870788,198.962479,39.2734502073,314.230260193,27.5646214908,96,40,170,0.0086307384704,"[392575, array([ 4.2196255 , -2.14590133,  1.92751977]), array([ 0.82104266, -0.42240725,  0.38400659])]"
242,82.95,42.4554418384,350.067814459,3.15107141932,256.639052054,47.3707953875,222,4,-38,0.00866194258249,"[899531, array([ 4.14573804, -2.11373405,  1.89197705]), array([ 0.82104266, -0.42240725,  0.38400659])]"
59,80.34,43.4614084615,175.935832025,5.86841998017,272.032630807,45.9390563727,98,6,-168,0.0086751489356,"[397446, array([ 4.20245263, -2.12522426,  1.99088867]), array([ 0.82104266, -0.42240725,  0.38400659])]"
76,68.62,34.7599302786,214.046756626,49.8717275296,325.998443278,17.4898984574,102,52,166,0.0087683750896,"[417953, array([ 4.10433228, -2.06271758,  1.91465734]), array([ 0.82104266, -0.42240725,  0.38400659])]"
