,AZT,DPT,AZN,DPN,AZP,DPP,Strike,Dip,Rake,Misfit,Extra
139,16.64,43.0179531717,109.942035705,3.53115712308,203.705101797,46.7642299272,48,4,-152,0.000663724781296,"[194774, array([ 4.41379502, -1.59424532, -1.71640661]), array([ 0.88304528, -0.31909995, -0.34410209])]"
47,13.97,39.947698745,119.594043671,17.8189179115,228.114686584,44.6608578692,38,18,-172,0.00076990167609,"[155524, array([ 4.28878153, -1.54946131, -1.67516314]), array([ 0.88304528, -0.31909995, -0.34410209])]"
594,23.9,44.0542228317,275.693654269,17.8980461353,169.673063052,40.5158369684,192,18,6,0.0029581589163,"[779313, array([ 4.54459649, -1.64454347, -1.75517286]), array([ 0.88304528, -0.31909995, -0.34410209])]"
312,23.73,44.1681532917,275.350320413,17.9886596792,169.339333818,40.3466986118,96,88,108,0.00314951402668,"[396864, array([ 4.54522796, -1.62528498, -1.76813895]), array([ 0.88304528, -0.31909995, -0.34410209])]"
37,14.99,41.8097395515,113.792709855,9.70004098525,214.191098647,46.5578737013,38,10,-166,0.00334831538974,"[154807, array([ 4.35205059, -1.58173152, -1.7121067 ]), array([ 0.88304528, -0.31909995, -0.34410209])]"
436,27.31,33.3908638194,210.413119164,56.5706016881,118.253752962,1.42479870639,168,66,24,0.00385730276146,"[686442, array([ 4.30430374, -1.5753786 , -1.67825609]), array([ 0.88304528, -0.31909995, -0.34410209])]"
587,21.86,44.1696760045,279.95535632,11.9925812317,178.385352403,43.3555812775,192,12,2,0.00480854154112,"[778771, array([ 4.51683189, -1.6531135 , -1.74693741]), array([ 0.88304528, -0.31909995, -0.34410209])]"
152,16.71,42.900062403,109.939453981,3.46339714439,203.646367414,46.8903295463,50,4,-150,0.00490503877509,"[202875, array([ 4.40844645, -1.61877898, -1.71681256]), array([ 0.88304528, -0.31909995, -0.34410209])]"
530,19.83,44.0676471996,284.032806609,5.96701169086,187.967010698,45.3130093969,188,6,-6,0.00512202286298,"[762027, array([ 4.49018855, -1.62699585, -1.72292803]), array([ 0.88304528, -0.31909995, -0.34410209])]"
123,16.57,43.1382859373,109.944900402,3.59461411362,203.758712077,46.6360705031,46,4,-154,0.00522068343021,"[186673, array([ 4.41927239, -1.56939372, -1.71574882]), array([ 0.88304528, -0.31909995, -0.34410209])]"
570,25.76,43.3143999666,271.254120815,23.7519793435,161.669813451,37.2970279034,190,24,8,0.0052761717176,"[771754, array([ 4.54633695, -1.67181975, -1.77550936]), array([ 0.88304528, -0.31909995, -0.34410209])]"
273,28.95,40.5563270285,257.794383801,37.5656384239,144.763221581,26.9604144458,84,82,128,0.00547195938015,"[347734, array([ 4.52084132, -1.65485887, -1.78539527]), array([ 0.88304528, -0.31909995, -0.34410209])]"
397,21.49,32.1474828901,167.44188242,52.8186057424,280.662192564,16.6500163853,154,80,36,0.00553873527439,"[631008, array([ 4.18847236, -1.49476327, -1.60922053]), array([ 0.88304528, -0.31909995, -0.34410209])]"
542,27.54,42.3584223639,266.491606634,29.4987042311,154.558551223,33.434170399,188,30,10,0.00577274753463,"[764195, array([ 4.54933933, -1.67266019, -1.76295368]), array([ 0.88304528, -0.31909995, -0.34410209])]"
634,16.22,42.6974619793,111.789835158,5.99633155493,208.184174168,46.675752611,292,88,-84,0.00600739934551,"[1190568, array([ 4.4062511 , -1.57204989, -1.68993641]), array([ 0.88304528, -0.31909995, -0.34410209])]"
238,16.92,43.3314173981,107.98381615,1.11822968946,199.168479028,46.6467245368,74,2,-124,0.00628318478889,"[299908, array([ 4.41776019, -1.60498455, -1.75502376]), array([ 0.88304528, -0.31909995, -0.34410209])]"
233,16.87,43.370346232,107.983399124,1.17541423184,199.226876127,46.6055052201,72,2,-126,0.00641049544732,"[291807, array([ 4.41882437, -1.59582626, -1.75602079]), array([ 0.88304528, -0.31909995, -0.34410209])]"
631,16.14,42.8652873386,109.860175053,3.99755934526,204.136329666,46.8555751683,290,88,-86,0.00645468881025,"[1182467, array([ 4.39340556, -1.60110905, -1.74522479]), array([ 0.88304528, -0.31909995, -0.34410209])]"
243,16.98,43.2944756377,107.984311994,1.05968372362,199.108466786,46.6858933981,76,2,-122,0.00661257164082,"[308009, array([ 4.41682814, -1.61381539, -1.75390016]), array([ 0.88304528, -0.31909995, -0.34410209])]"
40,15.19,41.3829412855,115.739937052,11.7339987949,218.266129582,46.2381641844,38,12,-168,0.0067976501558,"[154986, array([ 4.35310399, -1.58629641, -1.66487142]), array([ 0.88304528, -0.31909995, -0.34410209])]"
228,16.81,43.4112185089,107.983062954,1.23116765348,199.283582841,46.5622902654,70,2,-128,0.00701991668141,"[283706, array([ 4.42001824, -1.58635132, -1.75689   ]), array([ 0.88304528, -0.31909995, -0.34410209])]"
250,17.04,43.2595622835,107.984884238,0.999847679693,199.046917639,46.7229595892,78,2,-120,0.00728953559209,"[316110, array([ 4.4160305 , -1.62230838, -1.75265134]), array([ 0.88304528, -0.31909995, -0.34410209])]"
554,19.86,44.1700930475,282.019638947,7.99509472702,184.024211815,44.7213674946,190,8,-2,0.00729069313698,"[770309, array([ 4.48051166, -1.62998282, -1.7853033 ]), array([ 0.88304528, -0.31909995, -0.34410209])]"
240,29.34,36.4721012727,233.224142576,51.0483774193,128.237468145,11.8073260424,74,74,144,0.00764633333402,"[306522, array([ 4.43527395, -1.56615518, -1.70595858]), array([ 0.88304528, -0.31909995, -0.34410209])]"
220,26.68,33.3908638194,203.586880836,56.5706016881,295.746247038,1.42479870639,66,66,156,0.00793152165475,"[273408, array([ 4.30965283, -1.53000884, -1.64537849]), array([ 0.88304528, -0.31909995, -0.34410209])]"
223,16.76,43.453988337,107.982809281,1.28542199042,199.338527023,46.5171370006,68,2,-130,0.00804600722739,"[275605, array([ 4.42133922, -1.57657093, -1.75763019]), array([ 0.88304528, -0.31909995, -0.34410209])]"
256,17.1,43.2267163351,107.985530091,0.938794464029,198.983912697,46.7578735861,80,2,-118,0.00818663190727,"[324211, array([ 4.41536937, -1.63045351, -1.75127872]), array([ 0.88304528, -0.31909995, -0.34410209])]"
590,21.9,44.2696077742,277.877961345,13.9652040128,174.757625839,42.3897153797,192,14,4,0.00846975542056,"[778952, array([ 4.51166199, -1.63488958, -1.80467756]), array([ 0.88304528, -0.31909995, -0.34410209])]"
516,19.78,43.8638052164,284.043491088,5.9413971666,187.95962284,45.5220262802,186,6,-8,0.00870258502941,"[753926, array([ 4.47674075, -1.66258578, -1.73595475]), array([ 0.88304528, -0.31909995, -0.34410209])]"
467,29.41,36.3277634693,237.066779115,50.3019132154,129.831763448,13.8186906855,176,54,18,0.00872052804992,"[717759, array([ 4.4117709 , -1.63051602, -1.75290095]), array([ 0.88304528, -0.31909995, -0.34410209])]"
651,14.04,39.0900430555,123.192165171,21.9858989571,235.17524329,42.835538293,304,88,-68,0.0088020885044,"[1239176, array([ 4.27730204, -1.50468925, -1.64269192]), array([ 0.88304528, -0.31909995, -0.34410209])]"
509,29.24,40.6648693068,255.971247467,38.5863997713,143.520502866,25.5765751493,184,40,14,0.00880242567371,"[748897, array([ 4.54312714, -1.59786271, -1.74548479]), array([ 0.88304528, -0.31909995, -0.34410209])]"
582,19.92,44.4450799666,-78.0,8.0,184.076861942,44.4450799666,192,8,0,0.00880334933359,"[778410, array([ 4.49823255, -1.58203978, -1.76689994]), array([ 0.88304528, -0.31909995, -0.34410209])]"
411,17.56,43.8021978512,286.016604002,1.61792043071,194.331583091,46.1520889449,160,2,-36,0.00896052023791,"[648252, array([ 4.43989253, -1.58840827, -1.77345531]), array([ 0.88304528, -0.31909995, -0.34410209])]"
416,17.61,43.8582385407,286.016187545,1.6579698209,194.29293666,46.0937615856,162,2,-34,0.00904797962982,"[656353, array([ 4.44412815, -1.57952035, -1.76917331]), array([ 0.88304528, -0.31909995, -0.34410209])]"
100,14.05,36.8723041284,129.69091143,29.9798507651,247.176457461,38.6609986558,42,30,-178,0.00918044217144,"[172801, array([ 4.20687068, -1.47593556, -1.64770348]), array([ 0.88304528, -0.31909995, -0.34410209])]"
264,17.16,43.1959744272,107.986246404,0.876598455093,198.919535817,46.7905886399,82,2,-116,0.00920320659922,"[332312, array([ 4.41484669, -1.63824121, -1.74978379]), array([ 0.88304528, -0.31909995, -0.34410209])]"
460,29.35,35.4368634098,229.517127397,52.8355159543,126.39455493,9.76534875183,174,58,20,0.00922336223215,"[710020, array([ 4.40017513, -1.60485353, -1.6699439 ]), array([ 0.88304528, -0.31909995, -0.34410209])]"
405,17.52,43.7476113242,286.016939543,1.57590015967,194.372447953,46.2090150064,158,2,-38,0.0093819644886,"[640151, array([ 4.43568627, -1.59696663, -1.77773808]), array([ 0.88304528, -0.31909995, -0.34410209])]"
218,16.71,43.4986076023,107.982639346,1.33811109518,199.391639729,46.470105169,66,2,-132,0.00939005097346,"[267504, array([ 4.42278456, -1.56649667, -1.75824027]), array([ 0.88304528, -0.31909995, -0.34410209])]"
288,28.32,42.0893230364,264.262940984,31.8040797654,151.930671159,31.4975947669,88,84,122,0.00956299403656,"[364111, array([ 4.56396691, -1.64017746, -1.72570711]), array([ 0.88304528, -0.31909995, -0.34410209])]"
422,17.64,43.9156691733,286.015692197,1.69599943625,194.25654969,46.0341082602,164,2,-32,0.00966672537399,"[664454, array([ 4.44838683, -1.57031335, -1.76489725]), array([ 0.88304528, -0.31909995, -0.34410209])]"
163,16.79,42.784742363,109.937167769,3.39141756107,203.582539937,47.0142012566,52,4,-148,0.00978733023762,"[210976, array([ 4.40323594, -1.6429655 , -1.71696972]), array([ 0.88304528, -0.31909995, -0.34410209])]"
