,AZT,DPT,AZN,DPN,AZP,DPP,Strike,Dip,Rake,Misfit,Extra
639,347.89,5.8388040586,84.9532091346,50.234628365,253.116918056,39.1611568123,294,68,-34,0.000403987423565,"[1196893, array([ 1.03187405, -0.29394336, -0.31353748]), array([ 0.92322091, -0.26257841, -0.28056324])]"
280,8.88,27.963312973,268.537842407,18.693942624,149.176753254,55.3905064513,138,24,-38,0.00216209043001,"[561131, array([ 2.14274568, -0.61440632, -0.65315474]), array([ 0.92322091, -0.26257841, -0.28056324])]"
583,349.54,25.3368378784,86.9362920559,15.197478138,204.853340686,59.877575499,272,72,-74,0.00233999919892,"[1108133, array([ 1.72049667, -0.4924242 , -0.52643156]), array([ 0.92322091, -0.26257841, -0.28056324])]"
273,7.24,28.5792646248,268.160499857,16.1639565001,152.302004887,56.3938563945,134,22,-42,0.00247968649225,"[544749, array([ 2.1495708 , -0.60555461, -0.65131818]), array([ 0.92322091, -0.26257841, -0.28056324])]"
660,177.7,2.09258596467,83.531248602,63.342034992,268.751757082,26.5625871127,310,70,-18,0.00283202154529,"[1261881, array([ 0.94353568, -0.26544089, -0.2857692 ]), array([ 0.92322091, -0.26257841, -0.28056324])]"
642,349.0,4.734450174,85.0574869684,51.8407484068,255.329674735,37.7568253082,296,68,-32,0.00288464335157,"[1204994, array([ 1.01922484, -0.29063853, -0.30657053]), array([ 0.92322091, -0.26257841, -0.28056324])]"
93,348.63,24.3661202858,86.9565206959,17.7291792077,209.31818633,59.1509098406,46,26,-134,0.00310378900793,"[188663, array([ 1.67122678, -0.48090929, -0.51005959]), array([ 0.92322091, -0.26257841, -0.28056324])]"
261,5.25,28.9952651056,267.765338259,13.2297376341,156.035002172,57.5851165992,128,20,-48,0.0033949552944,"[520266, array([ 2.12415362, -0.59696825, -0.64875442]), array([ 0.92322091, -0.26257841, -0.28056324])]"
169,353.87,27.8506311758,87.0936156603,6.06692397278,188.326182876,61.3815612256,68,18,-110,0.00350846262425,"[277055, array([ 1.87751801, -0.53532453, -0.57799905]), array([ 0.92322091, -0.26257841, -0.28056324])]"
326,15.85,24.6052946106,268.537720526,33.0236383085,134.929181923,46.6987666133,152,36,-22,0.00365965729751,"[618919, array([ 2.15718341, -0.60782434, -0.66193089]), array([ 0.92322091, -0.26257841, -0.28056324])]"
636,346.81,6.91955873397,84.7242893095,48.5996903185,250.849963862,40.5604118777,292,68,-36,0.00370785897644,"[1188792, array([ 1.04109945, -0.29776419, -0.3205519 ]), array([ 0.92322091, -0.26257841, -0.28056324])]"
390,23.24,2.86586466122,279.185310538,78.3538225735,113.81402983,11.2784724793,158,80,-6,0.00376081586497,"[647187, array([ 1.51100379, -0.43320134, -0.46487767]), array([ 0.92322091, -0.26257841, -0.28056324])]"
290,10.61,27.5296407148,268.886742912,21.310757425,146.430032303,53.9865803684,142,26,-34,0.00377384730399,"[577513, array([ 2.17664313, -0.61782754, -0.65219988]), array([ 0.92322091, -0.26257841, -0.28056324])]"
48,347.75,6.42114174301,85.373832733,49.6603523123,252.414304498,39.6118542816,38,58,-154,0.00401999409071,"[159133, array([ 1.05766126, -0.29703639, -0.3181835 ]), array([ 0.92322091, -0.26257841, -0.28056324])]"
25,345.34,10.0056454788,85.1848205022,44.0887833944,245.471849377,44.1813410055,36,52,-152,0.00409451919113,"[150494, array([ 1.11758151, -0.32201702, -0.34302444]), array([ 0.92322091, -0.26257841, -0.28056324])]"
112,350.15,25.1921315439,87.4721734901,15.1558369154,205.489329229,60.0307185028,50,24,-130,0.00421615560628,"[204685, array([ 1.73593411, -0.49994263, -0.52261516]), array([ 0.92322091, -0.26257841, -0.28056324])]"
