,AZT,DPT,AZN,DPN,AZP,DPP,Strike,Dip,Rake,Misfit,Extra
67,26.16,52.7485460532,270.02226361,18.5229453755,168.401952191,31.0141226542,214,22,32,0.000939829767679,"[868786, array([ 4.64836775, -1.32592464, -1.41599343]), array([ 0.92322091, -0.26257841, -0.28056324])]"
113,16.4,51.0840677726,118.604002007,9.68341751283,216.058349637,37.2461933953,352,12,144,0.00123073861972,"[1426842, array([ 4.51874441, -1.28851743, -1.37882169]), array([ 0.92322091, -0.26257841, -0.28056324])]"
53,26.88,44.3422885659,202.869419623,45.5874662683,294.918615978,2.00635121748,170,62,36,0.00193287071633,"[694188, array([ 4.47580431, -1.26712467, -1.35192404]), array([ 0.92322091, -0.26257841, -0.28056324])]"
78,22.2,53.2169749313,281.371277814,7.99693203321,185.594624647,35.6195795657,240,12,48,0.0021815987716,"[973194, array([ 4.62189393, -1.32118014, -1.39587928]), array([ 0.92322091, -0.26257841, -0.28056324])]"
87,19.73,52.8578953611,287.904617123,1.38481082751,196.856751737,37.1073354641,278,8,80,0.00256166519954,"[1126750, array([ 4.59325039, -1.30369081, -1.38266751]), array([ 0.92322091, -0.26257841, -0.28056324])]"
105,18.01,52.1974279275,112.207521456,3.24506534477,204.711192562,37.6128642163,316,8,114,0.00269515594329,"[1280667, array([ 4.55765468, -1.30854413, -1.39245614]), array([ 0.92322091, -0.26257841, -0.28056324])]"
104,18.31,52.323065952,112.193934376,2.9884795663,204.491087537,37.5158502157,314,8,112,0.00282553626141,"[1272566, array([ 4.5688838 , -1.29524202, -1.37420315]), array([ 0.92322091, -0.26257841, -0.28056324])]"
47,18.03,44.9570283943,152.589967773,35.0954818865,261.146222445,24.3647908264,144,78,54,0.00344393721303,"[590337, array([ 4.39509406, -1.23305771, -1.33565305]), array([ 0.92322091, -0.26257841, -0.28056324])]"
88,19.39,52.9089161724,287.923138058,1.10984006684,197.084589264,37.0687400462,280,8,82,0.00369425534414,"[1134851, array([ 4.59113097, -1.28679499, -1.39553177]), array([ 0.92322091, -0.26257841, -0.28056324])]"
75,23.27,53.1843055012,279.139646767,10.3571207128,181.824452893,34.8645359932,232,14,42,0.00445291785998,"[940971, array([ 4.63113424, -1.33195243, -1.39062525]), array([ 0.92322091, -0.26257841, -0.28056324])]"
64,27.27,52.2351592109,265.284891392,22.3114192419,162.289708358,28.7217058492,208,26,30,0.00451038683955,"[844845, array([ 4.64647268, -1.32502574, -1.43574987]), array([ 0.92322091, -0.26257841, -0.28056324])]"
82,20.69,53.1773212801,283.607151787,5.27979896744,189.71250294,36.315720092,252,10,58,0.00456984143545,"[1021619, array([ 4.60398564, -1.30463516, -1.42202231]), array([ 0.92322091, -0.26257841, -0.28056324])]"
72,24.13,53.1024364701,276.896789647,12.5449338064,178.25272948,34.0363764274,226,16,38,0.00495831536217,"[916849, array([ 4.63641711, -1.33907823, -1.39464887]), array([ 0.92322091, -0.26257841, -0.28056324])]"
