,AZT,DPT,AZN,DPN,AZP,DPP,Strike,Dip,Rake,Misfit,Extra
145,104.2,46.1055028643,3.64742210104,9.99384571047,264.464632203,42.1645695199,184,88,100,0.00170462299919,"[753260, array([ 4.02858078, -2.06321431,  1.88252966]), array([ 0.82104266, -0.42240725,  0.38400659])]"
9,99.21,48.0021263744,192.068793838,2.56992399808,284.375369053,41.8820200984,52,4,130,0.00189277446888,"[211115, array([ 4.14528348, -2.14246089,  1.93639685]), array([ 0.82104266, -0.42240725,  0.38400659])]"
8,99.32,48.0949904096,192.067774458,2.46140297652,284.270318853,41.7986924091,50,4,128,0.00216472287366,"[203014, array([ 4.15131224, -2.12393758,  1.93608344]), array([ 0.82104266, -0.42240725,  0.38400659])]"
125,105.15,37.2414856751,338.88048158,37.8910371308,221.675215965,30.4326471088,162,86,128,0.00222587564588,"[663994, array([ 3.70927922, -1.89730662,  1.73042395]), array([ 0.82104266, -0.42240725,  0.38400659])]"
86,86.04,40.4195082319,229.06738531,43.1674452505,338.481617937,19.5127206998,114,46,162,0.00303110898508,"[466011, array([ 4.0648107 , -2.10655796,  1.91096995]), array([ 0.82104266, -0.42240725,  0.38400659])]"
104,92.57,33.6274998719,281.24899811,56.0678650795,185.253341679,4.01983037647,134,70,152,0.00398097307065,"[549166, array([ 3.75194611, -1.9122915 ,  1.76070482]), array([ 0.82104266, -0.42240725,  0.38400659])]"
119,103.07,35.434817189,330.235975683,43.6976659602,213.000814534,25.5914283972,156,84,134,0.00399776958363,"[639517, array([ 3.67498222, -1.87363433,  1.70538562]), array([ 0.82104266, -0.42240725,  0.38400659])]"
267,104.17,46.211013538,3.82036723527,9.77930416089,264.850792005,42.1315602808,286,10,12,0.0040340252737,"[1159296, array([ 4.03471389, -2.05361759,  1.88486424]), array([ 0.82104266, -0.42240725,  0.38400659])]"
134,106.8,42.0870074157,353.109795089,23.984461103,242.475602138,38.3821068713,174,88,114,0.00456016654287,"[712767, array([ 3.8613801 , -1.96392086,  1.80948922]), array([ 0.82104266, -0.42240725,  0.38400659])]"
163,91.11,47.2848972456,204.1787814,19.8858011814,309.37966555,35.9380547388,202,84,70,0.00483327721907,"[825785, array([ 4.22480813, -2.1727032 ,  1.9489375 ]), array([ 0.82104266, -0.42240725,  0.38400659])]"
247,105.9,44.0542228317,357.693654269,17.8980461353,251.673063052,40.5158369684,274,18,6,0.00496440330217,"[1111413, array([ 3.94554025, -2.00849404,  1.82583931]), array([ 0.82104266, -0.42240725,  0.38400659])]"
38,95.94,48.2714438489,196.327585723,9.12770486605,294.151261316,40.2723716343,82,10,156,0.00507743823313,"[333168, array([ 4.19883083, -2.15557828,  1.93524302]), array([ 0.82104266, -0.42240725,  0.38400659])]"
