Index,AZT,DPT,AZN,DPN,AZP,DPP,Strike,Dip,Rake,Misfit,Extra
117,141.961645451,60.0771019725,11.9061106628,20.3240428984,273.740612866,20.9803291331,332,30,46,0.00280053024342,"[15, 'NewGudkova', 1347413, array([-4.90747154,  0.73710759, -0.2971108 ]), array([-0.98682913,  0.15078749, -0.05857818])]"
36,3.76152707103,0.18407144382,94.3670849827,73.0919495225,273.705577166,16.9069878701,50,78,-168,0.00319523157318,"[15, 'NewGudkova', 209526, array([-4.86016457,  0.75624663, -0.28043878]), array([-0.98682913,  0.15078749, -0.05857818])]"
2,99.8710026823,68.8882728619,5.65516348077,1.62584348794,275.029479778,21.043003136,2,24,86,0.0034291269792,"[15, 'NewGudkova', 10393, array([-4.90313381,  0.73589257, -0.28009846]), array([-0.98682913,  0.15078749, -0.05857818])]"
58,47.1361123786,60.7815903457,178.606447572,20.3240428984,276.379188259,20.0592408487,170,68,68,0.00386032776695,"[15, 'NewGudkova', 694744, array([-4.8874742 ,  0.72846021, -0.28393174]), array([-0.98682913,  0.15078749, -0.05857818])]"
39,20.5083967864,37.144366066,166.04148913,47.4230370345,276.457258916,17.7710121759,52,50,164,0.00401660404152,"[15, 'NewGudkova', 215272, array([-4.85644914,  0.76202451, -0.28985327]), array([-0.98682913,  0.15078749, -0.05857818])]"
27,32.8530670843,51.9898758733,174.413382127,31.4739292553,276.622116503,19.0572976362,46,38,148,0.00406818575991,"[15, 'NewGudkova', 189884, array([-4.87160804,  0.76006983, -0.27652469]), array([-0.98682913,  0.15078749, -0.05857818])]"
66,90.0626775345,68.9371754303,184.813749126,1.82702950763,275.514451652,20.9758514213,184,66,88,0.00408602527646,"[15, 'NewGudkova', 751274, array([-4.89993923,  0.7310574 , -0.30105397]), array([-0.98682913,  0.15078749, -0.05857818])]"
70,105.821770798,68.7498413722,6.37084428381,3.65368998384,274.973349863,20.9034584737,188,66,94,0.00438369107503,"[15, 'NewGudkova', 767477, array([-4.89756266,  0.77037009, -0.2911134 ]), array([-0.98682913,  0.15078749, -0.05857818])]"
105,4.62112479682,2.61806488823,103.144146657,72.853634212,273.823466524,16.9330198005,318,80,-14,0.00446409410622,"[15, 'NewGudkova', 1295183, array([-4.86155656,  0.74895616, -0.26745474]), array([-0.98682913,  0.15078749, -0.05857818])]"
106,158.857186111,47.8101384403,17.5155133986,35.2912988913,272.565902722,20.0248089261,320,40,26,0.00459634307886,"[15, 'NewGudkova', 1299703, array([-4.89855622,  0.7683052 , -0.27919743]), array([-0.98682913,  0.15078749, -0.05857818])]"
12,67.2573561479,66.7396387735,182.190248951,10.2708489194,276.102388124,20.6321549943,24,26,114,0.00465245983898,"[15, 'NewGudkova', 99687, array([-4.89369475,  0.72874819, -0.30371521]), array([-0.98682913,  0.15078749, -0.05857818])]"
62,74.7581453459,68.0168298478,183.271644395,7.30441004852,276.035381667,20.6146741495,180,66,82,0.00507308415971,"[15, 'NewGudkova', 735071, array([-4.88988649,  0.75809809, -0.31311711]), array([-0.98682913,  0.15078749, -0.05857818])]"
42,7.99363064625,11.2735927832,130.444991196,69.6199950322,274.554135605,16.749945672,52,70,-176,0.00520144492851,"[15, 'NewGudkova', 216902, array([-4.85417593,  0.76068613, -0.27085922]), array([-0.98682913,  0.15078749, -0.05857818])]"
3,97.9435579466,68.9720065692,5.82721366681,0.813335412897,275.514805775,21.0107528967,4,24,88,0.0060872904596,"[15, 'NewGudkova', 18494, array([-4.89860489,  0.73891146, -0.31943726]), array([-0.98682913,  0.15078749, -0.05857818])]"
83,159.605687194,46.9306351395,17.8468713376,36.2856842766,272.416273405,19.9205892481,210,74,128,0.00636024598257,"[15, 'NewGudkova', 857314, array([-4.89781165,  0.76995858, -0.26759376]), array([-0.98682913,  0.15078749, -0.05857818])]"
24,40.0338440628,57.180496357,177.345598971,25.3639460948,276.952283789,19.3934938334,42,34,140,0.00754224530798,"[15, 'NewGudkova', 173320, array([-4.87011131,  0.76751265, -0.31859169]), array([-0.98682913,  0.15078749, -0.05857818])]"
26,36.1002355976,54.7221365063,175.925613926,28.3937504351,276.734481799,19.1329952792,44,36,144,0.00767925042471,"[15, 'NewGudkova', 181602, array([-4.86821231,  0.78215832, -0.28698845]), array([-0.98682913,  0.15078749, -0.05857818])]"
30,30.2195287844,49.0305419234,172.764413108,34.5794009043,276.625988688,19.1650941529,48,40,152,0.00847108164923,"[15, 'NewGudkova', 198166, array([-4.87974622,  0.70336659, -0.29157939]), array([-0.98682913,  0.15078749, -0.05857818])]"
116,146.863608499,57.1949851327,13.3038883083,23.950152858,273.47279437,21.02663681,328,32,40,0.00854560258939,"[15, 'NewGudkova', 1331390, array([-4.91259441,  0.70768054, -0.29008669]), array([-0.98682913,  0.15078749, -0.05857818])]"
9,88.2332543419,68.7495289369,184.515416224,2.43669639763,275.456108551,21.096725385,10,24,96,0.00897945609179,"[15, 'NewGudkova', 42798, array([-4.90483846,  0.7043812 , -0.2917039 ]), array([-0.98682913,  0.15078749, -0.05857818])]"
96,166.166140512,38.169462657,22.8032089091,45.5904995111,272.021517738,19.1658744447,316,48,16,0.0090431271153,"[15, 'NewGudkova', 1284218, array([-4.8902938 ,  0.77379483, -0.25411953]), array([-0.98682913,  0.15078749, -0.05857818])]"
8,90.1289973177,68.8882728619,184.344836519,1.62584348794,274.970520222,21.043003136,8,24,94,0.00968101351618,"[15, 'NewGudkova', 34697, array([-4.90608838,  0.72106084, -0.25202375]), array([-0.98682913,  0.15078749, -0.05857818])]"
65,84.1782292022,68.7498413722,183.629155716,3.65368998384,275.026650137,20.9034584737,182,66,86,0.00981528142767,"[15, 'NewGudkova', 743173, array([-4.9029334 ,  0.73707458, -0.24361677]), array([-0.98682913,  0.15078749, -0.05857818])]"
107,7.19375161629,8.24453448463,122.166729617,71.057800266,274.665672912,16.9312366133,320,84,-18,0.0100658667623,"[15, 'NewGudkova', 1303641, array([-4.85759596,  0.73656548, -0.33763347]), array([-0.98682913,  0.15078749, -0.05857818])]"
14,57.792869952,64.9396056936,181.113297343,14.4054504158,276.491792122,20.0484508525,30,28,122,0.0102304185126,"[15, 'NewGudkova', 124171, array([-4.87726757,  0.79117689, -0.31240641]), array([-0.98682913,  0.15078749, -0.05857818])]"
74,136.425319623,62.6749501411,11.0602626195,16.649462684,274.462587814,21.0168752395,198,68,108,0.0106957120942,"[15, 'NewGudkova', 808164, array([-4.90100038,  0.75707026, -0.34363286]), array([-0.98682913,  0.15078749, -0.05857818])]"
44,11.5938201965,19.5399505771,148.092799379,63.9285295371,275.53394867,16.5653468892,144,88,26,0.0107184067168,"[15, 'NewGudkova', 591223, array([-4.84109987,  0.7857027 , -0.31443806]), array([-0.98682913,  0.15078749, -0.05857818])]"
121,126.887709136,65.3998791548,9.54300821478,11.8764974873,274.860703266,21.2139465319,344,26,62,0.010725384254,"[15, 'NewGudkova', 1395661, array([-4.90432775,  0.72871135, -0.34025285]), array([-0.98682913,  0.15078749, -0.05857818])]"
87,173.439120942,25.0318503698,35.630233328,57.7773337416,272.657056397,18.9335563984,222,86,148,0.0109429414193,"[15, 'NewGudkova', 907004, array([-4.89598926,  0.69816777, -0.31265756]), array([-0.98682913,  0.15078749, -0.05857818])]"
49,18.0885477209,33.4708346335,162.530844786,50.8993361352,275.822094975,17.8145348103,150,80,38,0.0110614942687,"[15, 'NewGudkova', 614809, array([-4.86550496,  0.74548631, -0.2342696 ]), array([-0.98682913,  0.15078749, -0.05857818])]"
1,101.766745658,68.7495289369,5.48458377566,2.43669639763,274.543891449,21.096725385,0,24,84,0.0111461894082,"[15, 'NewGudkova', 2292, array([-4.90796794,  0.72724573, -0.24043015]), array([-0.98682913,  0.15078749, -0.05857818])]"
114,151.078499267,54.9482571866,14.7696916879,26.8975491591,273.706800027,20.7200674763,326,34,36,0.0112347077983,"[15, 'NewGudkova', 1323468, array([-4.90179166,  0.7551552 , -0.34664201]), array([-0.98682913,  0.15078749, -0.05857818])]"
43,7.32340742422,8.52336850511,123.215575426,71.057800266,274.732252051,16.7863218027,52,72,-174,0.0113324884229,"[15, 'NewGudkova', 217083, array([-4.85308033,  0.74947874, -0.34347508]), array([-0.98682913,  0.15078749, -0.05857818])]"
118,135.817926911,62.3663612718,10.5992418741,16.8002249187,273.84992306,21.2688742325,336,28,52,0.0114880633274,"[15, 'NewGudkova', 1363436, array([-4.9150162 ,  0.69566352, -0.27486428]), array([-0.98682913,  0.15078749, -0.05857818])]"
11,68.5161708874,67.3608442819,182.042199555,9.45173528672,275.586754038,20.3735518792,22,26,112,0.0116145309754,"[15, 'NewGudkova', 91586, array([-4.88779675,  0.79326026, -0.25567665]), array([-0.98682913,  0.15078749, -0.05857818])]"
61,69.2988676762,67.4831016926,182.10215202,9.12770486605,275.527566755,20.3989059539,178,66,80,0.0118171486517,"[15, 'NewGudkova', 726970, array([-4.88864478,  0.79189835, -0.25228011]), array([-0.98682913,  0.15078749, -0.05857818])]"
32,180.806248384,8.24453448463,65.833270383,71.057800266,273.334327088,16.9312366133,48,84,-162,0.0119281333482,"[15, 'NewGudkova', 201969, array([-4.85581319,  0.78706856, -0.32705232]), array([-0.98682913,  0.15078749, -0.05857818])]"
103,163.520822969,42.5823777887,21.1615855552,40.7504229497,272.969698749,19.9165147741,318,44,20,0.0119529410972,"[15, 'NewGudkova', 1291960, array([-4.89697902,  0.75327454, -0.34999138]), array([-0.98682913,  0.15078749, -0.05857818])]"
69,99.9373224655,68.9371754303,5.18625087447,1.82702950763,274.485548348,20.9758514213,186,66,92,0.012020407844,"[15, 'NewGudkova', 759376, array([-4.90481704,  0.74841259, -0.23134325]), array([-0.98682913,  0.15078749, -0.05857818])]"
119,135.385324426,63.2405622457,10.6801302494,16.0185442114,274.405677348,20.8407456309,338,28,54,0.0124285470318,"[15, 'NewGudkova', 1371537, array([-4.89586625,  0.78879618, -0.33792982]), array([-0.98682913,  0.15078749, -0.05857818])]"
101,181.269358571,5.75685181523,73.0159368985,72.158320261,273.016701397,16.8282061539,316,74,-8,0.0129017366798,"[15, 'NewGudkova', 1286546, array([-4.85818626,  0.78179921, -0.23847142]), array([-0.98682913,  0.15078749, -0.05857818])]"
111,9.51750332621,13.8893633313,137.063085901,67.913772504,275.229937893,16.8222281405,322,88,-22,0.0130221126461,"[15, 'NewGudkova', 1312099, array([-4.85135542,  0.7442404 , -0.35212262]), array([-0.98682913,  0.15078749, -0.05857818])]"
19,50.2639571545,62.0320474495,179.994785181,18.747237251,277.07929671,19.9704115457,36,30,130,0.0133547112159,"[15, 'NewGudkova', 148655, array([-4.87682834,  0.741457  , -0.35551235]), array([-0.98682913,  0.15078749, -0.05857818])]"
50,19.7890373454,36.2708377562,165.916439851,48.5301703523,276.567564375,17.3117922249,152,78,40,0.013424313473,"[15, 'NewGudkova', 622730, array([-4.8428166 ,  0.80644984, -0.29454602]), array([-0.98682913,  0.15078749, -0.05857818])]"
35,25.3647075056,43.8407179674,169.321290954,40.0964343394,276.119045153,18.9440188114,50,44,158,0.0137284772709,"[15, 'NewGudkova', 206629, array([-4.88366503,  0.69496102, -0.24431678]), array([-0.98682913,  0.15078749, -0.05857818])]"
99,180.676592576,8.52336850511,64.784424574,71.057800266,273.267747949,16.7863218027,316,72,-6,0.013787432766,"[15, 'NewGudkova', 1286367, array([-4.85184763,  0.80188437, -0.32080048]), array([-0.98682913,  0.15078749, -0.05857818])]"
