Index,Strike,Dip,Rake,Misfit,Extra
23,46,38,148,0.00176499374116,"[35, 'NewGudkova', 189884, array([-4.87574439,  0.74841281, -0.28139319]), array([-0.98682913,  0.15078749, -0.05857818])]"
33,50,78,-168,0.00210452796195,"[35, 'NewGudkova', 209526, array([-4.86385587,  0.75077937, -0.28160064]), array([-0.98682913,  0.15078749, -0.05857818])]"
36,52,50,164,0.00244818484333,"[35, 'NewGudkova', 215272, array([-4.86041773,  0.75291567, -0.29517149]), array([-0.98682913,  0.15078749, -0.05857818])]"
40,52,70,-176,0.0039152046677,"[35, 'NewGudkova', 216902, array([-4.85791271,  0.7548426 , -0.27369915]), array([-0.98682913,  0.15078749, -0.05857818])]"
22,44,36,144,0.00514821112695,"[35, 'NewGudkova', 181602, array([-4.87246951,  0.77015321, -0.29165109]), array([-0.98682913,  0.15078749, -0.05857818])]"
2,2,24,86,0.0059709509874,"[35, 'NewGudkova', 10393, array([-4.90733929,  0.72170567, -0.28071823]), array([-0.98682913,  0.15078749, -0.05857818])]"
58,170,68,68,0.00643691049524,"[35, 'NewGudkova', 694744, array([-4.89157788,  0.71527396, -0.28774926]), array([-0.98682913,  0.15078749, -0.05857818])]"
20,42,34,140,0.00709812932955,"[35, 'NewGudkova', 173320, array([-4.874336  ,  0.75505012, -0.32307989]), array([-0.98682913,  0.15078749, -0.05857818])]"
11,24,26,114,0.0074185769038,"[35, 'NewGudkova', 99687, array([-4.89785467,  0.71476742, -0.30623484]), array([-0.98682913,  0.15078749, -0.05857818])]"
3,4,24,88,0.00766540044589,"[35, 'NewGudkova', 18494, array([-4.9028229 ,  0.72473467, -0.32030564]), array([-0.98682913,  0.15078749, -0.05857818])]"
12,30,28,122,0.00816344842435,"[35, 'NewGudkova', 124171, array([-4.88166548,  0.77770924, -0.31554589]), array([-0.98682913,  0.15078749, -0.05857818])]"
10,22,26,112,0.00916755476252,"[35, 'NewGudkova', 91586, array([-4.89222429,  0.7794963 , -0.25792345]), array([-0.98682913,  0.15078749, -0.05857818])]"
61,178,66,80,0.00948902967094,"[35, 'NewGudkova', 726970, array([-4.8930678 ,  0.77811333, -0.25446806]), array([-0.98682913,  0.15078749, -0.05857818])]"
42,144,88,26,0.00998986678878,"[35, 'NewGudkova', 591223, array([-4.84498981,  0.77922954, -0.31854843]), array([-0.98682913,  0.15078749, -0.05857818])]"
47,150,80,38,0.0101715524533,"[35, 'NewGudkova', 614809, array([-4.86936448,  0.73690673, -0.23924374]), array([-0.98682913,  0.15078749, -0.05857818])]"
26,48,40,152,0.0109556178498,"[35, 'NewGudkova', 198166, array([-4.88361747,  0.69195081, -0.29669532]), array([-0.98682913,  0.15078749, -0.05857818])]"
29,48,84,-162,0.0110008557362,"[35, 'NewGudkova', 201969, array([-4.85964298,  0.78155122, -0.32707159]), array([-0.98682913,  0.15078749, -0.05857818])]"
7,8,24,94,0.011545917728,"[35, 'NewGudkova', 34697, array([-4.91023433,  0.70679528, -0.25306028]), array([-0.98682913,  0.15078749, -0.05857818])]"
48,152,78,40,0.0117054344571,"[35, 'NewGudkova', 622730, array([-4.84695566,  0.79768987, -0.29986255]), array([-0.98682913,  0.15078749, -0.05857818])]"
41,52,72,-174,0.0117371228134,"[35, 'NewGudkova', 217083, array([-4.85675979,  0.74375414, -0.34619901]), array([-0.98682913,  0.15078749, -0.05857818])]"
8,10,24,96,0.0119563162421,"[35, 'NewGudkova', 42798, array([-4.90891519,  0.69005996, -0.29298886]), array([-0.98682913,  0.15078749, -0.05857818])]"
45,148,82,34,0.0122924717346,"[35, 'NewGudkova', 606887, array([-4.85110313,  0.79006493, -0.25184808]), array([-0.98682913,  0.15078749, -0.05857818])]"
1,0,24,84,0.0125897265066,"[35, 'NewGudkova', 2292, array([-4.91213754,  0.71302989, -0.24080029]), array([-0.98682913,  0.15078749, -0.05857818])]"
37,52,52,166,0.0130446559643,"[35, 'NewGudkova', 215453, array([-4.85745948,  0.78376779, -0.23920378]), array([-0.98682913,  0.15078749, -0.05857818])]"
55,164,70,60,0.0131108700197,"[35, 'NewGudkova', 670620, array([-4.88703824,  0.74204098, -0.22523501]), array([-0.98682913,  0.15078749, -0.05857818])]"
53,160,72,54,0.0140233758316,"[35, 'NewGudkova', 654597, array([-4.88063261,  0.75033763, -0.22047   ]), array([-0.98682913,  0.15078749, -0.05857818])]"
50,154,76,44,0.0140874153182,"[35, 'NewGudkova', 630652, array([-4.85753547,  0.79676935, -0.24500514]), array([-0.98682913,  0.15078749, -0.05857818])]"
31,50,44,156,0.014485351623,"[35, 'NewGudkova', 206628, array([-4.8505789 ,  0.78723053, -0.3433686 ]), array([-0.98682913,  0.15078749, -0.05857818])]"
16,36,30,130,0.0145159393739,"[35, 'NewGudkova', 148655, array([-4.88099686,  0.72815657, -0.35936896]), array([-0.98682913,  0.15078749, -0.05857818])]"
