Index,Strike,Dip,Rake,Misfit,Extra
42,30,48,-12,0.00389605297264,"[35, 'NewGudkova', 125904, array([ 4.28289414, -0.96164615, -2.56307998]), array([ 0.84080313, -0.18821648, -0.50756739])]"
23,22,36,-26,0.00457600405059,"[35, 'NewGudkova', 92417, array([ 4.19210214, -0.94894445, -2.50841269]), array([ 0.84080313, -0.18821648, -0.50756739])]"
56,32,56,-6,0.00538898252637,"[35, 'NewGudkova', 134727, array([ 4.30936764, -0.96629428, -2.56973964]), array([ 0.84080313, -0.18821648, -0.50756739])]"
33,28,44,-16,0.00550189844481,"[35, 'NewGudkova', 117442, array([ 4.2483763 , -0.97943506, -2.56558955]), array([ 0.84080313, -0.18821648, -0.50756739])]"
1,0,26,-54,0.00574385767699,"[35, 'NewGudkova', 2403, array([ 4.01593359, -0.87765452, -2.44235485]), array([ 0.84080313, -0.18821648, -0.50756739])]"
49,30,80,8,0.00608515431337,"[35, 'NewGudkova', 128794, array([ 4.19362887, -0.93646   , -2.56652333]), array([ 0.84080313, -0.18821648, -0.50756739])]"
84,126,84,-144,0.00617180597535,"[35, 'NewGudkova', 517878, array([ 4.30319679, -0.98072024, -2.56916091]), array([ 0.84080313, -0.18821648, -0.50756739])]"
70,32,70,2,0.00648623388913,"[35, 'NewGudkova', 135991, array([ 4.26551788, -0.98841016, -2.57509954]), array([ 0.84080313, -0.18821648, -0.50756739])]"
16,16,32,-34,0.00791976839577,"[35, 'NewGudkova', 67753, array([ 4.1193699 , -0.95867533, -2.50962519]), array([ 0.84080313, -0.18821648, -0.50756739])]"
8,8,28,-44,0.00866226480348,"[35, 'NewGudkova', 34988, array([ 4.06046542, -0.87549135, -2.47734285]), array([ 0.84080313, -0.18821648, -0.50756739])]"
108,140,70,-108,0.00887302449392,"[35, 'NewGudkova', 573336, array([ 4.03961111, -0.86348621, -2.45100672]), array([ 0.84080313, -0.18821648, -0.50756739])]"
146,178,64,-52,0.00951404162155,"[35, 'NewGudkova', 726724, array([ 3.77895539, -0.83766655, -2.23173823]), array([ 0.84080313, -0.18821648, -0.50756739])]"
27,26,40,-20,0.00960044757314,"[35, 'NewGudkova', 108980, array([ 4.24661919, -0.9330997 , -2.50900564]), array([ 0.84080313, -0.18821648, -0.50756739])]"
66,32,66,0,0.00992063037032,"[35, 'NewGudkova', 135630, array([ 4.265072  , -0.97064803, -2.63269665]), array([ 0.84080313, -0.18821648, -0.50756739])]"
37,28,86,12,0.011104165863,"[35, 'NewGudkova', 121236, array([ 4.14098147, -0.89073994, -2.54381085]), array([ 0.84080313, -0.18821648, -0.50756739])]"
138,168,62,-64,0.0113016697651,"[35, 'NewGudkova', 686038, array([ 3.71377605, -0.87973748, -2.2677768 ]), array([ 0.84080313, -0.18821648, -0.50756739])]"
26,24,38,-22,0.0114476716238,"[35, 'NewGudkova', 100699, array([ 4.18426858, -0.90601111, -2.57857574]), array([ 0.84080313, -0.18821648, -0.50756739])]"
59,32,58,-4,0.0114880912675,"[35, 'NewGudkova', 134908, array([ 4.29454304, -0.9137097 , -2.62811485]), array([ 0.84080313, -0.18821648, -0.50756739])]"
60,32,60,-4,0.0116200105404,"[35, 'NewGudkova', 135088, array([ 4.2774479 , -1.01346446, -2.61666115]), array([ 0.84080313, -0.18821648, -0.50756739])]"
