Index,Strike,Dip,Rake,Misfit,Extra
32,30,48,-12,0.00420411645712,"[35, 'NewGudkova', 125904, array([ 0.85657883, -0.96164615, -2.56307998]), array([ 0.29665383, -0.33203456, -0.89540469])]"
42,32,56,-6,0.00529570621101,"[35, 'NewGudkova', 134727, array([ 0.86187353, -0.96629428, -2.56973964]), array([ 0.29665383, -0.33203456, -0.89540469])]"
37,30,80,8,0.00600688447653,"[35, 'NewGudkova', 128794, array([ 0.83872577, -0.93646   , -2.56652333]), array([ 0.29665383, -0.33203456, -0.89540469])]"
22,26,40,-20,0.00611336108028,"[35, 'NewGudkova', 108980, array([ 0.84932384, -0.9330997 , -2.50900564]), array([ 0.29665383, -0.33203456, -0.89540469])]"
47,32,66,0,0.00632004437204,"[35, 'NewGudkova', 135630, array([ 0.8530144 , -0.97064803, -2.63269665]), array([ 0.29665383, -0.33203456, -0.89540469])]"
18,22,36,-26,0.00652172347581,"[35, 'NewGudkova', 92417, array([ 0.83842043, -0.94894445, -2.50841269]), array([ 0.29665383, -0.33203456, -0.89540469])]"
107,178,64,-52,0.00696451294538,"[35, 'NewGudkova', 726724, array([ 0.75579108, -0.83766655, -2.23173823]), array([ 0.29665383, -0.33203456, -0.89540469])]"
100,166,62,-66,0.00921320462406,"[35, 'NewGudkova', 677937, array([ 0.7376676 , -0.85096777, -2.30159794]), array([ 0.29665383, -0.33203456, -0.89540469])]"
25,28,44,-16,0.00922040681966,"[35, 'NewGudkova', 117442, array([ 0.84967526, -0.97943506, -2.56558955]), array([ 0.29665383, -0.33203456, -0.89540469])]"
59,126,84,-144,0.00936412308626,"[35, 'NewGudkova', 517878, array([ 0.86063936, -0.98072024, -2.56916091]), array([ 0.29665383, -0.33203456, -0.89540469])]"
1,0,26,-54,0.00972670659536,"[35, 'NewGudkova', 2403, array([ 0.80318672, -0.87765452, -2.44235485]), array([ 0.29665383, -0.33203456, -0.89540469])]"
12,16,32,-34,0.0100318772392,"[35, 'NewGudkova', 67753, array([ 0.82387398, -0.95867533, -2.50962519]), array([ 0.29665383, -0.33203456, -0.89540469])]"
50,32,72,4,0.0104174012814,"[35, 'NewGudkova', 136172, array([ 0.85843882, -0.91697974, -2.53395723]), array([ 0.29665383, -0.33203456, -0.89540469])]"
71,134,74,-120,0.0108267991814,"[35, 'NewGudkova', 549390, array([ 0.82203475, -0.941714  , -2.57525383]), array([ 0.29665383, -0.33203456, -0.89540469])]"
49,32,70,2,0.0109498272806,"[35, 'NewGudkova', 135991, array([ 0.85310358, -0.98841016, -2.57509954]), array([ 0.29665383, -0.33203456, -0.89540469])]"
83,144,68,-102,0.0112027380179,"[35, 'NewGudkova', 589359, array([ 0.80677394, -0.8595204 , -2.35709367]), array([ 0.29665383, -0.33203456, -0.89540469])]"
66,130,78,-130,0.0113288364722,"[35, 'NewGudkova', 533545, array([ 0.83802136, -0.95962382, -2.62880581]), array([ 0.29665383, -0.33203456, -0.89540469])]"
84,146,66,-96,0.0123097040209,"[35, 'NewGudkova', 597282, array([ 0.77370088, -0.91353364, -2.42994581]), array([ 0.29665383, -0.33203456, -0.89540469])]"
