Index,Strike,Dip,Rake,Misfit,Extra
51,78,28,86,0.00105289202079,"[35, 'NewGudkova', 318553, array([ 1.06941158,  2.04453114, -0.94996629]), array([ 0.42766395,  0.81988614, -0.38064454])]"
97,152,10,138,0.00228144451246,"[35, 'NewGudkova', 616659, array([ 1.26597173,  2.42549204, -1.11897168]), array([ 0.42766395,  0.81988614, -0.38064454])]"
112,170,10,152,0.00265098422778,"[35, 'NewGudkova', 689566, array([ 1.35893418,  2.58940257, -1.19935082]), array([ 0.42766395,  0.81988614, -0.38064454])]"
105,162,10,146,0.00302222355989,"[35, 'NewGudkova', 657163, array([ 1.30125376,  2.50630572, -1.15433888]), array([ 0.42766395,  0.81988614, -0.38064454])]"
98,154,10,140,0.00314825872516,"[35, 'NewGudkova', 624760, array([ 1.2557289,  2.4129282, -1.129326 ]), array([ 0.42766395,  0.81988614, -0.38064454])]"
39,62,40,80,0.00408536647305,"[35, 'NewGudkova', 254830, array([ 1.22341758,  2.36610411, -1.1039006 ]), array([ 0.42766395,  0.81988614, -0.38064454])]"
107,164,10,148,0.00454836684674,"[35, 'NewGudkova', 665264, array([ 1.29511575,  2.49104904, -1.17009336]), array([ 0.42766395,  0.81988614, -0.38064454])]"
78,122,12,114,0.00545898574989,"[35, 'NewGudkova', 495327, array([ 1.16613823,  2.21915138, -1.01823003]), array([ 0.42766395,  0.81988614, -0.38064454])]"
30,50,48,76,0.0056134245243,"[35, 'NewGudkova', 206948, array([ 1.45595699,  2.8166267 , -1.32168918]), array([ 0.42766395,  0.81988614, -0.38064454])]"
79,124,12,116,0.00616857043616,"[35, 'NewGudkova', 503428, array([ 1.1436211 ,  2.21134841, -1.0095463 ]), array([ 0.42766395,  0.81988614, -0.38064454])]"
40,64,38,80,0.0062107230865,"[35, 'NewGudkova', 262750, array([ 1.22365023,  2.31066632, -1.08339713]), array([ 0.42766395,  0.81988614, -0.38064454])]"
21,36,56,72,0.0071827880667,"[35, 'NewGudkova', 150966, array([ 1.76726808,  3.42228622, -1.6130071 ]), array([ 0.42766395,  0.81988614, -0.38064454])]"
95,150,10,136,0.00740826983545,"[35, 'NewGudkova', 608558, array([ 1.2770333 ,  2.43744005, -1.10954227]), array([ 0.42766395,  0.81988614, -0.38064454])]"
114,172,10,154,0.00776946416777,"[35, 'NewGudkova', 697667, array([ 1.35639055,  2.57175629, -1.21910834]), array([ 0.42766395,  0.81988614, -0.38064454])]"
100,156,10,142,0.00882025790657,"[35, 'NewGudkova', 632861, array([ 1.24630628,  2.39975009, -1.14058826]), array([ 0.42766395,  0.81988614, -0.38064454])]"
110,168,10,150,0.00887220064776,"[35, 'NewGudkova', 681465, array([ 1.36235415,  2.60635107, -1.18029838]), array([ 0.42766395,  0.81988614, -0.38064454])]"
103,160,10,144,0.0091795534574,"[35, 'NewGudkova', 649062, array([ 1.30825214,  2.52090834, -1.13940365]), array([ 0.42766395,  0.81988614, -0.38064454])]"
117,176,10,156,0.00928386962396,"[35, 'NewGudkova', 713868, array([ 1.43022023,  2.67993379, -1.23922033]), array([ 0.42766395,  0.81988614, -0.38064454])]"
63,98,18,98,0.00935774134249,"[35, 'NewGudkova', 398659, array([ 1.01939931,  1.99546632, -0.93576785]), array([ 0.42766395,  0.81988614, -0.38064454])]"
67,104,16,102,0.0095914458839,"[35, 'NewGudkova', 422781, array([ 1.03785975,  2.02633665, -0.95501339]), array([ 0.42766395,  0.81988614, -0.38064454])]"
77,120,12,112,0.00983326798528,"[35, 'NewGudkova', 487226, array([ 1.18931039,  2.2263023 , -1.02811231]), array([ 0.42766395,  0.81988614, -0.38064454])]"
26,44,52,74,0.010427581203,"[35, 'NewGudkova', 183007, array([ 1.632603  ,  3.08364609, -1.40069601]), array([ 0.42766395,  0.81988614, -0.38064454])]"
80,126,12,118,0.0105384567263,"[35, 'NewGudkova', 511529, array([ 1.121788  ,  2.20291657, -1.00205948]), array([ 0.42766395,  0.81988614, -0.38064454])]"
27,46,50,74,0.0107586743988,"[35, 'NewGudkova', 190927, array([ 1.58069096,  2.97368631, -1.4178815 ]), array([ 0.42766395,  0.81988614, -0.38064454])]"
50,76,30,86,0.0108193123668,"[35, 'NewGudkova', 310633, array([ 1.03691814,  2.03735623, -0.95608907]), array([ 0.42766395,  0.81988614, -0.38064454])]"
34,56,44,78,0.0109025364032,"[35, 'NewGudkova', 230889, array([ 1.32078973,  2.57002747, -1.22116663]), array([ 0.42766395,  0.81988614, -0.38064454])]"
109,166,10,150,0.0115188810242,"[35, 'NewGudkova', 673365, array([ 1.28983177,  2.47513733, -1.18664446]), array([ 0.42766395,  0.81988614, -0.38064454])]"
53,80,26,86,0.0119043056308,"[35, 'NewGudkova', 326473, array([ 1.10667274,  2.06034158, -0.95181703]), array([ 0.42766395,  0.81988614, -0.38064454])]"
38,60,42,80,0.012126317593,"[35, 'NewGudkova', 246910, array([ 1.22869128,  2.43281262, -1.12104295]), array([ 0.42766395,  0.81988614, -0.38064454])]"
93,148,10,134,0.0123034525822,"[35, 'NewGudkova', 600457, array([ 1.2889104 ,  2.4487699 , -1.10105387]), array([ 0.42766395,  0.81988614, -0.38064454])]"
17,28,60,70,0.0124249925549,"[35, 'NewGudkova', 118925, array([ 1.92734366,  3.74995972, -1.79057336]), array([ 0.42766395,  0.81988614, -0.38064454])]"
29,48,50,76,0.0125569312573,"[35, 'NewGudkova', 199028, array([ 1.4960772 ,  2.92247659, -1.31182446]), array([ 0.42766395,  0.81988614, -0.38064454])]"
33,54,46,78,0.0125644850773,"[35, 'NewGudkova', 222969, array([ 1.34205263,  2.66041988, -1.22720714]), array([ 0.42766395,  0.81988614, -0.38064454])]"
120,178,10,158,0.0127536085952,"[35, 'NewGudkova', 721969, array([ 1.43060849,  2.66033364, -1.26179681]), array([ 0.42766395,  0.81988614, -0.38064454])]"
115,174,10,154,0.0128663075461,"[35, 'NewGudkova', 705767, array([ 1.43071602,  2.69879561, -1.21724213]), array([ 0.42766395,  0.81988614, -0.38064454])]"
88,142,10,130,0.0129745475556,"[35, 'NewGudkova', 576155, array([ 1.24696813,  2.33217892, -1.11627166]), array([ 0.42766395,  0.81988614, -0.38064454])]"
87,140,10,128,0.0135839158784,"[35, 'NewGudkova', 568054, array([ 1.26151828,  2.34179989, -1.1127975 ]), array([ 0.42766395,  0.81988614, -0.38064454])]"
16,26,62,70,0.0136374430883,"[35, 'NewGudkova', 111005, array([ 2.03865459,  3.84439804, -1.72996973]), array([ 0.42766395,  0.81988614, -0.38064454])]"
66,102,16,100,0.0137325746863,"[35, 'NewGudkova', 414680, array([ 1.07027231,  2.03653851, -0.9833713 ]), array([ 0.42766395,  0.81988614, -0.38064454])]"
10,16,66,68,0.0137534898383,"[35, 'NewGudkova', 70864, array([ 2.12742271,  4.18449146, -1.9864065 ]), array([ 0.42766395,  0.81988614, -0.38064454])]"
0,0,74,66,0.0138181436285,"[35, 'NewGudkova', 6783, array([ 2.36944471,  4.48136441, -2.1630779 ]), array([ 0.42766395,  0.81988614, -0.38064454])]"
90,144,10,132,0.0142161816349,"[35, 'NewGudkova', 584256, array([ 1.23315822,  2.32196225, -1.12073875]), array([ 0.42766395,  0.81988614, -0.38064454])]"
62,96,18,96,0.0144795816689,"[35, 'NewGudkova', 390558, array([ 1.0558903 ,  2.00816113, -0.97171565]), array([ 0.42766395,  0.81988614, -0.38064454])]"
102,158,10,144,0.01479445232,"[35, 'NewGudkova', 640962, array([ 1.23770366,  2.38595855, -1.15274067]), array([ 0.42766395,  0.81988614, -0.38064454])]"
42,66,36,80,0.0148168439645,"[35, 'NewGudkova', 270670, array([ 1.22901189,  2.26683896, -1.06135785]), array([ 0.42766395,  0.81988614, -0.38064454])]"
61,94,20,96,0.014963535355,"[35, 'NewGudkova', 382638, array([ 0.98280895,  1.9582365 , -0.9119094 ]), array([ 0.42766395,  0.81988614, -0.38064454])]"
60,92,20,94,0.0150023891385,"[35, 'NewGudkova', 374537, array([ 1.02269543,  1.97489576, -0.95406598]), array([ 0.42766395,  0.81988614, -0.38064454])]"
9,14,68,68,0.0150739579588,"[35, 'NewGudkova', 62944, array([ 2.27136971,  4.23130609, -1.91914704]), array([ 0.42766395,  0.81988614, -0.38064454])]"
12,20,64,68,0.0151200779361,"[35, 'NewGudkova', 86884, array([ 2.10179532,  4.02747764, -1.95084071]), array([ 0.42766395,  0.81988614, -0.38064454])]"
101,158,10,142,0.0152768715874,"[35, 'NewGudkova', 640961, array([ 1.31611562,  2.53485758, -1.12530948]), array([ 0.42766395,  0.81988614, -0.38064454])]"
81,128,12,120,0.0154716851908,"[35, 'NewGudkova', 519630, array([ 1.10066551,  2.19387744, -0.99576719]), array([ 0.42766395,  0.81988614, -0.38064454])]"
8,12,68,68,0.0156800730751,"[35, 'NewGudkova', 54844, array([ 2.16357747,  4.32243511, -2.00522189]), array([ 0.42766395,  0.81988614, -0.38064454])]"
35,58,42,78,0.0156915247422,"[35, 'NewGudkova', 238809, array([ 1.30626909,  2.48868189, -1.20827999]), array([ 0.42766395,  0.81988614, -0.38064454])]"
86,138,10,126,0.0157649644791,"[35, 'NewGudkova', 559953, array([ 1.27679741,  2.35081815, -1.11032655]), array([ 0.42766395,  0.81988614, -0.38064454])]"
76,118,12,110,0.0158095317005,"[35, 'NewGudkova', 479125, array([ 1.21310608,  2.23277657, -1.03919395]), array([ 0.42766395,  0.81988614, -0.38064454])]"
19,32,58,70,0.0159630721484,"[35, 'NewGudkova', 134945, array([ 1.92430579,  3.56151831, -1.70711884]), array([ 0.42766395,  0.81988614, -0.38064454])]"
116,174,10,156,0.0159773950001,"[35, 'NewGudkova', 705768, array([ 1.35471088,  2.55341112, -1.23954392]), array([ 0.42766395,  0.81988614, -0.38064454])]"
108,166,10,148,0.0161144441947,"[35, 'NewGudkova', 673364, array([ 1.36666134,  2.62260301, -1.16197733]), array([ 0.42766395,  0.81988614, -0.38064454])]"
43,66,38,82,0.0164166967844,"[35, 'NewGudkova', 270851, array([ 1.15122407,  2.2589206 , -1.00272754]), array([ 0.42766395,  0.81988614, -0.38064454])]"
68,106,16,104,0.0164643574346,"[35, 'NewGudkova', 430882, array([ 1.00596686,  2.01526319, -0.9280363 ]), array([ 0.42766395,  0.81988614, -0.38064454])]"
72,112,14,108,0.0164720769835,"[35, 'NewGudkova', 455004, array([ 1.05229111,  2.05243711, -0.99052308]), array([ 0.42766395,  0.81988614, -0.38064454])]"
13,22,64,70,0.0165821554086,"[35, 'NewGudkova', 94985, array([ 2.06636104,  4.01964009, -1.77831402]), array([ 0.42766395,  0.81988614, -0.38064454])]"
20,34,58,72,0.0166331601016,"[35, 'NewGudkova', 143046, array([ 1.85367149,  3.53288984, -1.56588499]), array([ 0.42766395,  0.81988614, -0.38064454])]"
2,4,72,66,0.0166645449272,"[35, 'NewGudkova', 22803, array([ 2.33088564,  4.42427781, -2.15402137]), array([ 0.42766395,  0.81988614, -0.38064454])]"
31,52,46,76,0.016730451672,"[35, 'NewGudkova', 214868, array([ 1.4240204 ,  2.71621082, -1.32244041]), array([ 0.42766395,  0.81988614, -0.38064454])]"
45,68,36,82,0.0169003135476,"[35, 'NewGudkova', 278771, array([ 1.15949198,  2.2208578 , -0.98210194]), array([ 0.42766395,  0.81988614, -0.38064454])]"
91,146,10,132,0.016980491745,"[35, 'NewGudkova', 592356, array([ 1.301598  ,  2.45947844, -1.0935217 ]), array([ 0.42766395,  0.81988614, -0.38064454])]"
92,146,10,134,0.0170033174858,"[35, 'NewGudkova', 592357, array([ 1.22009796,  2.31115589, -1.12618765]), array([ 0.42766395,  0.81988614, -0.38064454])]"
7,10,70,68,0.0178314755847,"[35, 'NewGudkova', 46924, array([ 2.31824001,  4.3482806 , -1.93820917]), array([ 0.42766395,  0.81988614, -0.38064454])]"
6,8,70,68,0.0179723131938,"[35, 'NewGudkova', 38824, array([ 2.20959398,  4.43623778, -2.01171465]), array([ 0.42766395,  0.81988614, -0.38064454])]"
11,18,66,68,0.0184618765222,"[35, 'NewGudkova', 78964, array([ 2.23370285,  4.09192792, -1.88676348]), array([ 0.42766395,  0.81988614, -0.38064454])]"
73,114,14,110,0.0184851686709,"[35, 'NewGudkova', 463105, array([ 1.0253091 ,  2.04287198, -0.97196386]), array([ 0.42766395,  0.81988614, -0.38064454])]"
85,136,10,124,0.0189580348497,"[35, 'NewGudkova', 551852, array([ 1.29279241,  2.35922567, -1.10886822]), array([ 0.42766395,  0.81988614, -0.38064454])]"
111,168,10,152,0.0189709919019,"[35, 'NewGudkova', 681466, array([ 1.2853939 ,  2.45856939, -1.20396878]), array([ 0.42766395,  0.81988614, -0.38064454])]"
65,100,18,100,0.0190105303343,"[35, 'NewGudkova', 406760, array([ 0.9833712 ,  1.98170634, -0.90128186]), array([ 0.42766395,  0.81988614, -0.38064454])]"
71,110,14,106,0.0192066334505,"[35, 'NewGudkova', 446903, array([ 1.07985565,  2.06129272, -1.01037199]), array([ 0.42766395,  0.81988614, -0.38064454])]"
56,82,26,88,0.0193696682637,"[35, 'NewGudkova', 334574, array([ 1.05436606,  2.03440289, -0.89211888]), array([ 0.42766395,  0.81988614, -0.38064454])]"
3,4,72,68,0.0195385926246,"[35, 'NewGudkova', 22804, array([ 2.26389822,  4.52159178, -2.01058557]), array([ 0.42766395,  0.81988614, -0.38064454])]"
113,172,10,152,0.0195862695326,"[35, 'NewGudkova', 697666, array([ 1.43211129,  2.71691954, -1.19589179]), array([ 0.42766395,  0.81988614, -0.38064454])]"
54,80,28,88,0.0201321939718,"[35, 'NewGudkova', 326654, array([ 1.01442439,  2.01201163, -0.88683119]), array([ 0.42766395,  0.81988614, -0.38064454])]"
82,130,12,122,0.0203615059881,"[35, 'NewGudkova', 527731, array([ 1.08027775,  2.18425096, -0.9906663 ]), array([ 0.42766395,  0.81988614, -0.38064454])]"
59,90,22,94,0.0203691419134,"[35, 'NewGudkova', 366617, array([ 0.95930779,  1.92937792, -0.9116327 ]), array([ 0.42766395,  0.81988614, -0.38064454])]"
