Index,AZT,DPT,AZN,DPN,AZP,DPP,Strike,Dip,Rake,Misfit,Depth,Mod
37,209,81,69,6,339,5,62,40,80,0.00140637208293,15,NewGudkova
191,228,48,345,22,90,32,232,24,158,0.00274688387182,15,NewGudkova
28,251,79,59,10,149,2,50,48,76,0.00291723468433,15,NewGudkova
73,180,55,278,5,12,34,124,12,116,0.00346382932272,15,NewGudkova
99,186,49,286,8,23,38,162,10,146,0.00350278211041,15,NewGudkova
147,202,43,308,15,52,41,214,16,176,0.00371180045792,15,NewGudkova
158,208,44,316,17,62,40,220,18,174,0.00375569490134,15,NewGudkova
292,193,45,296,11,37,41,296,88,78,0.00385070203689,15,NewGudkova
282,180,54,279,5,13,34,278,80,84,0.00422215002362,15,NewGudkova
22,259,72,46,14,138,9,36,56,72,0.00447659427782,15,NewGudkova
251,260,72,46,14,139,9,246,38,114,0.00464517476889,15,NewGudkova
47,177,72,81,1,350,17,78,28,86,0.00502862028461,15,NewGudkova
90,185,51,284,7,20,37,152,10,138,0.00541426334348,15,NewGudkova
125,193,45,296,11,36,41,196,12,170,0.00550782256222,15,NewGudkova
278,176,62,270,1,1,26,270,72,88,0.0055479451197,15,NewGudkova
136,197,44,302,13,45,41,206,14,174,0.00590772456433,15,NewGudkova
192,226,48,343,22,89,33,232,24,160,0.00592952619763,15,NewGudkova
313,226,48,343,21,88,33,340,82,68,0.00611138111723,15,NewGudkova
92,184,50,284,7,20,38,154,10,140,0.00671537552877,15,NewGudkova
262,241,81,63,8,333,0,252,46,102,0.00739602214006,15,NewGudkova
120,191,46,294,11,34,41,192,12,168,0.00740546970279,15,NewGudkova
177,219,46,333,21,79,36,228,22,166,0.00744298608898,15,NewGudkova
101,186,49,286,8,23,39,164,10,148,0.007579222757,15,NewGudkova
310,221,46,336,21,82,35,334,84,68,0.00758247450611,15,NewGudkova
106,188,48,288,8,25,39,170,10,152,0.00764503446753,15,NewGudkova
97,186,50,286,8,22,38,160,10,144,0.00767525756442,15,NewGudkova
59,175,62,270,2,1,27,98,18,98,0.00769050391193,15,NewGudkova
46,176,74,79,1,348,15,76,30,86,0.00784007403299,15,NewGudkova
267,203,80,71,6,340,6,256,52,98,0.00787302194708,15,NewGudkova
200,232,51,354,22,98,29,234,26,152,0.00796905245193,15,NewGudkova
32,233,81,64,8,334,1,56,44,78,0.00803876328467,15,NewGudkova
72,181,55,278,4,11,33,122,12,114,0.00810403266556,15,NewGudkova
254,260,75,52,12,143,6,248,40,110,0.00812329322493,15,NewGudkova
36,220,82,67,6,337,3,60,42,80,0.008289798416,15,NewGudkova
31,244,81,62,8,152,0,54,46,78,0.00855743570142,15,NewGudkova
199,234,52,356,22,99,28,234,26,150,0.00856679326858,15,NewGudkova
307,215,45,327,19,73,37,326,86,70,0.00872196546041,15,NewGudkova
62,176,60,272,3,4,29,104,16,102,0.0089724665689,15,NewGudkova
150,204,43,310,15,54,41,216,16,176,0.00900029656906,15,NewGudkova
271,182,76,77,3,347,12,260,58,94,0.00904050629376,15,NewGudkova
270,182,78,75,3,345,10,258,56,94,0.0091665167124,15,NewGudkova
104,188,49,288,8,25,39,168,10,150,0.00919215500007,15,NewGudkova
171,215,44,326,19,73,38,226,20,170,0.00922952013033,15,NewGudkova
285,185,50,284,7,21,38,284,84,82,0.0093925715979,15,NewGudkova
302,210,44,318,17,64,40,318,88,72,0.00950678306399,15,NewGudkova
287,187,48,288,9,27,40,288,86,80,0.00953941077052,15,NewGudkova
176,220,46,335,21,81,35,228,22,164,0.00955787885059,15,NewGudkova
17,257,68,38,17,132,12,28,60,70,0.00957290558997,15,NewGudkova
166,213,44,324,19,71,38,224,20,170,0.0095983958142,15,NewGudkova
122,193,46,296,11,36,41,194,12,168,0.00971590756364,15,NewGudkova
9,251,62,25,20,122,18,16,66,68,0.00972136931277,15,NewGudkova
38,201,80,71,6,341,7,64,38,80,0.00977331747261,15,NewGudkova
266,211,82,68,6,338,4,254,50,98,0.00980705113517,15,NewGudkova
159,206,43,314,17,60,41,220,18,176,0.0100519257348,15,NewGudkova
75,179,54,278,5,12,34,128,12,120,0.0100838146957,15,NewGudkova
140,198,44,302,13,45,42,208,14,176,0.0101061773101,15,NewGudkova
167,211,44,322,19,69,39,224,20,172,0.0101595553979,15,NewGudkova
288,189,48,290,9,29,40,290,86,80,0.0105054998692,15,NewGudkova
190,229,49,347,21,92,31,232,24,156,0.0105251661506,15,NewGudkova
277,174,64,268,1,359,24,268,70,88,0.0105527310158,15,NewGudkova
7,249,60,20,20,118,20,12,68,68,0.0105959640846,15,NewGudkova
261,250,80,59,9,150,1,250,44,104,0.0107008113329,15,NewGudkova
139,199,44,304,13,47,41,208,14,174,0.0108866946369,15,NewGudkova
280,178,58,274,3,7,30,274,76,86,0.0109386888594,15,NewGudkova
123,191,45,294,11,34,41,194,12,170,0.0109698481109,15,NewGudkova
247,259,69,40,16,134,11,244,36,118,0.0111019345365,15,NewGudkova
291,191,45,294,11,35,41,294,88,78,0.011252710145,15,NewGudkova
255,258,74,50,13,142,6,248,40,112,0.0114486613481,15,NewGudkova
56,173,64,268,2,359,25,94,20,96,0.0115532352332,15,NewGudkova
225,248,59,18,21,116,21,240,30,136,0.0118557993346,15,NewGudkova
172,213,44,324,19,71,39,226,20,172,0.0120610639647,15,NewGudkova
63,175,60,272,3,4,29,106,16,104,0.012141740315,15,NewGudkova
137,196,44,300,13,43,42,206,14,176,0.0122250034342,15,NewGudkova
293,195,45,298,11,39,41,298,88,78,0.012238464225,15,NewGudkova
27,258,78,57,10,147,4,48,50,76,0.0123818752048,15,NewGudkova
133,195,44,300,13,43,41,204,14,174,0.0125660628543,15,NewGudkova
250,263,73,48,13,140,8,246,38,112,0.0126389846564,15,NewGudkova
234,252,62,26,19,123,18,242,32,130,0.0128220487045,15,NewGudkova
215,241,55,7,22,108,25,238,28,144,0.0129322381479,15,NewGudkova
87,185,51,284,6,19,37,148,10,134,0.0129866277125,15,NewGudkova
26,254,77,56,12,147,3,46,50,74,0.0131024109542,15,NewGudkova
226,246,58,16,21,115,22,240,30,138,0.0131312786734,15,NewGudkova
146,204,44,310,15,54,41,214,16,174,0.0131510409463,15,NewGudkova
201,231,50,352,23,96,29,234,26,154,0.0131694696634,15,NewGudkova
178,217,45,330,21,78,36,228,22,168,0.0131949383815,15,NewGudkova
182,222,46,337,21,83,35,230,22,164,0.0134865392455,15,NewGudkova
210,239,55,5,22,106,25,236,28,144,0.0135555171838,15,NewGudkova
309,217,45,329,19,75,37,328,86,70,0.013573991578,15,NewGudkova
95,186,50,286,7,22,38,158,10,142,0.0135895646636,15,NewGudkova
183,221,46,335,21,81,36,230,22,166,0.0136323025301,15,NewGudkova
246,261,71,42,14,135,11,244,36,116,0.0136499587415,15,NewGudkova
157,209,44,318,17,64,39,220,18,172,0.0136735900777,15,NewGudkova
5,246,59,15,20,114,21,8,70,68,0.0136749328091,15,NewGudkova
127,195,45,298,11,38,41,198,12,170,0.0139867644845,15,NewGudkova
209,241,55,7,21,108,24,236,28,142,0.0139909024265,15,NewGudkova
193,224,47,341,22,87,33,232,24,162,0.0140880776008,15,NewGudkova
111,189,48,290,9,28,40,176,10,156,0.0141357506423,15,NewGudkova
198,236,53,358,21,101,28,234,26,148,0.0142377057617,15,NewGudkova
60,174,62,270,3,2,27,100,18,100,0.0143430301524,15,NewGudkova
274,176,72,81,1,350,16,262,62,92,0.0143846163576,15,NewGudkova
25,259,76,54,12,145,5,44,52,74,0.0144893812151,15,NewGudkova
12,252,64,30,19,126,16,20,64,68,0.0145692470884,15,NewGudkova
170,217,45,328,19,74,37,226,20,168,0.0147686694822,15,NewGudkova
109,190,48,290,8,27,39,174,10,154,0.0148997596865,15,NewGudkova
214,243,55,9,21,110,24,238,28,142,0.014914056937,15,NewGudkova
238,257,67,34,17,129,14,242,34,122,0.0149388751283,15,NewGudkova
286,187,50,286,7,23,38,286,84,82,0.0150435236118,15,NewGudkova
76,179,54,278,6,12,34,130,12,122,0.0150915860348,15,NewGudkova
148,200,43,306,15,51,42,214,16,178,0.015388915245,15,NewGudkova
41,196,81,72,4,341,7,66,38,82,0.0155258575838,15,NewGudkova
33,222,81,66,7,336,3,58,42,78,0.0155480147729,15,NewGudkova
49,178,70,83,1,352,19,80,26,86,0.0156039482736,15,NewGudkova
0,240,54,6,23,108,25,0,74,66,0.0156757714403,15,NewGudkova
149,206,44,312,15,56,41,216,16,174,0.0157599217515,15,NewGudkova
235,250,61,24,20,122,18,242,32,132,0.0157756854005,15,NewGudkova
216,239,54,5,22,107,26,238,28,146,0.0158222892639,15,NewGudkova
144,200,43,306,15,50,41,212,16,176,0.015907559622,15,NewGudkova
318,232,51,355,23,99,29,350,78,66,0.0161777910975,15,NewGudkova
29,242,79,61,10,151,0,52,46,76,0.0162234858363,15,NewGudkova
265,230,80,65,8,335,2,254,48,102,0.0162725631999,15,NewGudkova
55,175,64,268,1,358,25,92,20,94,0.0162929759924,15,NewGudkova
163,208,43,316,17,62,41,222,18,176,0.0162973302906,15,NewGudkova
165,215,45,326,19,72,37,224,20,168,0.0163671970156,15,NewGudkova
24,261,74,49,12,141,7,40,54,74,0.0163808315345,15,NewGudkova
224,250,60,20,20,118,20,240,30,134,0.0164257238443,15,NewGudkova
175,222,47,337,20,82,35,228,22,162,0.0164809874259,15,NewGudkova
317,231,50,350,21,94,31,346,80,68,0.0165379816554,15,NewGudkova
258,256,77,56,11,147,4,250,42,108,0.0165881753431,15,NewGudkova
118,189,46,292,11,32,41,190,12,168,0.0165911682314,15,NewGudkova
220,246,59,16,21,114,21,238,30,136,0.016591523744,15,NewGudkova
233,254,63,28,19,124,17,242,32,128,0.0166154105161,15,NewGudkova
3,244,57,11,20,110,23,4,72,68,0.0166410297449,15,NewGudkova
151,202,43,308,15,53,42,216,16,178,0.0166636242164,15,NewGudkova
68,176,57,274,4,7,31,114,14,110,0.0168602443415,15,NewGudkova
242,256,66,34,18,129,14,244,34,124,0.01688559026,15,NewGudkova
229,252,63,26,19,122,17,240,32,128,0.0169463581112,15,NewGudkova
61,177,60,272,2,3,29,102,16,100,0.0169920311983,15,NewGudkova
161,211,44,320,17,66,39,222,18,172,0.0170247093657,15,NewGudkova
211,237,54,3,22,105,26,236,28,146,0.0170615373107,15,NewGudkova
96,184,50,284,8,20,38,158,10,144,0.0170804764799,15,NewGudkova
252,257,71,44,15,137,9,246,38,116,0.017081815835,15,NewGudkova
13,256,65,31,17,126,16,22,64,70,0.0171042463298,15,NewGudkova
205,234,51,356,22,100,29,236,26,152,0.0172072704661,15,NewGudkova
142,200,44,304,13,47,42,210,14,176,0.0172688890994,15,NewGudkova
219,248,60,18,20,116,20,238,30,134,0.0173174129863,15,NewGudkova
67,177,58,274,4,7,31,112,14,108,0.0173678106781,15,NewGudkova
50,174,72,81,0,351,17,80,28,88,0.017421768651,15,NewGudkova
57,176,62,270,1,1,27,96,18,96,0.0174781699119,15,NewGudkova
15,256,66,33,17,128,14,24,62,70,0.0174792750017,15,NewGudkova
239,254,66,32,18,127,14,242,34,124,0.0175060228501,15,NewGudkova
2,242,56,11,22,112,23,4,72,66,0.0175432131433,15,NewGudkova
263,241,79,62,10,332,0,252,46,104,0.0175594834178,15,NewGudkova
16,258,66,35,17,130,14,26,62,70,0.0175597816276,15,NewGudkova
311,223,46,338,21,84,35,336,84,68,0.0176154225586,15,NewGudkova
54,172,66,266,1,356,23,90,22,94,0.0176361227555,15,NewGudkova
204,236,52,358,22,101,28,236,26,150,0.0176510169466,15,NewGudkova
128,193,45,296,11,37,42,198,12,172,0.0176829556511,15,NewGudkova
322,237,52,2,23,104,27,356,76,66,0.0178406080189,15,NewGudkova
34,233,82,65,6,335,1,58,44,80,0.0178987173278,15,NewGudkova
168,210,43,320,19,67,39,224,20,174,0.0179501187198,15,NewGudkova
42,191,79,74,4,343,9,68,36,82,0.0180136488303,15,NewGudkova
208,243,56,9,21,109,24,236,28,140,0.0181834678095,15,NewGudkova
181,224,47,339,20,84,35,230,22,162,0.0182245432017,15,NewGudkova
82,184,52,282,6,17,37,142,10,130,0.0182331077437,15,NewGudkova
243,254,64,32,19,128,15,244,34,126,0.0182544625908,15,NewGudkova
154,206,44,314,17,60,40,218,18,174,0.018337295837,15,NewGudkova
113,189,47,290,9,28,40,178,10,158,0.0183872970231,15,NewGudkova
189,231,50,350,21,93,31,232,24,154,0.0184758170729,15,NewGudkova
275,178,70,83,1,352,18,264,64,92,0.0184776132321,15,NewGudkova
51,176,70,83,0,353,19,82,26,88,0.0184928730427,15,NewGudkova
124,195,46,298,11,38,41,196,12,168,0.0186048958926,15,NewGudkova
230,250,62,24,19,121,18,240,32,130,0.0186915907648,15,NewGudkova
40,195,78,74,5,343,9,66,36,80,0.0187279726361,15,NewGudkova
184,219,45,332,21,80,36,230,22,168,0.0188138315742,15,NewGudkova
248,256,68,38,17,132,12,244,36,120,0.0188270612993,15,NewGudkova
84,183,51,282,6,17,37,144,10,132,0.0188614856865,15,NewGudkova
227,244,57,14,22,114,22,240,30,140,0.0188660786545,15,NewGudkova
303,210,43,320,19,68,39,320,88,70,0.0190537613286,15,NewGudkova
81,184,52,282,6,17,36,140,10,128,0.0190748944914,15,NewGudkova
321,235,52,0,23,102,27,354,76,66,0.0191869199218,15,NewGudkova
237,259,68,36,16,130,14,242,34,120,0.0192086372422,15,NewGudkova
1,242,55,6,21,107,25,0,74,68,0.0192926113694,15,NewGudkova
19,257,69,42,16,136,10,32,58,70,0.0193479222636,15,NewGudkova
21,262,70,43,15,136,11,34,58,72,0.0193943953385,15,NewGudkova
284,185,52,282,5,17,36,282,82,84,0.0194629432786,15,NewGudkova
30,255,80,60,8,150,2,52,48,78,0.0195335033014,15,NewGudkova
155,204,43,312,17,58,41,218,18,176,0.0195737157868,15,NewGudkova
221,244,58,14,21,113,22,238,30,138,0.0196108506463,15,NewGudkova
319,234,52,354,21,97,29,350,78,68,0.0196323244612,15,NewGudkova
8,251,60,22,20,120,20,14,68,68,0.0197322701374,15,NewGudkova
44,176,76,77,2,346,13,74,32,86,0.0197989069839,15,NewGudkova
18,261,69,39,15,132,13,30,60,72,0.0198186872276,15,NewGudkova
130,195,45,298,11,39,42,200,12,172,0.0198836252272,15,NewGudkova
228,254,64,28,18,124,17,240,32,126,0.0199286108391,15,NewGudkova
39,204,82,70,5,339,5,64,40,82,0.0199404907491,15,NewGudkova
77,179,54,278,6,13,34,132,12,124,0.0199577260615,15,NewGudkova
316,229,49,350,23,95,30,346,80,66,0.0199595263804,15,NewGudkova
298,206,44,312,15,56,40,312,88,74,0.0201193385178,15,NewGudkova
143,202,44,308,15,52,41,212,16,174,0.0201713633014,15,NewGudkova
315,229,50,348,21,92,31,344,80,68,0.0202445232968,15,NewGudkova
110,187,48,288,9,26,40,174,10,156,0.0203136695419,15,NewGudkova
206,233,50,354,23,98,29,236,26,154,0.0203730455862,15,NewGudkova
259,254,75,54,13,145,4,250,42,110,0.0204666608136,15,NewGudkova
69,176,57,274,5,7,31,116,14,112,0.0204692410197,15,NewGudkova
173,212,43,322,19,69,39,226,20,174,0.0204704897639,15,NewGudkova
70,182,56,278,4,11,33,118,12,110,0.0205050275408,15,NewGudkova
213,245,56,11,21,111,24,238,28,140,0.0205163815853,15,NewGudkova
141,201,44,306,13,49,41,210,14,174,0.0206378890991,15,NewGudkova
187,224,48,341,22,87,33,230,24,160,0.0207488342968,15,NewGudkova
134,194,44,298,13,41,42,204,14,176,0.0207561282941,15,NewGudkova
281,180,56,276,3,9,32,276,78,86,0.0208990818152,15,NewGudkova
