Index,AZT,DPT,AZN,DPN,AZP,DPP,Strike,Dip,Rake,Misfit
2214,221.059013267,18.9550639716,334.307922787,48.97353863,117.260323259,34.7782708312,166,80,-40,0.00094001944102
2713,217.242127195,19.4531892837,-36.9264277001,37.6822017116,105.879666437,45.8837487955,264,42,-156,0.0036356211023
5025,213.945491415,32.3352304532,117.123028273,10.6283328446,11.2510809437,55.543637846,338,16,-48,0.00380208806601
2756,220.476005492,18.8732925544,332.799448328,48.0124023488,116.179370788,35.8427432187,264,50,-166,0.00472273761597
2744,220.021517738,19.1658744447,330.803208909,45.5904995111,114.166140512,38.169462657,264,48,-164,0.00506410328125
2703,216.565902722,20.0248089261,-38.4844866014,35.2912988913,102.857186111,47.8101384403,264,40,-154,0.00507503630364
22,216.357354376,34.4037737865,111.432715162,20.6106142963,356.498968797,48.2635331033,0,22,-20,0.00598170050913
3032,225.106605351,20.7048110546,356.0,60.0,126.893394649,20.7048110546,266,60,-180,0.00607771005307
783,228.411793039,28.8820189553,72.0280230241,58.9503062624,324.236012218,10.4236685503,10,62,14,0.00611593302283
884,223.650865985,33.8856852312,99.3899314703,39.9707191482,338.180671956,31.722971252,12,40,2,0.00639290091877
279,228.155998308,23.9609684772,31.2303274724,65.0834912569,135.282739035,6.43538705899,4,78,22,0.00649370833762
664,220.562469853,34.9962027231,104.713727865,31.912828613,344.73681429,38.7408540273,10,32,-4,0.007033236589
926,226.34225236,31.9991104552,89.6667785633,49.3399955401,331.175913943,22.2799802005,12,50,8,0.0070692518405
3882,212.063912006,25.8500139814,308.021589268,12.0917253065,60.8276182017,61.0709228638,276,22,-124,0.00726344851977
935,226.668096943,32.1472175798,86.0181553673,50.8993361352,329.737797373,19.7904015085,12,52,10,0.00752875953463
5170,215.01546042,32.9606367763,115.377368141,14.4775121859,5.17203785051,53.2194141903,348,18,-36,0.00768882858859
4110,211.83444109,26.8031603277,306.548704851,9.23990894423,53.9102086362,61.4019510455,280,20,-118,0.00805980191229
5415,226.06945808,20.8818453804,1.75530250227,61.9344274826,128.998320554,17.8837446878,358,88,28,0.00813500369042
2124,218.740190527,18.8127507836,326.850333558,42.3784077181,111.101075108,41.6520739367,160,76,-46,0.00869257684625
2723,217.880954847,18.9440188114,-35.3212909544,40.0964343394,108.635292494,43.8407179674,264,44,-158,0.00905567552385
893,223.749172622,33.9512832169,96.6245349402,41.874454679,336.143219941,29.5035637081,12,42,4,0.00907966833215
909,225.035570382,32.9813525196,93.3962073857,45.6759231016,333.469211104,25.9782061121,12,46,6,0.00934428483693
1425,215.459149496,33.1341019169,114.850563806,15.7505569216,3.37557740407,52.3893365972,112,80,-106,0.00942379990992
5314,215.991639012,33.9483450554,113.430855348,17.9029533838,0.447878131308,50.3970830551,356,20,-26,0.00952111450515
1966,214.403127928,20.5976386831,-42.9290351058,30.2638761179,95.5645650023,52.0752906347,148,72,-58,0.00983569822722
3309,227.12838882,22.1794366577,17.0617079724,64.7768433962,132.412110443,11.4027276605,268,66,172,0.00984378903398
4161,223.459038503,34.4733547008,98.3226208985,39.9707191482,337.936062186,31.108983345,280,88,130,0.00996189392404
4288,211.874306586,27.8506311758,305.09361566,6.06692397278,46.3261828765,61.3815612256,286,18,-110,0.0101112106514
3308,227.439129028,23.5643308657,21.4375200404,64.1142843273,132.981573858,10.1039150859,268,66,170,0.01049741294
415,228.69554652,25.3014757955,43.1369167615,64.5940203512,137.677146758,2.15317012251,6,74,20,0.0104998647739
3944,227.060100273,31.9724861403,85.8996492587,51.2918889303,329.781513695,19.432218863,276,82,142,0.0107225088299
4998,213.577858057,32.0330757828,117.110549038,10.2053289348,11.6318745738,55.9982598941,336,16,-50,0.0108453327222
1726,212.124630856,26.3449094249,306.881149766,9.50590370253,55.0294449051,61.7377790055,130,72,-80,0.0109980347073
1639,212.383590998,28.972878501,303.448518306,1.92249371591,36.9132297889,60.9511027387,124,74,-88,0.011044521916
3676,228.122669971,28.153296744,65.6179727137,60.7031319222,322.136737131,7.4524306957,272,76,154,0.0112196789515
2247,221.781513695,19.432218863,337.899649259,51.2918889303,119.060100273,31.9724861403,168,82,-38,0.0113208314225
4325,212.286398676,27.6898404842,305.172037851,5.47960946018,45.4260458982,61.6800204095,288,18,-108,0.0118458429175
167,227.623918,22.5331260792,19.3586128918,64.7768433962,133.10926965,10.7425932462,2,82,24,0.0119060655375
5274,215.573192435,33.4304116355,113.502629281,17.5769177277,0.406432722849,51.0780266664,354,20,-28,0.0121050509574
477,220.072316283,34.2751228675,107.217748924,29.6785891029,347.03307498,41.4202975456,8,30,-8,0.0121667960367
2733,219.518382063,19.5127206998,328.93261469,43.1674452505,111.952676624,40.4195082319,264,46,-162,0.0121702512088
