,Index,AZT,DPT,AZN,DPN,AZP,DPP,Strike,Dip,Rake,Misfit,Depth,Mod,Normalized
11772,2526,135,45,43,1,312,43,344,2,30,0.000805791,35,NewGudkova,1
11773,676,126,45,218,1,309,44,102,2,154,0.001327485,35,NewGudkova,0.990268531
11774,2549,135,46,43,1,312,43,346,2,32,0.00192003,35,NewGudkova,0.979215448
11775,2244,193,27,89,24,324,51,328,28,-28,0.00239568,35,NewGudkova,0.970342854
11776,2504,135,45,43,1,312,44,342,2,28,0.002637931,35,NewGudkova,0.965824
11777,407,172,38,69,15,321,46,68,86,-106,0.00265586,35,NewGudkova,0.965489563
11778,150,95,39,197,13,302,47,18,86,-76,0.002670539,35,NewGudkova,0.965215742
11779,2071,171,39,68,15,321,46,324,16,-14,0.003203575,35,NewGudkova,0.955272718
11780,2054,157,43,58,9,317,44,324,10,-4,0.003584945,35,NewGudkova,0.9481588
11781,2049,151,44,54,8,316,44,324,8,0,0.00384226,35,NewGudkova,0.943358941
11782,2268,141,45,47,3,314,44,330,4,12,0.004348132,35,NewGudkova,0.933922603
11783,1105,110,43,207,7,306,44,122,8,-176,0.004489272,35,NewGudkova,0.931289847
11784,2066,166,41,64,13,319,45,324,14,-10,0.004799168,35,NewGudkova,0.925509161
11785,943,119,45,214,3,307,44,118,4,174,0.004965833,35,NewGudkova,0.922400271
11786,1192,96,39,197,13,302,47,124,14,-164,0.005321381,35,NewGudkova,0.915768018
11787,636,126,45,218,1,309,43,98,2,150,0.005339821,35,NewGudkova,0.91542405
11788,1176,110,43,207,7,306,45,124,8,-174,0.005490157,35,NewGudkova,0.912619729
11789,2188,142,45,47,3,314,44,328,4,10,0.005608252,35,NewGudkova,0.910416847
11790,687,217,5,124,31,316,57,102,58,-128,0.005767861,35,NewGudkova,0.907439552
11791,2162,186,31,81,21,323,49,326,24,-24,0.006029545,35,NewGudkova,0.902558211
11792,1182,104,42,203,9,304,45,124,10,-170,0.006296777,35,NewGudkova,0.897573378
11793,1187,101,41,201,11,304,46,124,12,-168,0.00660556,35,NewGudkova,0.891813467
11794,507,191,29,87,23,324,51,82,78,-114,0.0067122,35,NewGudkova,0.889824235
11795,1131,87,36,191,16,301,48,122,18,-160,0.006860819,35,NewGudkova,0.887051957
11796,2559,51,8,146,30,307,58,346,60,-54,0.006917516,35,NewGudkova,0.885994359
11797,834,54,12,151,29,305,57,112,42,-138,0.007120263,35,NewGudkova,0.882212398
11798,2330,141,45,47,3,314,43,332,4,14,0.007144103,35,NewGudkova,0.88176769
11799,991,69,25,172,25,300,53,118,30,-148,0.007336099,35,NewGudkova,0.878186283
11800,588,204,19,103,28,324,54,92,70,-120,0.007337696,35,NewGudkova,0.878156484
11801,2306,199,23,96,26,324,52,330,32,-32,0.007344805,35,NewGudkova,0.878023884
11802,616,126,46,218,1,309,43,96,2,148,0.007424869,35,NewGudkova,0.876530396
11803,920,63,20,164,26,301,54,116,34,-144,0.007513411,35,NewGudkova,0.874878768
11804,1136,85,35,188,18,301,49,122,20,-158,0.007630965,35,NewGudkova,0.872685973
11805,434,177,36,73,17,322,47,72,84,-108,0.007885651,35,NewGudkova,0.867935167
11806,2462,218,5,125,31,317,58,338,48,-46,0.008250065,35,NewGudkova,0.861137522
11807,768,46,2,138,30,311,58,108,50,-132,0.008252946,35,NewGudkova,0.86108379
11808,2359,206,16,106,29,322,55,332,38,-38,0.008639438,35,NewGudkova,0.853874318
11809,1097,116,44,211,6,307,44,122,6,-180,0.008639655,35,NewGudkova,0.853870286
11810,1023,116,44,212,5,307,44,120,6,178,0.008716365,35,NewGudkova,0.852439363
11811,1063,78,31,181,21,300,50,120,24,-154,0.00877174,35,NewGudkova,0.851406413
11812,1068,74,28,177,22,299,52,120,26,-150,0.009010548,35,NewGudkova,0.84695178
11813,1141,81,32,184,19,299,50,122,22,-154,0.009098985,35,NewGudkova,0.845302121
11814,2115,146,45,49,5,314,44,326,6,6,0.009211605,35,NewGudkova,0.843201354
11815,2400,211,12,114,29,320,57,334,42,-42,0.00924083,35,NewGudkova,0.842656205
11816,367,163,41,62,11,319,45,62,88,-102,0.009241735,35,NewGudkova,0.842639328
11817,1993,157,43,58,9,317,45,322,10,-6,0.009318257,35,NewGudkova,0.841211901
11818,2120,151,44,53,7,316,44,326,8,2,0.009346481,35,NewGudkova,0.840685425
11819,2114,148,45,51,5,316,44,326,6,4,0.009501841,35,NewGudkova,0.837787401
11820,2060,163,42,62,11,319,45,324,12,-8,0.009693977,35,NewGudkova,0.834203382
11821,2156,183,33,79,20,324,49,326,22,-22,0.010015224,35,NewGudkova,0.828210978
11822,191,104,42,203,9,304,46,24,88,-80,0.01045973,35,NewGudkova,0.819919335
11823,2077,174,37,70,17,321,47,324,18,-16,0.010537935,35,NewGudkova,0.818460534
11824,736,44,1,135,31,312,58,106,52,-132,0.010591245,35,NewGudkova,0.817466115
11825,2042,147,44,51,5,316,44,324,6,2,0.010711041,35,NewGudkova,0.81523148
11826,1098,114,44,209,5,305,44,122,6,-178,0.010887711,35,NewGudkova,0.811935954
11827,2061,161,42,60,11,317,44,324,12,-6,0.01094636,35,NewGudkova,0.810841929
11828,712,219,3,127,30,316,59,104,56,-128,0.010961161,35,NewGudkova,0.810565843
11829,1988,151,44,54,7,316,44,322,8,-2,0.011115786,35,NewGudkova,0.807681533
11830,2151,179,36,75,18,322,47,326,20,-18,0.011219345,35,NewGudkova,0.805749787
11831,2621,60,17,159,27,301,56,352,68,-60,0.011342694,35,NewGudkova,0.803448872
11832,463,182,34,78,19,324,49,76,82,-110,0.011391102,35,NewGudkova,0.802545899
11833,1096,119,44,214,3,307,44,122,4,178,0.011401645,35,NewGudkova,0.802349229
11834,2076,176,37,72,17,323,47,324,18,-18,0.011546598,35,NewGudkova,0.799645339
11835,1126,92,38,195,15,302,47,122,16,-164,0.011579097,35,NewGudkova,0.799039106
11836,2195,146,45,49,5,314,43,328,6,8,0.01179499,35,NewGudkova,0.795011943
11837,2430,213,10,117,31,319,56,336,44,-42,0.011882117,35,NewGudkova,0.7933867
11838,1116,101,41,201,11,304,45,122,12,-170,0.012048765,35,NewGudkova,0.790278111
11839,606,207,16,107,29,322,55,94,68,-122,0.012109196,35,NewGudkova,0.789150856
11840,2157,182,34,77,20,322,48,326,22,-20,0.012164417,35,NewGudkova,0.788120798
11841,2082,179,35,75,18,322,48,324,20,-20,0.012214825,35,NewGudkova,0.787180511
11842,122,89,37,192,15,301,48,14,84,-74,0.012538799,35,NewGudkova,0.781137223
11843,797,50,7,145,31,308,57,110,46,-136,0.012641717,35,NewGudkova,0.779217423
11844,1998,162,41,62,11,319,45,322,12,-10,0.012728109,35,NewGudkova,0.777605906
11845,1121,95,40,197,13,302,46,122,14,-166,0.012866231,35,NewGudkova,0.775029446
11846,627,208,15,110,28,323,56,96,66,-122,0.012973072,35,NewGudkova,0.773036469
11847,923,61,18,161,27,302,55,116,36,-142,0.013117328,35,NewGudkova,0.770345586
11848,1169,116,44,211,5,307,44,124,6,-178,0.013223101,35,NewGudkova,0.768372525
11849,1170,114,44,209,5,306,45,124,6,-176,0.013343249,35,NewGudkova,0.766131329
11850,950,115,45,212,5,307,44,118,6,176,0.013371387,35,NewGudkova,0.765606467
