Index,Strike,Dip,Rake,Misfit,Extra
439,70,76,-116,0.000955321846323,"[35, 'NewGudkova', 290372, array([-4.24445439, -2.55427471,  0.16182495]), array([-0.85650106, -0.51516952,  0.03172226])]"
837,102,4,172,0.00245439135122,"[35, 'NewGudkova', 413636, array([-4.53843792, -2.72116056,  0.15725751]), array([-0.85650106, -0.51516952,  0.03172226])]"
698,94,48,-134,0.00348985165927,"[35, 'NewGudkova', 385043, array([-3.99798007, -2.38582387,  0.14928516]), array([-0.85650106, -0.51516952,  0.03172226])]"
978,106,6,-180,0.00446477526757,"[35, 'NewGudkova', 429840, array([-4.51304849, -2.70402677,  0.18870779]), array([-0.85650106, -0.51516952,  0.03172226])]"
1070,108,10,-172,0.00446839929909,"[35, 'NewGudkova', 438304, array([-4.47566137, -2.66486528,  0.1646036 ]), array([-0.85650106, -0.51516952,  0.03172226])]"
896,104,4,174,0.00450109606511,"[35, 'NewGudkova', 421737, array([-4.52910082, -2.74400333,  0.15133497]), array([-0.85650106, -0.51516952,  0.03172226])]"
591,86,60,-126,0.00532830686792,"[35, 'NewGudkova', 353727, array([-4.00294542, -2.43418055,  0.13826132]), array([-0.85650106, -0.51516952,  0.03172226])]"
1057,108,6,-178,0.00573518677105,"[35, 'NewGudkova', 437941, array([-4.49883125, -2.73828625,  0.17925005]), array([-0.85650106, -0.51516952,  0.03172226])]"
1086,108,16,-162,0.0058707201468,"[35, 'NewGudkova', 438849, array([-4.36238133, -2.61758911,  0.1908772 ]), array([-0.85650106, -0.51516952,  0.03172226])]"
579,86,2,152,0.00599595002295,"[35, 'NewGudkova', 348646, array([-4.55713243, -2.72848323,  0.13857351]), array([-0.85650106, -0.51516952,  0.03172226])]"
791,100,4,170,0.0060186378189,"[35, 'NewGudkova', 405535, array([-4.54755154, -2.69845028,  0.16353107]), array([-0.85650106, -0.51516952,  0.03172226])]"
556,84,2,150,0.00633845635779,"[35, 'NewGudkova', 340545, array([-4.56106918, -2.71844758,  0.14250083]), array([-0.85650106, -0.51516952,  0.03172226])]"
603,88,2,154,0.00636342322799,"[35, 'NewGudkova', 356747, array([-4.5530731 , -2.73872058,  0.13479627]), array([-0.85650106, -0.51516952,  0.03172226])]"
640,90,54,-130,0.00642786308295,"[35, 'NewGudkova', 369385, array([-3.98903868, -2.39900229,  0.17769283]), array([-0.85650106, -0.51516952,  0.03172226])]"
1091,108,18,-160,0.00650323183338,"[35, 'NewGudkova', 439030, array([-4.3457851 , -2.61657615,  0.12806204]), array([-0.85650106, -0.51516952,  0.03172226])]"
1081,108,14,-166,0.00653620886674,"[35, 'NewGudkova', 438667, array([-4.42422639, -2.62483597,  0.15036343]), array([-0.85650106, -0.51516952,  0.03172226])]"
535,82,2,148,0.00726330029435,"[35, 'NewGudkova', 332444, array([-4.5648795 , -2.70862645,  0.1465731 ]), array([-0.85650106, -0.51516952,  0.03172226])]"
1020,106,22,-156,0.00729788529663,"[35, 'NewGudkova', 431292, array([-4.29086404, -2.53841349,  0.15720224]), array([-0.85650106, -0.51516952,  0.03172226])]"
627,90,2,156,0.00736089572617,"[35, 'NewGudkova', 364848, array([-4.54889524, -2.74914656,  0.13117408]), array([-0.85650106, -0.51516952,  0.03172226])]"
816,100,38,-140,0.00747512868522,"[35, 'NewGudkova', 408440, array([-4.0135921 , -2.45276724,  0.13746897]), array([-0.85650106, -0.51516952,  0.03172226])]"
1141,110,10,-170,0.00795412286148,"[35, 'NewGudkova', 446405, array([-4.45197659, -2.72008301,  0.14533718]), array([-0.85650106, -0.51516952,  0.03172226])]"
948,104,28,-150,0.00848985960539,"[35, 'NewGudkova', 423735, array([-4.20067653, -2.48722459,  0.13086698]), array([-0.85650106, -0.51516952,  0.03172226])]"
514,80,2,146,0.00855868096615,"[35, 'NewGudkova', 324343, array([-4.56855971, -2.69903242,  0.15078507]), array([-0.85650106, -0.51516952,  0.03172226])]"
1064,108,8,-176,0.00877652229492,"[35, 'NewGudkova', 438122, array([-4.50622745, -2.6989993 ,  0.12162497]), array([-0.85650106, -0.51516952,  0.03172226])]"
652,92,2,158,0.00879599943574,"[35, 'NewGudkova', 372949, array([-4.54460306, -2.75974791,  0.12771178]), array([-0.85650106, -0.51516952,  0.03172226])]"
1025,106,24,-152,0.00880033621202,"[35, 'NewGudkova', 431474, array([-4.19924212, -2.55813815,  0.18932528]), array([-0.85650106, -0.51516952,  0.03172226])]"
976,106,4,176,0.00890951809724,"[35, 'NewGudkova', 429838, array([-4.51955016, -2.76694952,  0.14577325]), array([-0.85650106, -0.51516952,  0.03172226])]"
869,102,32,-146,0.009039969887,"[35, 'NewGudkova', 415997, array([-4.12686132, -2.44399876,  0.18068168]), array([-0.85650106, -0.51516952,  0.03172226])]"
1076,108,12,-168,0.00960340259436,"[35, 'NewGudkova', 438486, array([-4.43198187, -2.63981205,  0.20806129]), array([-0.85650106, -0.51516952,  0.03172226])]"
1147,110,12,-166,0.00977407978586,"[35, 'NewGudkova', 446587, array([-4.40384875, -2.70396212,  0.18197601]), array([-0.85650106, -0.51516952,  0.03172226])]"
497,78,2,144,0.0100597597907,"[35, 'NewGudkova', 316242, array([-4.57210636, -2.68967784,  0.15513135]), array([-0.85650106, -0.51516952,  0.03172226])]"
1096,108,20,-156,0.0100815171734,"[35, 'NewGudkova', 439212, array([-4.26633613, -2.62501028,  0.16149567]), array([-0.85650106, -0.51516952,  0.03172226])]"
751,98,4,168,0.0104988196284,"[35, 'NewGudkova', 397434, array([-4.55643227, -2.67590157,  0.17014543]), array([-0.85650106, -0.51516952,  0.03172226])]"
682,94,2,160,0.010505641746,"[35, 'NewGudkova', 381050, array([-4.540201  , -2.77051118,  0.12441402]), array([-0.85650106, -0.51516952,  0.03172226])]"
904,104,6,178,0.0105573779792,"[35, 'NewGudkova', 421919, array([-4.52687724, -2.66979681,  0.19870516]), array([-0.85650106, -0.51516952,  0.03172226])]"
1065,108,8,-174,0.0105725113771,"[35, 'NewGudkova', 438123, array([-4.47416743, -2.69503051,  0.22097054]), array([-0.85650106, -0.51516952,  0.03172226])]"
567,84,62,-126,0.0111673607449,"[35, 'NewGudkova', 345807, array([-4.08023821, -2.39599546,  0.16775069]), array([-0.85650106, -0.51516952,  0.03172226])]"
953,104,30,-146,0.0112873440679,"[35, 'NewGudkova', 423917, array([-4.09310713, -2.52529477,  0.15155987]), array([-0.85650106, -0.51516952,  0.03172226])]"
481,76,2,142,0.0116667460807,"[35, 'NewGudkova', 308141, array([-4.57551613, -2.68057473,  0.15960645]), array([-0.85650106, -0.51516952,  0.03172226])]"
873,102,34,-144,0.0116763108324,"[35, 'NewGudkova', 416178, array([-4.09482651, -2.46876673,  0.09610927]), array([-0.85650106, -0.51516952,  0.03172226])]"
628,90,2,158,0.0118834980867,"[35, 'NewGudkova', 364849, array([-4.53360651, -2.7431995 ,  0.22966581]), array([-0.85650106, -0.51516952,  0.03172226])]"
653,92,2,160,0.0118849453351,"[35, 'NewGudkova', 372950, array([-4.52938345, -2.75385242,  0.22602917]), array([-0.85650106, -0.51516952,  0.03172226])]"
1130,110,6,-176,0.012253694789,"[35, 'NewGudkova', 446042, array([-4.48424194, -2.77253165,  0.17034965]), array([-0.85650106, -0.51516952,  0.03172226])]"
392,64,80,-112,0.0122967274952,"[35, 'NewGudkova', 266434, array([-4.29879337, -2.6568936 ,  0.17214184]), array([-0.85650106, -0.51516952,  0.03172226])]"
604,88,2,156,0.0123293355312,"[35, 'NewGudkova', 356748, array([-4.5377115 , -2.73271465,  0.23345832]), array([-0.85650106, -0.51516952,  0.03172226])]"
683,94,2,162,0.012346981865,"[35, 'NewGudkova', 381051, array([-4.52504666, -2.7646599 ,  0.22255329]), array([-0.85650106, -0.51516952,  0.03172226])]"
711,96,2,162,0.0123878164215,"[35, 'NewGudkova', 389151, array([-4.53569364, -2.78142274,  0.1212853 ]), array([-0.85650106, -0.51516952,  0.03172226])]"
985,106,8,-178,0.0125530169055,"[35, 'NewGudkova', 430021, array([-4.52485807, -2.65366601,  0.13567315]), array([-0.85650106, -0.51516952,  0.03172226])]"
1136,110,8,-172,0.0125819996944,"[35, 'NewGudkova', 446224, array([-4.45507629, -2.73985417,  0.20693473]), array([-0.85650106, -0.51516952,  0.03172226])]"
768,98,40,-140,0.0126908986903,"[35, 'NewGudkova', 400520, array([-4.0570043 , -2.38423573,  0.18500982]), array([-0.85650106, -0.51516952,  0.03172226])]"
453,72,74,-118,0.0128270418111,"[35, 'NewGudkova', 298291, array([-4.22988323, -2.52254753,  0.21678798]), array([-0.85650106, -0.51516952,  0.03172226])]"
1152,110,14,-164,0.0129341070173,"[35, 'NewGudkova', 446768, array([-4.3913831 , -2.69793079,  0.11778897]), array([-0.85650106, -0.51516952,  0.03172226])]"
580,86,2,154,0.0131631155294,"[35, 'NewGudkova', 348647, array([-4.54169424, -2.7224112 ,  0.23740166]), array([-0.85650106, -0.51516952,  0.03172226])]"
712,96,2,164,0.0132324945792,"[35, 'NewGudkova', 389152, array([-4.52060069, -2.77560829,  0.21924292]), array([-0.85650106, -0.51516952,  0.03172226])]"
465,74,2,140,0.0133224839611,"[35, 'NewGudkova', 300040, array([-4.57878593, -2.67173485,  0.16420474]), array([-0.85650106, -0.51516952,  0.03172226])]"
1135,110,8,-174,0.0133662370969,"[35, 'NewGudkova', 446223, array([-4.48700488, -2.74423496,  0.10831841]), array([-0.85650106, -0.51516952,  0.03172226])]"
