Index,AZT,DPT,AZN,DPN,AZP,DPP,Strike,Dip,Rake,Misfit
7,44.0120744113,14.4488575487,142.394086045,29.4987042311,291.106610661,56.4946944006,100,40,-140,0.043481297698
0,120.0,45.0,30.0,0.0,300.0,45.0,0,0,60,0.0491458390424
1,120.0,45.0,30.0,0.0,300.0,45.0,20,0,80,0.0491458390424
2,120.0,45.0,30.0,0.0,300.0,45.0,40,0,100,0.0491458390424
3,120.0,45.0,30.0,0.0,300.0,45.0,60,0,120,0.0491458390424
4,120.0,45.0,30.0,0.0,300.0,45.0,80,0,140,0.0491458390424
5,120.0,45.0,30.0,8.53773646252e-07,300.0,45.0,100,0,160,0.0491458390424
8,120.0,45.0,30.0,0.0,300.0,45.0,120,0,-180,0.0491458390424
9,120.0,45.0,30.0,0.0,300.0,45.0,140,0,-160,0.0491458390424
10,120.0,45.0,30.0,0.0,300.0,45.0,160,0,-140,0.0491458390424
6,90.1489238834,44.1360294638,190.0,10.0,289.851076117,44.1360294638,100,10,-180,0.0526094733842
90,165.22172376,35.5735285406,61.1728321852,18.747237251,308.742554352,48.3465846602,310,20,-20,0.00757919322331
27,42.0120744113,14.4488575487,140.394086045,29.4987042311,289.106610661,56.4946944006,98,40,-140,0.0126908986903
98,193.987925589,14.4488575487,95.6059139551,29.4987042311,306.893389339,56.4946944006,318,40,-40,0.0128485139979
107,47.9733934056,19.4872506624,148.829770567,28.0243206736,287.847472305,54.8140893612,340,70,-60,0.0146960178349
34,70.7782762396,35.5735285406,174.827167815,18.747237251,287.257445648,48.3465846602,106,20,-160,0.0192690477281
92,141.851076117,44.1360294638,42.0,10.0,302.148923883,44.1360294638,312,10,0,0.0207206074897
19,188.026606594,19.4872506624,87.1702294331,28.0243206736,308.152527695,54.8140893612,76,70,-120,0.0228415559643
21,190.026606594,19.4872506624,89.1702294331,28.0243206736,310.152527695,54.8140893612,78,70,-120,0.0256203527238
89,139.851076117,44.1360294638,40.0,10.0,300.148923883,44.1360294638,310,10,0,0.0285502393435
88,163.22172376,35.5735285406,59.1728321852,18.747237251,306.742554352,48.3465846602,308,20,-20,0.0304426322312
95,143.851076117,44.1360294638,44.0,10.0,304.148923883,44.1360294638,314,10,0,0.0338057541891
103,116.0,45.0,26.0,0.0,296.0,45.0,336,0,40,0.0343656280291
84,116.0,45.0,26.0,8.53773646252e-07,296.0,45.0,296,0,0,0.0343656280291
74,116.0,45.0,26.0,0.0,296.0,45.0,256,0,-40,0.0343656280291
25,116.0,45.0,26.0,8.53773646252e-07,296.0,45.0,96,0,160,0.0343656280291
110,116.0,45.0,26.0,0.0,296.0,45.0,356,0,60,0.0343656280291
79,116.0,45.0,26.0,0.0,296.0,45.0,276,0,-20,0.0343656280291
69,116.0,45.0,26.0,0.0,296.0,45.0,236,0,-60,0.0343656280291
54,116.0,45.0,26.0,0.0,296.0,45.0,176,0,-120,0.0343656280291
44,116.0,45.0,26.0,0.0,296.0,45.0,136,0,-160,0.0343656280291
59,116.0,45.0,26.0,0.0,296.0,45.0,196,0,-100,0.0343656280291
13,116.0,45.0,26.0,0.0,296.0,45.0,56,0,120,0.0343656280291
8,116.0,45.0,26.0,8.53773646252e-07,296.0,45.0,36,0,100,0.0343656280291
96,116.0,45.0,26.0,0.0,296.0,45.0,316,0,20,0.0343656280291
49,116.0,45.0,26.0,0.0,296.0,45.0,156,0,-140,0.0343656280291
3,116.0,45.0,26.0,8.53773646252e-07,296.0,45.0,16,0,80,0.0343656280291
38,116.0,45.0,26.0,8.53773646252e-07,296.0,45.0,116,0,-180,0.0343656280291
18,116.0,45.0,26.0,0.0,296.0,45.0,76,0,140,0.0343656280291
64,116.0,45.0,26.0,0.0,296.0,45.0,216,0,-80,0.0343656280291
93,167.22172376,35.5735285406,63.1728321852,18.747237251,310.742554352,48.3465846602,312,20,-20,0.0369665629925
50,118.0,45.0,28.0,0.0,298.0,45.0,158,0,-140,0.038444324198
55,118.0,45.0,28.0,0.0,298.0,45.0,178,0,-120,0.038444324198
65,118.0,45.0,28.0,0.0,298.0,45.0,218,0,-80,0.038444324198
70,118.0,45.0,28.0,0.0,298.0,45.0,238,0,-60,0.038444324198
75,118.0,45.0,28.0,0.0,298.0,45.0,258,0,-40,0.038444324198
45,118.0,45.0,28.0,0.0,298.0,45.0,138,0,-160,0.038444324198
85,118.0,45.0,28.0,0.0,298.0,45.0,298,0,0,0.038444324198
97,118.0,45.0,28.0,0.0,298.0,45.0,318,0,20,0.038444324198
104,118.0,45.0,28.0,0.0,298.0,45.0,338,0,40,0.038444324198
60,118.0,45.0,28.0,0.0,298.0,45.0,198,0,-100,0.038444324198
80,118.0,45.0,28.0,0.0,298.0,45.0,278,0,-20,0.038444324198
111,118.0,45.0,28.0,0.0,298.0,45.0,358,0,60,0.038444324198
20,118.0,45.0,28.0,0.0,298.0,45.0,78,0,140,0.038444324198
14,118.0,45.0,28.0,0.0,298.0,45.0,58,0,120,0.038444324198
40,118.0,45.0,28.0,0.0,298.0,45.0,118,0,-180,0.038444324198
26,118.0,45.0,28.0,0.0,298.0,45.0,98,0,160,0.038444324198
9,118.0,45.0,28.0,0.0,298.0,45.0,38,0,100,0.038444324198
4,118.0,45.0,28.0,0.0,298.0,45.0,18,0,80,0.038444324198
12,114.0,45.0,24.0,0.0,294.0,45.0,54,0,120,0.0390949060696
94,114.0,45.0,24.0,0.0,294.0,45.0,314,0,20,0.0390949060696
73,114.0,45.0,24.0,0.0,294.0,45.0,254,0,-40,0.0390949060696
53,114.0,45.0,24.0,0.0,294.0,45.0,174,0,-120,0.0390949060696
24,114.0,45.0,24.0,0.0,294.0,45.0,94,0,160,0.0390949060696
2,114.0,45.0,24.0,8.53773646252e-07,294.0,45.0,14,0,80,0.0390949060696
109,114.0,45.0,24.0,0.0,294.0,45.0,354,0,60,0.0390949060696
78,114.0,45.0,24.0,0.0,294.0,45.0,274,0,-20,0.0390949060696
43,114.0,45.0,24.0,0.0,294.0,45.0,134,0,-160,0.0390949060697
68,114.0,45.0,24.0,0.0,294.0,45.0,234,0,-60,0.0390949060697
48,114.0,45.0,24.0,8.53773646252e-07,294.0,45.0,154,0,-140,0.0390949060697
102,114.0,45.0,24.0,0.0,294.0,45.0,334,0,40,0.0390949060697
7,114.0,45.0,24.0,0.0,294.0,45.0,34,0,100,0.0390949060697
63,114.0,45.0,24.0,0.0,294.0,45.0,214,0,-80,0.0390949060697
37,114.0,45.0,24.0,0.0,294.0,45.0,114,0,-180,0.0390949060697
17,114.0,45.0,24.0,0.0,294.0,45.0,74,0,140,0.0390949060697
83,114.0,45.0,24.0,0.0,294.0,45.0,294,0,0,0.0390949060697
58,114.0,45.0,24.0,0.0,294.0,45.0,194,0,-100,0.0390949060697
33,68.7782762396,35.5735285406,172.827167815,18.747237251,285.257445648,48.3465846602,104,20,-160,0.0392736768695
35,72.7782762396,35.5735285406,176.827167815,18.747237251,289.257445648,48.3465846602,108,20,-160,0.0394464663949
100,195.987925589,14.4488575487,97.6059139551,29.4987042311,308.893389339,56.4946944006,320,40,-40,0.0394568834336
31,92.1489238834,44.1360294638,192.0,10.0,291.851076117,44.1360294638,102,10,-180,0.0426327779886
30,44.0120744113,14.4488575487,142.394086045,29.4987042311,291.106610661,56.4946944006,100,40,-140,0.043481297698
105,45.9733934056,19.4872506624,146.829770567,28.0243206736,285.847472305,54.8140893612,338,70,-60,0.0457544083842
32,94.1489238834,44.1360294638,194.0,10.0,293.851076117,44.1360294638,104,10,-180,0.0460392241764
87,137.851076117,44.1360294638,38.0,10.0,298.148923883,44.1360294638,308,10,0,0.0470783741123
86,120.0,45.0,30.0,0.0,300.0,45.0,300,0,0,0.0491458390424
76,120.0,45.0,30.0,0.0,300.0,45.0,260,0,-40,0.0491458390424
10,120.0,45.0,30.0,0.0,300.0,45.0,40,0,100,0.0491458390424
99,120.0,45.0,30.0,8.53773646252e-07,300.0,45.0,320,0,20,0.0491458390424
106,120.0,45.0,30.0,8.53773646252e-07,300.0,45.0,340,0,40,0.0491458390424
15,120.0,45.0,30.0,0.0,300.0,45.0,60,0,120,0.0491458390424
5,120.0,45.0,30.0,0.0,300.0,45.0,20,0,80,0.0491458390424
0,120.0,45.0,30.0,0.0,300.0,45.0,0,0,60,0.0491458390424
56,120.0,45.0,30.0,0.0,300.0,45.0,180,0,-120,0.0491458390424
22,120.0,45.0,30.0,0.0,300.0,45.0,80,0,140,0.0491458390424
61,120.0,45.0,30.0,0.0,300.0,45.0,200,0,-100,0.0491458390424
41,120.0,45.0,30.0,0.0,300.0,45.0,120,0,-180,0.0491458390424
46,120.0,45.0,30.0,0.0,300.0,45.0,140,0,-160,0.0491458390424
71,120.0,45.0,30.0,0.0,300.0,45.0,240,0,-60,0.0491458390424
28,120.0,45.0,30.0,8.53773646252e-07,300.0,45.0,100,0,160,0.0491458390424
66,120.0,45.0,30.0,0.0,300.0,45.0,220,0,-80,0.0491458390424
51,120.0,45.0,30.0,0.0,300.0,45.0,160,0,-140,0.0491458390424
81,120.0,45.0,30.0,0.0,300.0,45.0,280,0,-20,0.0491458390424
16,112.0,45.0,22.0,8.53773646252e-07,292.0,45.0,72,0,140,0.0502882586904
1,112.0,45.0,22.0,8.53773646252e-07,292.0,45.0,12,0,80,0.0502882586904
101,112.0,45.0,22.0,0.0,292.0,45.0,332,0,40,0.0502882586904
11,112.0,45.0,22.0,0.0,292.0,45.0,52,0,120,0.0502882586904
52,112.0,45.0,22.0,0.0,292.0,45.0,172,0,-120,0.0502882586904
82,112.0,45.0,22.0,8.53773646252e-07,292.0,45.0,292,0,0,0.0502882586904
108,112.0,45.0,22.0,0.0,292.0,45.0,352,0,60,0.0502882586904
36,112.0,45.0,22.0,8.53773646252e-07,292.0,45.0,112,0,-180,0.0502882586904
47,112.0,45.0,22.0,0.0,292.0,45.0,152,0,-140,0.0502882586904
62,112.0,45.0,22.0,0.0,292.0,45.0,212,0,-80,0.0502882586904
6,112.0,45.0,22.0,8.53773646252e-07,292.0,45.0,32,0,100,0.0502882586904
67,112.0,45.0,22.0,8.53773646252e-07,292.0,45.0,232,0,-60,0.0502882586904
91,112.0,45.0,22.0,0.0,292.0,45.0,312,0,20,0.0502882586904
72,112.0,45.0,22.0,0.0,292.0,45.0,252,0,-40,0.0502882586904
23,112.0,45.0,22.0,8.53773646252e-07,292.0,45.0,92,0,160,0.0502882586904
77,112.0,45.0,22.0,0.0,292.0,45.0,272,0,-20,0.0502882586904
57,112.0,45.0,22.0,0.0,292.0,45.0,192,0,-100,0.0502882586904
42,112.0,45.0,22.0,0.0,292.0,45.0,132,0,-160,0.0502882586904
29,90.1489238834,44.1360294638,190.0,10.0,289.851076117,44.1360294638,100,10,-180,0.0526094733842
39,87.4877201115,40.8717713355,185.716440545,9.39128580204,286.148923883,47.5919116085,116,10,-160,0.0526633389744
439,180.258196868,26.4617584585,76.7293972689,25.1727971381,309.788775944,51.9738446441,70,76,-116,0.000955321846323
837,105.990287715,45.4182005911,200.019281361,3.9610098331,293.89492223,44.3083478826,102,4,172,0.00245439135122
2747,54.0699127985,24.5834694834,156.343216676,24.9223367306,285.565642504,53.6903475739,344,74,-64,0.00294774159865
2134,160.717988507,37.753787104,56.7781609984,17.2802771297,307.208518027,47.1155385592,310,18,-16,0.00335931904377
698,33.5666849341,5.45973088971,126.869409286,31.0798240331,294.651123503,58.3366917262,94,48,-134,0.00348985165927
2311,181.132426852,25.8232078224,77.690067526,25.6589062733,309.576963106,52.1060674159,314,30,-30,0.00353378166456
2673,43.1650340987,15.0825790515,141.739794538,28.9538731248,288.982686621,56.6599532245,336,66,-58,0.00383103186939
2100,132.018266109,45.1039964594,35.9780389929,5.98533083701,300.111147619,44.2729468151,310,6,4,0.00400656491911
2179,132.032989302,45.3130093969,35.9671933915,5.96701169086,300.160378314,44.0676471996,312,6,6,0.00415139278271
978,100.032630807,44.6869812091,196.0,6.0,291.967369193,44.6869812091,106,6,-180,0.00446477526757
1070,90.5802071531,42.7870524748,189.878221432,9.90169514654,290.116059946,45.5165599207,108,10,-172,0.00446839929909
896,105.987795049,45.2788844856,200.014544121,3.97805220586,293.925629451,44.4453321881,104,4,174,0.00450109606511
2490,201.099177166,7.92401106857,106.271032725,31.1613406031,303.779684947,57.6222197463,322,46,-44,0.00481939981723
2105,137.923138058,44.4450799666,40.0,8.0,302.076861942,44.4450799666,310,8,0,0.00488264467392
591,200.826608385,8.15585637518,105.964628744,30.5997034312,304.138275021,58.1001529148,86,60,-126,0.00532830686792
2365,186.972850887,21.4142373624,85.1319494971,27.6191320062,309.421956955,53.8356900194,316,34,-34,0.0055042182704
1057,100.068512722,44.4794705666,195.988992462,5.99633155493,291.996344978,44.8952379164,108,6,-178,0.00573518677105
1086,76.9455359685,38.2785867704,179.324038329,15.197478138,286.710455927,47.7266143086,108,16,-162,0.0058707201468
2049,147.158486592,42.1592977806,46.1763340519,11.8815047219,303.854150286,45.4072951633,308,12,-8,0.00593702433959
579,112.19070007,45.9111321948,204.01447484,1.76581611673,295.722549497,44.0344346023,86,2,152,0.00599595002295
791,105.997769582,45.5571768958,200.023924334,3.93913434152,293.859774049,44.1723506353,100,4,170,0.0060186378189
556,112.222459575,45.9732057544,204.015120368,1.73196284128,295.686910341,43.9744237597,84,2,150,0.00633845635779
603,112.1613013,45.847966934,204.013758756,1.79751791419,295.756249335,44.0956323586,88,2,154,0.00636342322799
640,207.041488734,1.29485279753,116.252993884,31.3340022508,299.166402964,58.6330727415,90,54,-130,0.00642786308295
1091,73.9804421904,36.709949698,177.058103953,16.8807666695,287.008466825,48.3512270696,108,18,-160,0.00650323183338
1081,81.8374260242,40.1445662805,183.589009418,13.5760485086,288.42433093,46.6761289618,108,14,-166,0.00653620886674
