Index,AZT,DPT,AZN,DPN,AZP,DPP,Strike,Dip,Rake,Misfit
2555,27.75985595,0.544176771,118.1102276,32.77477101,296.9147697,57.21955183,326,54,-48,0.042344635
2526,27.75985595,0.214704572,118.3120984,29.02216045,297.8060026,60.9768913,324,52,-52,0.041099527
637,27.75985595,1.217761631,119.0015353,31.82200144,296.2848699,58.14912539,90,52,-132,0.039143606
2554,27.75985595,1.294852798,119.7470061,31.33400225,296.833597,58.63307274,326,54,-50,0.020326714
670,27.75985595,0.48659057,119.3209359,30.43254124,298.2068877,59.56272808,92,52,-130,0.014670723
667,27.75985595,2.267911364,120.3407744,29.49870423,295.0598983,60.39673377,92,50,-130,0.052426686
638,27.75985595,0.236082341,119.5800077,34.1935611,299.0721449,55.80539259,90,54,-134,0.054233381
636,27.75985595,1.978053813,120.7330656,33.18870559,296.42048,56.73683113,90,52,-134,0.041508654
2580,27.75985595,2.305966627,121.2747658,33.6924238,296.2868133,56.20716548,328,56,-48,0.049196841
2575,27.75985595,0.544176771,120.1102276,32.77477101,298.9147697,57.21955183,328,54,-48,0.033811276
703,27.75985595,1.585781731,120.6658359,28.139769,296.8569706,61.8075091,94,50,-128,0.052724832
2557,27.75985595,3.815111541,122.3999942,30.69090996,293.7543875,59.02091518,326,56,-52,0.053805031
2553,27.75985595,2.015141262,121.3340799,29.87309431,296.6757448,60.0449586,326,54,-52,0.023426743
669,27.75985595,1.217761631,121.0015353,31.82200144,298.2848699,58.14912539,92,52,-132,0.02028981
666,27.75985595,2.979367455,122.0609093,30.83608798,295.313505,58.98835611,92,50,-132,0.027937339
2579,27.75985595,3.075969797,122.8631589,32.2012732,296.0633365,57.61607277,328,56,-50,0.021596732
2574,27.75985595,1.294852798,121.7470061,31.33400225,298.833597,58.63307274,328,54,-50,0.035434999
702,27.75985595,2.267911364,122.3407744,29.49870423,297.0598983,60.39673377,94,50,-130,0.031181738
2556,27.75985595,4.522541642,123.8892029,29.16301376,293.3490652,60.42025489,326,56,-54,0.049879851
2552,27.75985595,2.704245079,122.8750472,28.39375044,296.4309437,61.45407105,326,54,-54,0.048001748
668,27.75985595,1.978053813,122.7330656,33.18870559,298.42048,56.73683113,92,52,-134,0.046682631
665,27.75985595,3.719442494,123.8292302,32.15010517,295.6119777,57.58290565,92,50,-134,0.022215717
2601,27.75985595,2.305966627,123.2747658,33.6924238,298.2868133,56.20716548,330,56,-48,0.053750868
2583,27.75985595,5.614195022,125.5095498,31.47392926,293.0390346,57.91364766,328,58,-52,0.047057912
2578,27.75985595,3.815111541,124.3999942,30.69090996,295.7543875,59.02091518,328,56,-52,0.006707779
701,27.75985595,2.979367455,124.0609093,30.83608798,297.313505,58.98835611,94,50,-132,0.028611461
699,27.75985595,4.740157144,125.068455,29.81895061,294.1767491,59.72965562,94,48,-132,0.025755653
664,27.75985595,4.487422499,125.6487705,33.4388202,295.9505204,56.1808718,92,50,-136,0.042305102
663,27.75985595,6.206711152,126.718283,32.31500205,293.1524988,56.94819467,92,48,-136,0.048450807
2604,27.75985595,4.856309041,126.027435,33.0325096,295.479984,56.51976226,330,58,-50,0.03604111
2600,27.75985595,3.075969797,124.8631589,32.2012732,298.0633365,57.61607277,330,56,-50,0.047952356
737,27.75985595,4.048659725,125.3127837,28.53426799,295.7323674,61.12673364,96,48,-130,0.047892967
2582,27.75985595,6.339877692,126.9428512,29.89883838,292.4953964,59.29919391,328,58,-54,0.035695518
2577,27.75985595,4.522541642,125.8892029,29.16301376,295.3490652,60.42025489,328,56,-54,0.035381998
700,27.75985595,3.719442494,125.8292302,32.15010517,297.6119777,57.58290565,94,50,-134,0.047022986
698,27.75985595,5.45973089,126.8694093,31.07982403,294.6511235,58.33669173,94,48,-134,0.003489852
696,27.75985595,7.198393643,127.8546491,29.97985077,291.5464602,58.99138728,94,46,-134,0.045254667
2608,27.75985595,7.41196447,128.6622552,32.22046439,292.5230646,56.73153959,330,60,-52,0.048052941
2603,27.75985595,5.614195022,127.5095498,31.47392926,295.0390346,57.91364766,330,58,-52,0.014192395
736,27.75985595,4.740157144,127.068455,29.81895061,296.1767491,59.72965562,96,48,-132,0.043410909
735,27.75985595,6.499641163,128.0248758,28.77245131,292.8851519,60.36560975,96,46,-132,0.034203845
2581,27.75985595,7.032459688,128.3313294,28.30873766,291.8361945,60.67441318,328,58,-56,0.044132249
2628,27.75985595,6.635413292,129.2395237,33.82584497,295.0780836,55.35175088,332,60,-50,0.05425083
697,27.75985595,6.206711152,128.718283,32.31500205,295.1524988,56.94819467,94,48,-136,0.03029337
695,27.75985595,7.924011069,129.7289673,31.1613406,292.2203151,57.62221975,94,46,-136,0.029778377
2607,27.75985595,8.155856375,130.0353713,30.59970343,291.861725,58.10015291,330,60,-54,0.02690481
2602,27.75985595,6.339877692,128.9428512,29.89883838,294.4953964,59.29919391,330,58,-54,0.027123916
734,27.75985595,7.198393643,129.8546491,29.97985077,293.5464602,58.99138728,96,46,-134,0.015900115
731,27.75985595,8.934893724,130.7860997,28.85209586,290.31103,59.54054107,96,44,-134,0.040789749
2627,27.75985595,7.41196447,130.6622552,32.22046439,294.5230646,56.73153959,332,60,-52,0.032322195
694,27.75985595,8.675859728,131.6500526,32.31500205,292.906023,56.25839041,94,46,-138,0.035931136
2606,27.75985595,8.866131929,131.3631023,28.96500033,291.0817087,59.45532392,330,60,-56,0.027463359
777,27.75985595,8.257320365,130.9309876,27.69839068,291.454708,60.88925924,98,44,-132,0.047699171
733,27.75985595,7.924011069,131.7289673,31.1613406,294.2203151,57.62221975,96,46,-136,0.029321745
2631,27.75985595,9.970069996,133.1659502,31.26409629,291.4368714,56.83166113,332,62,-54,0.029696801
730,27.75985595,9.638746692,132.6823585,29.97985077,291.1645872,58.19694624,96,44,-136,0.01522308
2626,27.75985595,8.155856375,132.0353713,30.59970343,293.861725,58.10015291,332,60,-54,0.027892319
2605,27.75985595,9.541845518,132.6493852,27.3176676,290.168789,60.79443269,330,60,-58,0.05000432
776,27.75985595,8.934893724,132.7860997,28.85209586,292.31103,59.54054107,98,44,-134,0.034249732
2649,27.75985595,9.207982437,133.8573979,32.92882713,294.1973002,55.48235984,334,62,-52,0.05108702
774,27.75985595,10.66867846,133.6649848,27.69839068,288.9625651,59.97831019,98,42,-134,0.044289361
732,27.75985595,8.675859728,133.6500526,32.31500205,294.906023,56.25839041,96,46,-138,0.053772298
2630,27.75985595,10.69805887,134.4289547,29.58656886,290.5571834,58.16453739,332,62,-56,0.012227731
729,27.75985595,10.36828459,134.6216298,31.07982403,292.0165796,56.85875986,96,44,-138,0.018193822
2625,27.75985595,8.866131929,133.3631023,28.96500033,293.0817087,59.45532392,332,60,-56,0.047223507
727,27.75985595,12.0570622,135.5344232,29.81895061,289.022042,57.36039143,96,42,-138,0.039253406
2653,27.75985595,11.78209663,136.3335683,31.89052177,291.2079133,55.50145718,334,64,-54,0.042476347
2648,27.75985595,9.970069996,135.1659502,31.26409629,293.4368714,56.83166113,334,62,-54,0.037591016
775,27.75985595,9.638746692,134.6823585,29.97985077,293.1645872,58.19694624,98,44,-136,0.039446709
773,27.75985595,11.35032437,135.5800452,28.77245131,289.999881,58.66685194,98,42,-136,0.018469098
2632,27.75985595,13.23797695,136.6810433,28.44326298,287.1563928,58.09727471,332,64,-58,0.052133448
770,27.75985595,13.05812797,136.42364,27.54096667,286.7446655,59.02711897,98,40,-136,0.054310291
728,27.75985595,11.12290797,136.6056851,32.15010517,292.8680559,55.52627125,96,44,-140,0.043174447
2629,27.75985595,11.39093949,135.6505065,27.89747968,289.5451943,59.47813053,332,62,-58,0.033478284
726,27.75985595,12.78832866,137.5295626,30.83608798,290.0316825,56.05927508,96,42,-140,0.033504721
823,27.75985595,10.66867846,135.6649848,27.69839068,290.9625651,59.97831019,100,42,-134,0.052072261
2652,27.75985595,12.52784867,137.5278382,30.17211466,290.2469448,56.81048886,334,64,-56,0.013783796
821,27.75985595,12.39917535,136.492574,26.52048772,287.5233357,60.29972897,100,40,-134,0.053838775
2647,27.75985595,10.69805887,136.4289547,29.58656886,292.5571834,58.16453739,334,62,-56,0.043848485
772,27.75985595,12.0570622,137.5344232,29.81895061,291.022042,57.36039143,98,42,-138,0.014550246
769,27.75985595,13.74153176,138.3904235,28.53426799,287.9377268,57.75862226,98,40,-138,0.028420756
2671,27.75985595,11.78209663,138.3335683,31.89052177,293.2079133,55.50145718,336,64,-54,0.05188682
725,27.75985595,13.54355644,139.5667755,31.82200144,291.0310739,54.76384526,96,42,-142,0.046315424
2655,27.75985595,15.08257905,139.7397945,28.95387312,286.9826866,56.65995322,334,66,-58,0.049227881
822,27.75985595,11.35032437,137.5800452,28.77245131,291.999881,58.66685194,100,42,-136,0.054099798
724,27.75985595,15.17957136,140.4356555,30.43254124,288.2548362,55.23577046,96,40,-142,0.054373445
2651,27.75985595,13.23797695,138.6810433,28.44326298,289.1563928,58.09727471,334,64,-58,0.016285997
820,27.75985595,13.05812797,138.42364,27.54096667,288.7446655,59.02711897,100,40,-136,0.033944505
771,27.75985595,12.78832866,139.5295626,30.83608798,292.0316825,56.05927508,98,42,-140,0.038362183
2674,27.75985595,14.3550915,140.6585206,30.72034024,290.1345986,55.40068035,336,66,-56,0.030842451
27,27.75985595,14.44885755,140.394086,29.49870423,289.1066107,56.4946944,98,40,-140,0.012690899
2670,27.75985595,12.52784867,139.5278382,30.17211466,292.2469448,56.81048886,336,64,-56,0.046182852
766,27.75985595,16.10375476,141.2015875,28.139769,286.108332,56.82863629,98,38,-140,0.048126836
2654,27.75985595,15.77282355,140.7847063,27.17905285,285.6942453,57.89076894,334,66,-60,0.045615495
2650,27.75985595,13.9114183,139.7970492,26.70500416,287.9233365,59.35836659,334,64,-60,0.046029969
819,27.75985595,13.74153176,140.3904235,28.53426799,289.9377268,57.75862226,100,40,-138,0.029172999
2677,27.75985595,16.92434552,142.8254027,29.42820627,287.0047907,55.17322834,336,68,-58,0.054362447
817,27.75985595,15.42100227,141.1915907,27.22755645,286.7821128,58.0495434,100,38,-138,0.029566739
2673,27.75985595,15.08257905,141.7397945,28.95387312,288.9826866,56.65995322,336,66,-58,0.003831032
767,27.75985595,15.17957136,142.4356555,30.43254124,290.2548362,55.23577046,98,40,-142,0.030159205
