Index,AZT,DPT,AZN,DPN,AZP,DPP,Strike,Dip,Rake,Misfit
2526,28,0,118,29,298,61,324,52,-52,0.041099527
638,28,0,120,34,299,56,90,54,-134,0.054233381
670,28,1,119,30,298,60,92,52,-130,0.014670723
2555,28,1,118,33,297,57,326,54,-48,0.042344635
2575,28,1,120,33,299,57,328,54,-48,0.033811276
637,28,1,119,32,296,58,90,52,-132,0.039143606
669,28,1,121,32,298,58,92,52,-132,0.02028981
2554,28,1,120,31,297,59,326,54,-50,0.020326714
2574,28,1,122,31,299,59,328,54,-50,0.035434999
703,28,2,121,28,297,62,94,50,-128,0.052724832
636,28,2,121,33,296,57,90,52,-134,0.041508654
668,28,2,123,33,298,57,92,52,-134,0.046682631
2553,28,2,121,30,297,60,326,54,-52,0.023426743
667,28,2,120,30,295,60,92,50,-130,0.052426686
702,28,2,122,30,297,60,94,50,-130,0.031181738
2580,28,2,121,34,296,56,328,56,-48,0.049196841
2601,28,2,123,34,298,56,330,56,-48,0.053750868
2552,28,3,123,28,296,62,326,54,-54,0.048001748
666,28,3,122,31,295,59,92,50,-132,0.027937339
701,28,3,124,31,297,59,94,50,-132,0.028611461
2579,28,3,123,32,296,58,328,56,-50,0.021596732
2600,28,3,125,32,298,58,330,56,-50,0.047952356
665,28,4,124,32,296,58,92,50,-134,0.022215717
700,28,4,126,32,298,58,94,50,-134,0.047022986
2557,28,4,122,31,294,59,326,56,-52,0.053805031
2578,28,4,124,31,296,59,328,56,-52,0.006707779
737,28,4,125,29,296,61,96,48,-130,0.047892967
664,28,5,126,33,296,56,92,50,-136,0.042305102
2556,28,5,124,29,293,60,326,56,-54,0.049879851
2577,28,5,126,29,295,60,328,56,-54,0.035381998
699,28,5,125,30,294,60,94,48,-132,0.025755653
736,28,5,127,30,296,60,96,48,-132,0.043410909
2604,28,5,126,33,296,57,330,58,-50,0.03604111
698,28,6,127,31,295,58,94,48,-134,0.003489852
2583,28,6,126,32,293,58,328,58,-52,0.047057912
2603,28,6,128,32,295,58,330,58,-52,0.014192395
663,28,6,127,32,293,57,92,48,-136,0.048450807
697,28,6,129,32,295,57,94,48,-136,0.03029337
2582,28,6,127,30,293,59,328,58,-54,0.035695518
2602,28,6,129,30,295,59,330,58,-54,0.027123916
735,28,7,128,29,293,60,96,46,-132,0.034203845
2628,28,7,129,34,295,55,332,60,-50,0.05425083
2581,28,7,128,28,292,61,328,58,-56,0.044132249
696,28,7,128,30,292,59,94,46,-134,0.045254667
734,28,7,130,30,294,59,96,46,-134,0.015900115
2608,28,7,129,32,293,57,330,60,-52,0.048052941
2627,28,7,131,32,295,57,332,60,-52,0.032322195
695,28,8,130,31,292,58,94,46,-136,0.029778377
733,28,8,132,31,294,58,96,46,-136,0.029321745
2607,28,8,130,31,292,58,330,60,-54,0.02690481
2626,28,8,132,31,294,58,332,60,-54,0.027892319
777,28,8,131,28,292,61,98,44,-132,0.047699171
694,28,9,132,32,293,56,94,46,-138,0.035931136
732,28,9,134,32,295,56,96,46,-138,0.053772298
2606,28,9,131,29,291,60,330,60,-56,0.027463359
2625,28,9,133,29,293,60,332,60,-56,0.047223507
731,28,9,131,29,290,60,96,44,-134,0.040789749
776,28,9,133,29,292,60,98,44,-134,0.034249732
2649,28,9,134,33,294,56,334,62,-52,0.05108702
2605,28,10,133,27,290,61,330,60,-58,0.05000432
730,28,10,133,30,291,58,96,44,-136,0.01522308
775,28,10,135,30,293,58,98,44,-136,0.039446709
2631,28,10,133,31,291,57,332,62,-54,0.029696801
2648,28,10,135,31,293,57,334,62,-54,0.037591016
729,28,10,135,31,292,57,96,44,-138,0.018193822
774,28,11,134,28,289,60,98,42,-134,0.044289361
823,28,11,136,28,291,60,100,42,-134,0.052072261
2630,28,11,134,30,291,58,332,62,-56,0.012227731
2647,28,11,136,30,293,58,334,62,-56,0.043848485
728,28,11,137,32,293,56,96,44,-140,0.043174447
773,28,11,136,29,290,59,98,42,-136,0.018469098
822,28,11,138,29,292,59,100,42,-136,0.054099798
2629,28,11,136,28,290,60,332,62,-58,0.033478284
2653,28,12,136,32,291,56,334,64,-54,0.042476347
2671,28,12,138,32,293,56,336,64,-54,0.05188682
727,28,12,136,30,289,57,96,42,-138,0.039253406
772,28,12,138,30,291,57,98,42,-138,0.014550246
821,28,12,137,27,288,60,100,40,-134,0.053838775
2652,28,13,138,30,290,57,334,64,-56,0.013783796
2670,28,13,140,30,292,57,336,64,-56,0.046182852
726,28,13,138,31,290,56,96,42,-140,0.033504721
771,28,13,140,31,292,56,98,42,-140,0.038362183
770,28,13,136,28,287,59,98,40,-136,0.054310291
820,28,13,138,28,289,59,100,40,-136,0.033944505
2632,28,13,137,28,287,58,332,64,-58,0.052133448
2651,28,13,139,28,289,58,334,64,-58,0.016285997
725,28,14,140,32,291,55,96,42,-142,0.046315424
769,28,14,138,29,288,58,98,40,-138,0.028420756
819,28,14,140,29,290,58,100,40,-138,0.029172999
2650,28,14,140,27,288,59,334,64,-60,0.046029969
2674,28,14,141,31,290,55,336,66,-56,0.030842451
2692,28,14,143,31,292,55,338,66,-56,0.054223277
27,28,15,140,30,289,57,98,40,-140,0.012690899
7,28,15,142,30,291,57,100,40,-140,0.043481298
881,28,15,141,26,287,59,102,38,-136,0.050805033
2655,28,15,140,29,287,57,334,66,-58,0.049227881
2673,28,15,142,29,289,57,336,66,-58,0.003831032
724,28,15,140,30,288,55,96,40,-142,0.054373445
767,28,15,142,30,290,55,98,40,-142,0.030159205
817,28,15,141,27,287,58,100,38,-138,0.029566739
2654,28,16,141,27,286,58,334,66,-60,0.045615495
2672,28,16,143,27,288,58,336,66,-60,0.028825151
766,28,16,141,28,286,57,98,38,-140,0.048126836
816,28,16,143,28,288,57,100,38,-140,0.007475129
2696,28,16,144,31,290,54,338,68,-56,0.050316316
765,28,17,143,29,287,56,98,38,-142,0.033874806
2677,28,17,143,29,287,55,336,68,-58,0.054362447
764,28,18,145,30,289,54,98,38,-144,0.037119429
2676,28,18,144,28,286,56,336,68,-60,0.040744916
813,28,18,144,27,285,57,100,36,-140,0.040494943
2695,45,17,145,29,289,55,338,68,-58,0.0218055
880,45,15,143,27,289,58,102,38,-138,0.046326175
2691,45,15,144,29,291,57,338,66,-58,0.054216432
762,45,19,146,28,286,55,98,36,-144,0.054061132
879,45,17,144,26,286,58,102,36,-138,0.040634505
2675,46,18,145,26,284,58,336,68,-62,0.045827868
815,46,17,145,29,289,56,100,38,-142,0.024149215
812,46,18,146,28,287,56,100,36,-142,0.017431262
105,46,20,147,28,286,55,338,70,-60,0.045754408
763,46,18,147,31,290,53,98,38,-146,0.054042831
2694,46,18,146,28,288,56,338,68,-60,0.012170197
761,47,20,148,29,287,54,98,36,-146,0.051275402
878,47,18,146,27,287,57,102,36,-140,0.026425763
2715,47,19,148,30,289,54,340,70,-58,0.042212749
814,47,18,147,30,291,54,100,38,-144,0.048644796
875,47,19,147,25,284,57,102,34,-140,0.04214909
811,47,19,148,28,288,55,100,36,-144,0.017785261
2698,47,20,148,26,284,56,338,70,-62,0.038172294
2693,48,18,147,26,286,58,338,68,-62,0.040309313
809,48,21,149,27,285,55,100,34,-144,0.036957992
877,48,18,148,28,289,56,102,36,-142,0.032228314
107,48,20,149,28,288,55,340,70,-60,0.014696018
874,48,20,149,26,286,56,102,34,-142,0.017571323
