Index,AZT,DPT,AZN,DPN,AZP,DPP,Strike,Dip,Rake,Misfit
3947,280.773587535,14.530311889,15.3859712903,17.2371326849,152.810577513,67.1528610261,348,34,-122,0.00176044406365
1679,294.865088789,12.274712197,187.731080644,53.5534698137,33.2058011021,33.6920074123,168,76,-146,0.00265868277136
3791,280.193921997,12.3991753536,16.492573984,26.5204877154,167.52333574,60.2997289712,340,40,-134,0.00312487417859
2110,286.900729315,18.1605047206,193.323373369,10.7701647828,74.1371707584,68.6904121488,188,64,-102,0.00419619077918
1159,292.719839678,5.64763257032,158.0,82.0,23.2801603223,5.64763257032,68,82,0,0.00446625037382
1265,294.913792656,8.59038316365,182.338442476,68.5203367955,27.9855845346,19.5312014554,70,70,-8,0.0048318107538
2466,280.10799298,12.6674176317,15.9841174674,24.4890158208,165.063701334,62.0338088892,210,62,-62,0.00534985475283
3259,281.758680405,6.42114174301,19.373832733,49.6603523123,186.414304498,39.6118542816,332,58,-154,0.00550261611233
2253,283.044861132,16.9089019229,14.1197321995,3.53115712308,115.550125096,72.7044512586,196,62,-86,0.00582560053004
2437,280.773815647,13.7918212052,16.1938885675,21.0466003784,159.853011994,64.4657640586,208,62,-66,0.0069430220212
1241,295.343200757,10.2438730115,185.867729888,61.540387366,30.4536837163,26.2387196605,70,64,-12,0.00763577122277
3251,280.96884011,6.90343586569,18.443166692,47.0540491175,184.684838961,42.115075061,332,56,-152,0.0077088194624
3677,291.122410802,4.240482419,92.592992328,85.5285909542,201.017414326,1.41579206092,336,86,178,0.00811690640834
762,292.261326399,16.7090109657,191.364187322,32.201273197,45.4988794008,52.7346004148,60,40,-34,0.00812668900332
2589,280.496622777,10.1880375815,17.8046071631,35.2912988913,176.786667925,52.8284161006,218,64,-50,0.00814444363667
2948,287.051092925,3.9655232373,28.8016082615,71.2015487444,195.733974766,18.344623681,240,80,-16,0.00833123625406
3406,280.37549436,8.72073488791,17.6205661025,39.4258903985,180.125680227,49.2373122668,334,50,-146,0.00890950056832
1990,289.5624512,17.6090560781,192.264500188,21.8126247766,55.1127274835,61.3700969872,182,66,-114,0.00892846003829
2286,282.104781285,16.6363136555,14.2251002235,7.05849236046,126.413335356,71.8471466679,198,62,-82,0.00970949744141
3585,280.489472459,10.2556978452,17.6410049608,34.5306834824,176.310959936,53.5479025075,336,46,-142,0.00989615929055
3841,279.796945637,12.9275729006,15.4734562834,23.312107013,163.070423011,62.9608760566,342,38,-130,0.0100208592326
3267,282.506100313,5.9971550721,20.316297965,52.2934458063,187.955948031,37.0583254721,332,60,-156,0.0105819696483
1250,294.981573858,10.1039150859,183.43752004,64.1142843273,29.4391290284,23.5643308657,70,66,-10,0.0106646635733
325,286.189678614,17.7720935387,193.792340539,7.43514735737,81.9920889998,70.6383780746,28,28,-74,0.0108858763767
1469,293.725853004,6.96844159746,175.630447378,75.4507664722,25.3052062393,12.7074579503,160,86,-166,0.0109188546991
1729,294.867321786,12.9187497235,189.43282778,49.2429407033,35.1288282901,37.8342425171,170,74,-142,0.0111246291452
1625,294.670869134,11.4674752444,185.804638794,57.8977088292,31.268871066,29.5276266322,166,78,-150,0.0114748841347
1907,291.058630166,16.9243455236,191.174597266,29.4282062749,46.9952093077,55.1732283403,178,68,-122,0.0115612651518
538,288.804716775,17.7211943327,192.472827582,19.0413761639,58.6651401104,63.5001691863,46,32,-52,0.0117995689819
925,294.0199227,15.0352761108,189.639151979,42.7574779455,38.7263079109,43.3836287646,66,48,-24,0.0119953345156
1730,293.93624737,14.0050325692,188.184928246,47.4230370345,35.666799038,39.1843204147,170,74,-140,0.012189384747
2317,282.64499062,16.4325620739,15.267816132,8.81950464994,132.433284825,71.2303182209,200,62,-80,0.0124676697217
4004,280.740010591,15.24065702,14.4709996511,13.4325977726,144.080021787,69.4632273553,352,32,-116,0.0126070175015
346,286.719310552,17.9760429668,193.992499474,8.34160441801,80.1519213148,70.0611575191,30,28,-72,0.0126158538915
3516,289.018477639,4.2559407382,42.0657256352,79.2372329772,198.276828502,9.86711795565,334,80,-176,0.012761053019
1257,295.215204443,8.6872004801,185.206323142,65.9370243465,28.7999971603,22.2552691306,70,68,-10,0.0128966046569
1019,290.982543163,4.24220980116,92.5231437052,85.5285909542,200.877887293,1.41062463344,66,88,4,0.0129760018064
3301,285.0107461,4.82853138028,24.5674832501,63.0328064794,192.60094029,26.4617119864,332,68,-164,0.0129787380468
1624,295.378095659,10.2356157573,187.356741779,59.7292574616,30.9217438946,28.1465250923,166,78,-152,0.0132813833507
2347,281.754709087,15.8920750276,15.3237714056,12.3336607794,141.510004837,69.6785923617,202,62,-76,0.0133129702552
2809,283.148115311,5.57858503732,21.8358548417,57.111942327,189.609206049,32.2914995401,232,72,-28,0.0133811929256
655,290.648649622,17.0947471847,192.060166177,25.900495558,50.4236142695,58.2301760554,54,36,-42,0.0133939074827
3310,285.501219097,4.65160158447,25.9084631556,65.7524679482,193.450453596,23.7403746356,332,70,-166,0.0133998333827
1518,294.806248384,8.24453448463,179.833270383,71.057800266,27.3343270885,16.9312366133,162,84,-162,0.0135616117134
463,288.198590514,17.8295438481,193.434948823,14.4775121859,66.5650511771,66.7162682789,40,30,-60,0.0136232285503
2679,280.897343855,7.33196526073,18.1391467207,44.4122773163,183.593699752,44.654534242,224,66,-40,0.0136347488744
2285,283.572009262,16.7951951434,15.1751197557,5.29554441622,122.103169569,72.3420892789,198,62,-84,0.0138607529074
3275,283.208013823,5.62892463186,21.2847833043,54.9503551702,189.329535784,34.4611808409,332,62,-158,0.0141779403826
559,289.412371182,18.2169793808,192.564465286,19.9149897488,58.5508033394,62.462037052,48,32,-50,0.0142154538402
1773,293.677858763,14.3975641058,189.744487906,43.1674452505,37.6712498705,43.2879070541,172,72,-136,0.0142817209601
2377,280.91446356,15.1777504899,15.3269275966,15.8336796282,149.299179564,67.7813380071,204,62,-72,0.0143075429653
4083,282.591892197,16.2686156403,15.495240757,9.84655193983,135.464145988,70.8396884925,358,30,-110,0.0145919472627
1872,292.982661119,16.3652301004,190.960767135,35.3473957465,43.4277107028,49.9469332273,176,70,-128,0.0146494129733
3292,284.463236863,5.04793985054,23.3805521058,60.3233501946,191.638411497,29.1582360439,332,66,-162,0.0147053721182
2774,282.056120212,5.18585689187,19.357657952,54.4686522372,188.407799218,35.0349687932,230,70,-30,0.0147986835846
621,289.636384853,18.1522948629,191.354123043,23.7188943469,53.3303214665,59.416921351,52,34,-44,0.0148434002969
131,282.957339285,17.0484557293,13.5330545932,1.87669674525,109.625189404,72.8422391661,10,28,-94,0.0148908467942
3320,285.406815853,3.19967820815,23.1019403645,67.3398208461,194.085988073,22.4080411152,332,72,-166,0.0152081303949
153,283.478790971,17.012116447,13.7660532527,0.938794464029,106.830876517,72.9604148933,12,28,-92,0.0153148092575
2773,282.890535923,6.33070684676,21.3060556669,52.8355159543,188.192226975,36.4382804477,230,70,-32,0.0153819238509
305,285.661863284,17.5917434636,193.58473606,6.52146603041,84.0061674701,71.1635286034,26,28,-76,0.0154121144687
3283,283.861379168,5.31357945483,22.2978726227,57.6280485699,190.552133207,31.8261640725,332,64,-160,0.015471838578
1058,295.066687757,12.7072953195,189.766750279,49.4842402271,35.0970695306,37.6823635006,68,54,-20,0.0155272903679
1566,294.878201877,9.23296161187,185.306787829,64.1142843273,29.0198502312,23.9553533971,164,80,-156,0.0155667313168
2409,280.136278812,14.2947251882,15.2597948387,19.314788842,155.922875366,65.6220885907,206,62,-68,0.0156734520654
2913,285.62343884,3.82546250969,25.3853751347,68.4775121859,194.141403355,21.1461928512,238,78,-18,0.0157117840616
2408,281.516918103,14.7569649863,16.3033098833,17.5769177277,153.746013675,66.7298826678,206,62,-70,0.0157412687621
722,291.134009197,17.5370380679,190.675923209,29.8730943135,47.3263267357,54.3992598635,58,38,-36,0.0159233223675
1273,294.676592576,8.52336850511,178.784424574,71.057800266,27.2677479486,16.7863218027,70,72,-6,0.0163687261863
108,283.912746335,17.193662228,15.0736844108,3.74624964568,116.969709913,72.3779214062,8,28,-98,0.0164258901361
3517,288.757993366,2.86586466122,32.814689462,78.3538225735,198.18597017,11.2784724793,334,80,-174,0.0164559476119
368,285.784771106,18.4540625964,192.36695528,10.1291244027,74.9882900555,68.7696686627,32,28,-68,0.0168463845631
2998,288.094615589,4.14596527506,35.8135282435,76.6032954287,197.157366779,12.7162682789,242,84,-12,0.0169955786228
3710,279.251563246,11.350324372,15.5800451718,28.772451313,169.999880983,58.6668519395,338,42,-136,0.0170868028215
1280,294.871578097,7.11466798092,180.872522547,72.9395592242,26.8449896869,15.4236813726,70,74,-6,0.0171695574168
3398,279.446337394,9.45516571512,16.6444289187,36.9570938281,177.384895077,51.445696103,334,48,-144,0.0173917630126
1066,294.489528219,12.371984313,188.158780055,52.0419758133,33.3939789251,35.2089845863,68,56,-18,0.0176314563892
2111,285.435811641,18.4159288551,192.419983612,8.97908703203,77.606286831,69.3680584587,188,64,-100,0.0176781270675
859,292.721710961,15.5583821204,189.073408253,40.2811123752,39.2251961645,45.5756404735,64,46,-26,0.0178056144826
804,292.234322632,16.7926717174,189.843684624,35.4142654084,43.0377600713,49.6457994963,62,42,-30,0.0178878767173
175,284.0,17.0,194.0,0.0,104.0,73.0,14,28,-90,0.0180564279222
2219,284.0,17.0,194.0,0.0,104.0,73.0,194,62,-90,0.0180564279222
3311,284.913112512,3.36484842218,22.0239547303,64.5940203512,193.331272904,25.1503845103,332,70,-164,0.0181994558089
109,282.43540379,17.1089877024,13.3019505343,2.81281359538,112.348393284,72.6471722361,8,28,-96,0.0184402102494
2318,281.19439971,16.1843272866,14.3013620073,10.5780705237,136.135538264,70.5034291407,200,62,-78,0.018524058814
3243,280.139670519,7.44626099156,17.5131287266,44.4775121859,182.744790597,44.5601483801,332,54,-150,0.0185919824307
3508,288.846062807,4.28502821984,37.1823322845,76.6032954287,197.881003347,12.6687077089,334,78,-174,0.0187550225518
1059,294.168236552,13.8186906855,186.933220885,50.3019132154,34.5884490631,36.3277634693,68,54,-18,0.0188835801042
2590,279.346833513,9.34190546136,16.4602975209,36.9709917432,177.424369533,51.4694363552,218,64,-48,0.0189158111426
2494,279.527579077,11.3909394883,15.6505065003,27.8974796758,169.545194282,59.478130532,212,62,-58,0.0191649160865
2438,279.430697966,13.249091618,15.1029394539,22.7716095143,161.559360428,63.2677080558,208,62,-64,0.0191966999562
1991,288.185004293,18.1394368755,191.332137013,20.0121955693,57.0719347133,62.4420150151,182,66,-112,0.0192393425997
1233,295.763987782,10.4236685503,187.971976976,58.9503062624,31.5882069614,28.8820189553,70,62,-14,0.0192886782826
85,283.389133252,17.3024093274,14.8491947226,4.67610637318,119.463403049,72.0380341062,6,28,-100,0.0193244521709
3709,280.50249661,12.0570622003,17.5344231564,29.8189506069,171.022042026,57.3603914275,338,42,-138,0.0194028706544
3319,285.932153053,4.51313922815,27.477959901,68.4775121859,194.196083953,20.9975675601,332,72,-168,0.0194319078344
3578,279.507425313,11.1229079714,16.6056850846,32.1501051731,172.868055935,55.5262712537,336,44,-140,0.0196090939508
3877,280.677607449,14.154822533,16.2958894959,21.2154975965,159.3820721,64.1029016984,344,36,-128,0.0197331900939
1906,292.312641406,16.1793558029,192.180421168,31.2299883186,45.7961654761,53.9417313352,178,68,-124,0.0198374223474
483,288.767016346,18.2124995829,193.579842766,15.3645541461,65.8641384514,65.811547663,42,30,-58,0.0199106209627
