Index,Strike,Dip,Rake,Misfit,Extra
52,46,50,-92,0.000638672817604,"[535, 'iasp91', 190844, array([  1.05086243e-03,  -1.08499598e+00,  -1.26885582e+00]), array([ 0.        , -0.64981277, -0.76009431])]"
53,46,50,-90,0.000915822510268,"[535, 'iasp91', 190845, array([  9.19067092e-04,  -9.48389405e-01,  -1.11083895e+00]), array([ 0.        , -0.64981277, -0.76009431])]"
51,46,50,-94,0.000949209400835,"[535, 'iasp91', 190843, array([  1.18137745e-03,  -1.22028065e+00,  -1.42532679e+00]), array([ 0.        , -0.64981277, -0.76009431])]"
50,46,50,-96,0.00134942972193,"[535, 'iasp91', 190842, array([  1.31045315e-03,  -1.35407860e+00,  -1.58006122e+00]), array([ 0.        , -0.64981277, -0.76009431])]"
49,46,50,-98,0.00171073255095,"[535, 'iasp91', 190841, array([  1.43793226e-03,  -1.48622682e+00,  -1.73287059e+00]), array([ 0.        , -0.64981277, -0.76009431])]"
54,46,50,-88,0.00181134892062,"[535, 'iasp91', 190846, array([  7.86152013e-04,  -8.10627365e-01,  -9.51468684e-01]), array([ 0.        , -0.64981277, -0.76009431])]"
48,46,50,-100,0.00202398650685,"[535, 'iasp91', 190840, array([  1.56365947e-03,  -1.61656429e+00,  -1.88356872e+00]), array([ 0.        , -0.64981277, -0.76009431])]"
90,178,52,56,0.0021202363255,"[535, 'iasp91', 725698, array([-0.00475648, -1.51907364, -1.77475368]), array([ 0.        , -0.64981277, -0.76009431])]"
47,46,50,-102,0.00229535785462,"[535, 'iasp91', 190839, array([  1.68748161e-03,  -1.74493223e+00,  -2.03197201e+00]), array([ 0.        , -0.64981277, -0.76009431])]"
86,162,62,46,0.00231748817782,"[535, 'iasp91', 661793, array([ 0.00659586, -2.52677495, -2.94618935]), array([ 0.        , -0.64981277, -0.76009431])]"
46,46,50,-104,0.00253213507082,"[535, 'iasp91', 190838, array([  1.80924780e-03,  -1.87117424e+00,  -2.17789966e+00]), array([ 0.        , -0.64981277, -0.76009431])]"
7,46,48,114,0.00263670953999,"[535, 'iasp91', 190767, array([-0.00225962, -0.7238005 , -0.84376549]), array([ 0.        , -0.64981277, -0.76009431])]"
45,46,50,-106,0.00274055776714,"[535, 'iasp91', 190837, array([  1.92880971e-03,  -1.99513651e+00,  -2.32117387e+00]), array([ 0.        , -0.64981277, -0.76009431])]"
44,46,50,-108,0.00292564338766,"[535, 'iasp91', 190836, array([  2.04602166e-03,  -2.11666802e+00,  -2.46162009e+00]), array([ 0.        , -0.64981277, -0.76009431])]"
43,46,50,-110,0.00309137527054,"[535, 'iasp91', 190835, array([  2.16074085e-03,  -2.23562069e+00,  -2.59906721e+00]), array([ 0.        , -0.64981277, -0.76009431])]"
85,160,64,46,0.00320086920929,"[535, 'iasp91', 653873, array([-0.00608387, -2.67405707, -3.10997563]), array([ 0.        , -0.64981277, -0.76009431])]"
55,46,50,-86,0.00321488195477,"[535, 'iasp91', 190847, array([  6.52279130e-04,  -6.71877700e-01,  -7.90939205e-01]), array([ 0.        , -0.64981277, -0.76009431])]"
42,46,50,-112,0.00324092222589,"[535, 'iasp91', 190834, array([  2.27282751e-03,  -2.35184960e+00,  -2.73334776e+00]), array([ 0.        , -0.64981277, -0.76009431])]"
75,46,52,122,0.0033091906866,"[535, 'iasp91', 191131, array([ 0.00641609, -1.26636819, -1.48032283]), array([ 0.        , -0.64981277, -0.76009431])]"
41,46,50,-114,0.00337682320527,"[535, 'iasp91', 190833, array([  2.38214508e-03,  -2.46521314e+00,  -2.86429815e+00]), array([ 0.        , -0.64981277, -0.76009431])]"
40,46,50,-116,0.00350113067985,"[535, 'iasp91', 190832, array([  2.48856037e-03,  -2.57557321e+00,  -2.99175883e+00]), array([ 0.        , -0.64981277, -0.76009431])]"
39,46,50,-118,0.00361551937286,"[535, 'iasp91', 190831, array([  2.59194373e-03,  -2.68279533e+00,  -3.11557452e+00]), array([ 0.        , -0.64981277, -0.76009431])]"
38,46,50,-120,0.00372136837892,"[535, 'iasp91', 190830, array([  2.69216921e-03,  -2.78674888e+00,  -3.23559436e+00]), array([ 0.        , -0.64981277, -0.76009431])]"
89,176,52,54,0.00376342095577,"[535, 'iasp91', 717597, array([ -4.74225866e-05,  -1.59409371e+00,  -1.87890209e+00]), array([ 0.        , -0.64981277, -0.76009431])]"
37,46,50,-122,0.00381982341516,"[535, 'iasp91', 190829, array([  2.78911470e-03,  -2.88730721e+00,  -3.35167212e+00]), array([ 0.        , -0.64981277, -0.76009431])]"
