Strike,Dip,Rake,Misfit Val
0,25,-80,0.1461837379398152
5,25,-80,0.21969591486472037
5,25,-70,0.23493099444734414
10,25,-70,0.07144616372797877
15,25,-60,0.17398671403927582
20,25,-60,0.11999683494142872
25,30,-50,0.16395594041630351
30,30,-40,0.16538568958723224
35,30,-40,0.17817200475897071
35,35,-30,0.22661161547030018
40,35,-30,0.08401299404123315
40,40,-30,0.2245458302450537
40,45,-20,0.2436000446887247
40,85,20,0.2000828222875016
45,40,-20,0.1520321358065982
45,45,-20,0.14396140319017772
45,50,-10,0.18712345174141615
45,55,-10,0.15693142710615182
45,60,-10,0.23499886311212378
45,65,0,0.18453094870528125
45,70,0,0.18241899657679064
45,75,10,0.059483492116911875
45,80,10,0.18788040447679655
50,60,0,0.23773849362211877
165,65,-100,0.21436724841545013
170,65,-90,0.19821544678052538
175,65,-90,0.15104041259407006
