Strike,Dip,Rake,Misfit Val
80,10,-100,0.10644753546172364
85,5,-100,0.09987370513850082
95,0,-100,0.06567130634929128
95,5,-90,0.09692435344547443
105,0,-90,0.06567130634929128
105,5,-80,0.09824488850436235
115,0,-80,0.06567130634929128
115,5,-70,0.10110396364754133
115,85,90,0.037878746266885886
120,85,80,0.10488375814481041
120,85,90,0.05304495728272203
125,0,-70,0.06567130634929128
125,5,-60,0.10360912856256806
125,85,80,0.09260747690207957
130,80,90,0.08526058797915198
135,0,-60,0.06567130634929128
135,5,-50,0.10506661678643005
135,80,90,0.09349183128321809
145,0,-50,0.06567130634929128
145,5,-40,0.10600058758972077
155,0,-40,0.06567130634929128
155,5,-30,0.10809546551882317
165,0,-30,0.06567130634929128
165,5,-20,0.113862784643028
175,0,-20,0.06567130634929128
