Strike,Dip,Rake,Misfit Val
50,10,-100,0.21620980081639427
55,5,-100,0.15245128578743264
55,10,-100,0.253748641681526
60,5,-100,0.06330179220155863
60,5,-90,0.25492096352299376
60,10,-90,0.20447807494328024
65,0,-100,0.2593251199972167
65,5,-100,0.10421183198612309
65,5,-90,0.13882561992691422
65,10,-90,0.25707623376491784
65,10,-80,0.21702414042579318
70,0,-100,0.20764940819268368
70,5,-100,0.19199813831977108
70,5,-90,0.06645246785836526
70,5,-80,0.2420378927478483
70,10,-80,0.17608694072276895
75,0,-100,0.1838521330911421
75,0,-90,0.2593251199972167
75,5,-90,0.11255132833916168
75,5,-80,0.13627967238064753
75,10,-80,0.23668268818819527
75,10,-70,0.1627214645963087
80,0,-100,0.19860824139411656
80,0,-90,0.20764940819268368
80,5,-90,0.19467701727633138
80,5,-80,0.07695978630455816
80,5,-70,0.23884301709124456
80,10,-70,0.13043109470934533
80,10,-60,0.26121140527919173
85,0,-100,0.24535918213154342
85,0,-90,0.1838521330911421
85,0,-80,0.2593251199972167
85,5,-80,0.11701148598080689
85,5,-70,0.1441785840317844
85,10,-70,0.1975383876358226
85,10,-60,0.11400078031072627
85,85,60,0.25312612491179837
85,85,70,0.24303558091322788
90,0,-90,0.19860824139411656
90,0,-80,0.20764940819268368
90,5,-80,0.19144898629909174
90,5,-70,0.0925499509608561
90,5,-60,0.24493549480555304
90,10,-60,0.07152967380838723
90,10,-50,0.23344346085162215
90,85,60,0.1349013064047948
90,85,70,0.05989155957689721
90,85,80,0.1956025931684981
95,0,-90,0.24535918213154342
95,0,-80,0.1838521330911421
95,0,-70,0.2593251199972167
95,5,-70,0.11999625458004425
95,5,-60,0.16084233356658698
95,10,-60,0.14748773622134165
95,10,-50,0.09766348137624026
95,15,-40,0.23764263479246137
95,75,50,0.22381914450696086
95,80,50,0.22458805864154635
95,80,60,0.010377923202607789
95,80,70,0.1824206477515234
95,85,70,0.17478657177654186
95,85,80,0.16483405098730267
95,85,90,0.25784646126754607
100,0,-80,0.19860824139411656
100,0,-70,0.20764940819268368
100,5,-70,0.18425933875536782
100,5,-60,0.1128844877734675
100,5,-50,0.2591103936535983
100,10,-60,0.22494565995195295
100,10,-50,0.011702984937533419
100,10,-40,0.2372475492475291
100,15,-40,0.13392892760815706
100,70,40,0.14644788367653178
100,70,50,0.21493520593969082
100,75,50,0.10394053431802863
100,75,60,0.11143081311034166
100,80,60,0.2126447099191183
100,80,70,0.13962563762194538
100,80,80,0.2306147391970652
100,85,80,0.22807888062308593
100,85,90,0.24165633993230076
105,0,-80,0.24535918213154342
105,0,-70,0.1838521330911421
105,0,-60,0.2593251199972167
105,5,-70,0.2537632438454518
105,5,-60,0.12492889158841633
105,5,-50,0.18421242984009914
105,10,-50,0.10075466205179452
105,10,-40,0.13078906295286727
105,15,-40,0.1394542358243657
105,15,-30,0.16598775722134676
105,20,-30,0.21262446097164647
105,60,30,0.15239944507971176
105,65,30,0.26524946457749893
105,65,40,0.03739418911368204
105,65,50,0.23476325975966958
105,70,40,0.2482410826867801
105,70,50,0.06623365605337045
105,70,60,0.18581093958521053
105,75,60,0.16126251071350706
105,75,70,0.18111339437394447
105,80,70,0.24758244205493632
105,80,80,0.2154170192592439
105,85,90,0.26295810299063865
110,0,-70,0.19860824139411656
110,0,-60,0.20764940819268368
110,5,-60,0.17590379157719926
110,5,-50,0.13784276391501246
110,10,-50,0.17513401405545076
110,10,-40,0.06891756786381745
110,15,-40,0.18998151340466377
110,15,-30,0.04739543634166359
110,20,-30,0.2047382590728361
110,20,-20,0.12629545285605123
110,25,-20,0.20815144490129958
110,25,-10,0.23468899527860287
110,30,-10,0.20597489159894888
110,35,0,0.22303510008638347
110,40,10,0.26320698712208024
110,45,10,0.18170500169838377
110,50,20,0.10655346119144735
110,55,20,0.21087165237594657
110,55,30,0.0655577360092653
110,60,30,0.16556963336512726
110,60,40,0.07002245393468434
110,60,50,0.26490736691726624
110,65,40,0.18473916835658574
110,65,50,0.10960388891627341
110,65,60,0.24332637739822072
110,70,50,0.2374174582754685
110,70,60,0.1627137474074534
110,70,70,0.23686806392361756
110,75,70,0.21939051567260714
110,75,80,0.2491356435649708
115,0,-70,0.24535918213154342
115,0,-60,0.1838521330911421
115,0,-50,0.2593251199972167
115,5,-60,0.2377851202181279
115,5,-50,0.13505526867926598
115,5,-40,0.2123672033129241
115,10,-50,0.23910575087863334
115,10,-40,0.0891176354516579
115,10,-30,0.1866544269345741
115,15,-40,0.24045004424923794
115,15,-30,0.04368382405443379
115,15,-20,0.2000428690381279
115,20,-30,0.2303574709344257
115,20,-20,0.012197299233707291
115,20,-10,0.2551717978302438
115,25,-20,0.19936144905394407
115,25,-10,0.07506368306429678
115,30,-10,0.14512191320844586
115,30,0,0.14932092640357583
115,35,0,0.07801304108784055
115,35,10,0.21964493352271883
115,40,0,0.23858769387545956
115,40,10,0.03893672354837998
115,45,10,0.1615330017350917
115,45,20,0.07423709240270165
115,50,20,0.116927017499775
115,50,30,0.11110780121756578
115,55,30,0.12340770642558874
115,55,40,0.13823460428715723
115,60,40,0.1617715932884182
115,60,50,0.1629786738452542
115,65,50,0.21040504637164065
115,65,60,0.19161376772898153
115,70,60,0.2618145659379429
115,70,70,0.22531631814041658
115,75,80,0.2610376846875311
120,0,-60,0.19860824139411656
120,0,-50,0.20764940819268368
120,5,-50,0.169841017108955
120,5,-40,0.16683096292758934
120,10,-40,0.14223401095135857
120,10,-30,0.13911564852578606
120,15,-30,0.1107032629028934
120,15,-20,0.13744010438041437
120,20,-30,0.25993779138113526
120,20,-20,0.07142073666842352
120,20,-10,0.16733424860020849
120,25,-20,0.21965366541229256
120,25,-10,0.035861071402815206
120,25,0,0.21630842667145556
120,30,-10,0.1672832611125502
120,30,0,0.061069971402206526
120,35,0,0.11630952661544004
120,35,10,0.11084543044724861
120,40,0,0.2564769422350812
120,40,10,0.09082775335019586
120,40,20,0.15263038658074912
120,45,10,0.22160583938537737
120,45,20,0.10411337846424651
120,45,30,0.18148865792294766
120,50,20,0.21515702697599065
120,50,30,0.13571932864390843
120,50,40,0.20004685097834246
120,55,30,0.23310391938793457
120,55,40,0.17136441647176884
120,55,50,0.21409966857997367
120,60,50,0.20879488774871108
120,60,60,0.22930937354566172
120,65,60,0.2480014621787696
120,65,70,0.24881635082352718
125,0,-60,0.24535918213154342
125,0,-50,0.1838521330911421
125,0,-40,0.2593251199972167
125,5,-50,0.2216842029979083
125,5,-40,0.1520286275429793
125,5,-30,0.24368659084842506
125,10,-40,0.19539479876914584
125,10,-30,0.1279521683376751
125,10,-20,0.24676117528504166
125,15,-30,0.16385684712885393
125,15,-20,0.12061525838396699
125,20,-20,0.1294522064203587
125,20,-10,0.13690600187933052
125,25,-20,0.2422641718866865
125,25,-10,0.1039846686686854
125,25,0,0.16934265475602936
125,30,-10,0.2001306316734631
125,30,0,0.1041321478283064
125,30,10,0.20408730165580455
125,35,0,0.17295417051468856
125,35,10,0.1264297474014199
125,35,20,0.2318777037636621
125,40,10,0.16898442650536832
125,40,20,0.1540263201257122
125,40,30,0.24969557094360612
125,45,10,0.26569093718486236
125,45,20,0.18434094579705465
125,45,30,0.17927347170388747
125,45,40,0.2591752740438248
125,50,30,0.21055791405941618
125,50,40,0.2023592567322159
125,50,50,0.2644446547461256
125,55,40,0.24283013836467565
125,55,50,0.2260142885487335
125,60,60,0.25237131137880153
130,0,-50,0.19860824139411656
130,0,-40,0.20764940819268368
130,5,-40,0.16953065535122194
130,5,-30,0.19886272831659596
130,10,-40,0.2453781613991158
130,10,-30,0.14558756181919266
130,10,-20,0.20697528835919005
130,15,-30,0.20719662822168702
130,15,-20,0.1356766213470967
130,15,-10,0.229916627342116
130,20,-20,0.17268645663644616
130,20,-10,0.14645222868059055
130,20,0,0.25962924819671895
130,25,-20,0.2612179490822468
130,25,-10,0.15373413984750292
130,25,0,0.17134433385089962
130,30,-10,0.22681845232089026
130,30,0,0.156529453358274
130,30,10,0.19823878040526588
130,35,0,0.21321981274078416
130,35,10,0.1738344965205693
130,35,20,0.21996103788254942
130,40,10,0.21917857547433908
130,40,20,0.1958200656821033
130,40,30,0.23521936621828568
130,45,20,0.23799207538327855
130,45,30,0.2185991698800646
130,45,40,0.24635247943764688
130,50,30,0.2646207404599061
130,50,40,0.242729492454198
130,50,50,0.2570901725212384
135,0,-50,0.24535918213154342
135,0,-40,0.1838521330911421
135,0,-30,0.2593251199972167
135,5,-40,0.20853768841912645
135,5,-30,0.1754594856769515
135,10,-30,0.17662322555778295
135,10,-20,0.18664431653515987
135,15,-30,0.24391192764460493
135,15,-20,0.1616674535702742
135,15,-10,0.2134210862692484
135,20,-20,0.20590069092963909
135,20,-10,0.17029246769321804
135,20,0,0.24473202594578622
135,25,-10,0.1905725796318356
135,25,0,0.19322655995312177
135,30,-10,0.24714324626404294
135,30,0,0.19709081577785872
135,30,10,0.2174966511378509
135,35,0,0.24196420077494127
135,35,10,0.2146565543025452
135,35,20,0.23700058500211213
135,40,10,0.2534265045176993
135,40,20,0.23532172567462917
135,40,30,0.25171416130554203
135,45,30,0.2572862363040021
135,45,40,0.2646289606221629
140,0,-40,0.19860824139411656
140,0,-30,0.20764940819268368
140,5,-40,0.25881157130649557
140,5,-30,0.17721276435206237
140,5,-20,0.23282070843299635
140,10,-30,0.2123654274046836
140,10,-20,0.18279493891468296
140,15,-20,0.18867075856968113
140,15,-10,0.2115504932411474
140,20,-20,0.23224193356710593
140,20,-10,0.1955466549587879
140,20,0,0.24618332537514984
140,25,-10,0.21896063935122062
140,25,0,0.21900028784466533
140,30,-10,0.2630649826237993
140,30,0,0.22889861170070125
140,30,10,0.2431368874809655
140,35,0,0.2638823235969261
140,35,10,0.24754410789039247
140,35,20,0.26202411283936244
145,0,-40,0.24535918213154342
145,0,-30,0.1838521330911421
145,0,-20,0.2593251199972167
145,5,-30,0.2013519889409272
145,5,-20,0.20371458882300428
145,10,-30,0.25018169702206766
145,10,-20,0.19113102310540442
145,10,-10,0.24854558907813068
145,15,-20,0.21403390879235915
145,15,-10,0.21782689231228378
145,20,-20,0.2538540029822263
145,20,-10,0.21861026567445324
145,20,0,0.25590295675517083
145,25,-10,0.24183344549302482
