Strike,Dip,Rake,Misfit,Extra
152,78,40,0.0353294665258,"[138388, array([-0.96939113,  0.79768987, -0.29986255]), array([-0.77351944,  0.59096885, -0.22896176])]"
178,66,80,0.0356475247133,"[161556, array([-0.97861356,  0.77811333, -0.25446806]), array([-0.77351944,  0.59096885, -0.22896176])]"
164,70,60,0.049580816894,"[149032, array([-0.97740765,  0.74204098, -0.22523501]), array([-0.77351944,  0.59096885, -0.22896176])]"
2,24,85,0.0551151068345,"[2317, array([-0.98017953,  0.72064662, -0.35400894]), array([-0.77351944,  0.59096885, -0.22896176])]"
6,24,90,0.0587458768918,"[5918, array([-0.97972002,  0.72210979, -0.35967848]), array([-0.77351944,  0.59096885, -0.22896176])]"
168,68,65,0.0594375893002,"[152593, array([-0.97364777,  0.83115757, -0.26479839]), array([-0.77351944,  0.59096885, -0.22896176])]"
158,74,50,0.0612807913036,"[143710, array([-0.97665783,  0.66781656, -0.32100696]), array([-0.77351944,  0.59096885, -0.22896176])]"
148,82,35,0.0622473012325,"[134867, array([-0.97398823,  0.74038879, -0.20851389]), array([-0.77351944,  0.59096885, -0.22896176])]"
144,88,25,0.071340056947,"[131385, array([-0.96462062,  0.83662373, -0.35258906]), array([-0.77351944,  0.59096885, -0.22896176])]"
10,24,95,0.0729732192477,"[9519, array([-0.98014076,  0.69509797, -0.36567149]), array([-0.77351944,  0.59096885, -0.22896176])]"
154,76,45,0.0763118460542,"[140149, array([-0.97486062,  0.75744059, -0.19304933]), array([-0.77351944,  0.59096885, -0.22896176])]"
176,66,75,0.0823823982457,"[159755, array([-0.97214312,  0.84320936, -0.38045886]), array([-0.77351944,  0.59096885, -0.22896176])]"
146,86,30,0.0887350613269,"[133146, array([-0.97411757,  0.66821673, -0.37160995]), array([-0.77351944,  0.59096885, -0.22896176])]"
8,24,95,0.0888021162759,"[7719, array([-0.98315519,  0.70295203, -0.17998733]), array([-0.77351944,  0.59096885, -0.22896176])]"
4,24,90,0.0913699594804,"[4118, array([-0.98272446,  0.72336256, -0.17363118]), array([-0.77351944,  0.59096885, -0.22896176])]"
146,84,30,0.0927603932589,"[133106, array([-0.96550729,  0.86633044, -0.23557792]), array([-0.77351944,  0.59096885, -0.22896176])]"
0,24,85,0.0969411056316,"[517, array([-0.98317688,  0.71527808, -0.16743089]), array([-0.77351944,  0.59096885, -0.22896176])]"
150,80,35,0.0983298144747,"[136627, array([-0.96181194,  0.8756929 , -0.37858567]), array([-0.77351944,  0.59096885, -0.22896176])]"
160,72,55,0.0993512112211,"[145471, array([-0.97881122,  0.7200908 , -0.16291073]), array([-0.77351944,  0.59096885, -0.22896176])]"
170,68,70,0.105928762174,"[154394, array([-0.98230772,  0.68356877, -0.16195198]), array([-0.77351944,  0.59096885, -0.22896176])]"
172,68,70,0.108816534514,"[156194, array([-0.97985647,  0.6257399 , -0.36422568]), array([-0.77351944,  0.59096885, -0.22896176])]"
156,74,45,0.116382099112,"[141909, array([-0.96147969,  0.93493678, -0.33386206]), array([-0.77351944,  0.59096885, -0.22896176])]"
162,70,55,0.123087247537,"[147231, array([-0.96487756,  0.94844997, -0.2892379 ]), array([-0.77351944,  0.59096885, -0.22896176])]"
174,66,75,0.124864389068,"[157955, array([-0.97493674,  0.88761495, -0.18474443]), array([-0.77351944,  0.59096885, -0.22896176])]"
