Strike,Dip,Rake,Misfit,Extra
0,22,-65,0.259763955117,"[447, array([ 0.91377173, -0.28482826, -1.60981293]), array([ 0.30409475, -0.33149068, -0.89310711])]"
0,22,-60,0.232448097963,"[448, array([ 0.87623279, -0.26806139, -1.93031512]), array([ 0.30409475, -0.33149068, -0.89310711])]"
0,22,-55,0.235377149612,"[449, array([ 0.83202518, -0.2492544 , -2.23612644]), array([ 0.30409475, -0.33149068, -0.89310711])]"
0,22,-50,0.253104590182,"[450, array([ 0.78148537, -0.22855044, -2.52491949]), array([ 0.30409475, -0.33149068, -0.89310711])]"
0,22,-45,0.27630556436,"[451, array([ 0.72499797, -0.20610707, -2.79449639]), array([ 0.30409475, -0.33149068, -0.89310711])]"
0,24,-70,0.274589203057,"[486, array([ 0.9351217 , -0.66681925, -1.31911962]), array([ 0.30409475, -0.33149068, -0.89310711])]"
0,24,-65,0.161423031031,"[487, array([ 0.90495594, -0.63958109, -1.66257211]), array([ 0.30409475, -0.33149068, -0.89310711])]"
0,24,-60,0.102288040221,"[488, array([ 0.86790293, -0.60747532, -1.99337143]), array([ 0.30409475, -0.33149068, -0.89310711])]"
0,24,-55,0.110067848111,"[489, array([ 0.82424465, -0.57074631, -2.30899999]), array([ 0.30409475, -0.33149068, -0.89310711])]"
0,24,-50,0.150422439285,"[490, array([ 0.77431337, -0.52967357, -2.60705566]), array([ 0.30409475, -0.33149068, -0.89310711])]"
0,24,-45,0.194209535869,"[491, array([ 0.7184891 , -0.48456969, -2.88527006]), array([ 0.30409475, -0.33149068, -0.89310711])]"
0,24,-40,0.234906503022,"[492, array([ 0.65719669, -0.43577795, -3.14152582]), array([ 0.30409475, -0.33149068, -0.89310711])]"
0,24,-35,0.271817565143,"[493, array([ 0.59090262, -0.38366967, -3.37387266]), array([ 0.30409475, -0.33149068, -0.89310711])]"
0,26,-65,0.194661779316,"[527, array([ 0.89178219, -0.99115888, -1.71372929]), array([ 0.30409475, -0.33149068, -0.89310711])]"
0,26,-60,0.0884816012866,"[528, array([ 0.85540494, -0.94385983, -2.05440388]), array([ 0.30409475, -0.33149068, -0.89310711])]"
