Strike,Dip,Rake,Misfit
0,0,-80,0.0636750815774
0,80,90,0.0561036177921
5,0,-70,0.0653599013672
5,80,90,0.0621835290119
10,0,-70,0.0636750815774
10,85,80,0.0413689207535
15,0,-60,0.0653599013672
15,80,80,0.0596251587045
15,85,80,0.0685412623413
20,0,-60,0.0636750815774
20,80,80,0.00514253277495
25,0,-50,0.0653599013672
25,80,80,0.0687454972163
30,0,-50,0.0636750815774
30,75,70,0.0707825093187
30,75,80,0.0162683198817
35,0,-40,0.0653599013672
40,0,-40,0.0636750815774
40,70,70,0.0560306811432
40,70,80,0.0249196684869
45,0,-30,0.0653599013672
45,65,70,0.0230353989954
50,0,-30,0.0636750815774
50,60,70,0.0142708736656
50,65,80,0.0561450085056
55,0,-20,0.0653599013672
55,50,60,0.0611089058791
55,55,70,0.0217471209974
55,60,80,0.0353743380731
60,0,-20,0.0636750815774
60,40,50,0.0617192205051
60,45,60,0.0356228681615
60,50,70,0.0223313380326
60,55,80,0.0471455576915
65,0,-10,0.0653599013672
65,30,40,0.0643591397966
65,35,50,0.0415222383419
65,40,60,0.0165263714841
65,45,70,0.0185859021079
65,50,80,0.0571937104447
70,0,-10,0.0636750815774
70,15,20,0.0699201859818
70,20,30,0.0603396435724
70,25,40,0.0463915085051
70,30,50,0.0289040449777
70,35,60,0.00839206935672
70,40,70,0.0189591398168
70,45,80,0.0592223686923
75,0,0,0.0653599013672
75,5,10,0.0638323742102
75,10,20,0.0582855391893
75,15,30,0.048189331429
75,20,40,0.0339647940037
75,25,50,0.0167830557957
75,30,60,0.00305111658399
75,35,70,0.0244024517369
75,40,80,0.058758394227
80,0,0,0.0636750815774
80,5,10,0.0629215653663
80,10,20,0.0630303219341
80,15,30,0.0687912865377
80,15,40,0.0622580377849
80,20,50,0.0425529505178
80,25,60,0.0295076908146
80,30,70,0.0361940624411
80,35,80,0.0622768245098
85,0,10,0.0653599013672
85,5,20,0.0502135863036
85,10,30,0.0311745615125
85,15,40,0.0251932488399
85,20,50,0.0489344086301
85,25,70,0.0645685256035
90,0,10,0.0636750815774
90,5,20,0.053358004022
90,10,30,0.057662643836
90,10,40,0.0533380493072
90,15,50,0.0186599648664
90,20,60,0.0259484026245
90,25,70,0.0633234723405
95,0,20,0.0653599013672
95,5,30,0.0394062172956
95,10,40,0.0130222151483
95,15,50,0.0434099186386
95,15,60,0.0601312949973
95,20,70,0.0406175556152
95,25,80,0.0582742625516
100,0,20,0.0636750815774
100,5,30,0.0430678910412
100,10,40,0.0530234536534
100,10,50,0.0393421984551
100,15,60,0.0234244281308
100,20,70,0.068112388686
105,0,30,0.0653599013672
105,5,40,0.032444032211
105,10,50,0.00899858177161
105,15,60,0.0587576552435
105,15,70,0.0512709933062
105,20,80,0.0599133673868
110,0,30,0.0636750815774
110,5,40,0.0316629214333
110,10,50,0.0469082875677
110,10,60,0.0402578294111
110,15,70,0.0431235660597
115,0,40,0.0653599013672
115,5,40,0.0675639771019
115,5,50,0.031376117699
115,10,60,0.0193549701406
115,15,70,0.0666221017339
115,15,80,0.0601229689979
120,0,40,0.0636750815774
120,5,50,0.0190306810811
120,10,60,0.0401264151238
120,10,70,0.0515095227075
120,15,80,0.057681477464
125,0,50,0.0653599013672
125,5,50,0.0530962769261
125,5,60,0.0371190257053
125,10,60,0.0640335959878
125,10,70,0.0333438100055
125,15,80,0.0702206296027
130,0,50,0.0636750815774
130,5,60,0.00635033114375
130,10,70,0.0371342147284
130,10,80,0.0682907168289
130,15,90,0.0707525439011
135,0,60,0.0653599013672
135,5,60,0.0372918054559
135,5,70,0.0480481488488
135,10,70,0.0507122478139
135,10,80,0.051053249402
140,0,60,0.0636750815774
140,5,60,0.0703497942501
140,5,70,0.0126516976798
140,10,70,0.0646221233066
140,10,80,0.0443703041611
145,0,70,0.0653599013672
145,5,70,0.0204509890771
145,5,80,0.0622806687763
145,10,80,0.0457713084267
150,0,70,0.0636750815774
150,5,70,0.0520744106512
150,5,80,0.0290446200254
150,10,80,0.0510564884409
150,10,90,0.0623961944505
155,0,80,0.0653599013672
155,5,80,0.00433357163564
155,10,80,0.0574940054807
155,10,90,0.0561531020793
160,0,80,0.0636750815774
160,5,80,0.0334793460262
160,5,90,0.0468722932756
160,10,80,0.0641293984922
160,10,90,0.052888727111
165,0,90,0.0653599013672
165,5,80,0.0638568249944
165,5,90,0.0166306049037
165,10,90,0.0515491876478
170,0,90,0.0636750815774
170,5,90,0.0150322470732
170,10,90,0.0515601204041
175,5,90,0.04514576173
175,10,90,0.0529008506594
