Strike,Dip,Rake,Misfit
0,0,50,0.636584810163
0,0,60,0.466208746144
0,0,70,0.296306242288
0,0,80,0.13065603895
0,0,90,0.078034342106
0,5,50,0.488278997305
0,5,60,0.263152303873
0,5,70,0.0632695126499
0,5,80,0.148913457059
0,5,90,0.319275062013
0,10,40,0.628785245246
0,10,50,0.336831206354
0,10,60,0.190277895447
0,10,70,0.302375316532
0,10,80,0.458099249193
0,10,90,0.594357834538
0,15,40,0.605341821804
0,15,50,0.439251509313
0,15,60,0.526094642771
0,75,-100,0.609083277557
0,75,-90,0.607577557404
0,75,-80,0.610998379538
0,75,-70,0.62354149439
0,80,-100,0.459596938803
0,80,-90,0.429619892011
0,80,-80,0.400356370757
0,80,-70,0.377369364515
0,80,-60,0.382514860266
0,80,-50,0.482413410636
0,85,-100,0.292253339157
0,85,-90,0.221889287944
0,85,-80,0.143845960511
0,85,-70,0.105280177637
0,85,-60,0.23652983085
0,85,-50,0.515453420947
5,0,60,0.55137461293
5,0,70,0.381133697978
5,0,80,0.212206879407
5,0,90,0.0635797157875
5,5,50,0.61493254777
5,5,60,0.378231513584
5,5,70,0.157972696148
5,5,80,0.0718314295387
5,5,90,0.241439218634
5,10,50,0.505715713492
5,10,60,0.255455954278
5,10,70,0.258068347143
5,10,80,0.404840789813
5,10,90,0.545084551772
5,15,50,0.580062069478
5,15,60,0.548720193983
5,75,-100,0.614800423319
5,80,-100,0.47605724817
5,80,-90,0.489453399299
5,80,-80,0.515805865781
5,80,-70,0.565736427681
5,85,-100,0.31563688971
5,85,-90,0.292750234508
5,85,-80,0.280865425542
5,85,-70,0.301525298574
5,85,-60,0.403925468126
10,0,60,0.636584810163
10,0,70,0.466208746144
10,0,80,0.296306242288
10,0,90,0.13065603895
10,5,60,0.504139144356
10,5,70,0.268741726107
10,5,80,0.0701749058326
10,5,90,0.159635518502
10,10,60,0.390453013094
10,10,70,0.248615064831
10,10,80,0.350801858442
10,10,90,0.492786847436
10,15,60,0.626934940798
10,75,-100,0.614897854595
10,80,-100,0.487492474505
10,80,-90,0.540214014739
10,80,-80,0.6158094532
10,85,-100,0.336009499124
10,85,-90,0.360579566363
10,85,-80,0.412531512214
10,85,-70,0.51263941845
15,0,70,0.55137461293
15,0,80,0.381133697978
15,0,90,0.212206879407
15,5,60,0.639675876263
15,5,70,0.39176103806
15,5,80,0.164862846871
15,5,90,0.0814504734738
15,10,60,0.580574845489
15,10,70,0.312608093477
15,10,80,0.305760033792
15,10,90,0.436978296748
15,75,-100,0.610948840427
15,80,-100,0.495393136717
15,80,-90,0.582928324805
15,85,-100,0.354450287971
15,85,-90,0.42383526171
15,85,-80,0.532717734919
20,0,70,0.636584810163
20,0,80,0.466208746144
20,0,90,0.296306242288
20,5,70,0.525823100832
20,5,80,0.281547409955
20,5,90,0.0809526068902
20,10,70,0.458747893971
20,10,80,0.298434402741
20,10,90,0.380207654754
20,75,-100,0.604266946091
20,80,-100,0.501063629885
20,80,-90,0.618846955761
20,85,-100,0.372125894943
20,85,-90,0.482440671489
20,85,-80,0.638411608864
25,0,80,0.55137461293
25,0,90,0.381133697978
25,5,80,0.411615726546
25,5,90,0.178446855786
25,10,80,0.370790987222
25,10,90,0.33469430357
25,75,-100,0.59598230415
25,80,-100,0.505677011491
25,80,-90,0.649246538208
25,85,-100,0.390239242164
25,85,-90,0.536884086499
30,0,80,0.636584810163
30,0,90,0.466208746144
30,5,80,0.552327297607
30,5,90,0.300895653775
30,10,80,0.533432216123
30,10,90,0.334637995141
30,70,-100,0.649236480399
30,75,-100,0.58710458886
30,80,-100,0.510331980138
30,85,-100,0.410038409797
30,85,-90,0.587899420253
35,0,90,0.55137461293
35,5,90,0.436893669923
35,10,90,0.424501102059
35,70,-100,0.628169733152
35,75,-100,0.578577142405
35,80,-100,0.516108509045
35,85,-100,0.432847770799
35,85,-90,0.636330703807
40,0,90,0.636584810163
40,5,90,0.582270417746
40,10,90,0.607554006808
40,65,-100,0.637851192533
40,70,-100,0.607992265284
40,75,-100,0.571327184357
40,80,-100,0.524122524445
40,85,-100,0.460105633487
45,50,-100,0.644993202133
45,55,-100,0.63442963249
45,60,-100,0.622271326957
45,65,-100,0.60766191041
45,70,-100,0.589529302122
45,75,-100,0.56631662038
45,80,-100,0.535580565339
45,85,-100,0.493399421265
50,30,-100,0.607221268514
50,35,-100,0.59149278359
50,40,-100,0.587474008934
50,45,-100,0.58688594714
50,50,-100,0.586765471916
50,55,-100,0.585918843307
50,60,-100,0.58374765434
50,65,-100,0.579813261622
50,70,-100,0.573640117458
50,75,-100,0.564597161447
50,80,-100,0.551834167802
50,85,-100,0.534488882352
55,25,-100,0.596909178127
55,30,-100,0.536056024027
55,35,-100,0.519499377009
55,40,-100,0.519666402776
55,45,-100,0.525671098395
55,50,-100,0.533351272934
55,55,-100,0.541121591744
55,60,-100,0.548411756655
55,65,-100,0.55508864949
55,70,-100,0.561271845615
55,75,-100,0.567372108266
55,80,-100,0.574430960027
55,85,-100,0.585301217545
