Strike,Dip,Rake,Misfit
0,25,-60,0.0671414962777
0,25,-50,0.100224004891
5,25,-50,0.0778023691469
5,30,-40,0.0963012308474
10,30,-40,0.041211057359
15,30,-40,0.0626685662264
15,35,-30,0.0774334206489
20,35,-30,0.0502093974371
20,40,-20,0.105096613296
20,45,-20,0.114788803511
25,40,-20,0.0284682133918
25,45,-20,0.0987469374009
25,55,-10,0.108030026229
25,60,-10,0.119646959264
25,80,0,0.118634275113
30,40,-20,0.079537589942
30,45,-10,0.120425655918
30,50,-10,0.0360010103696
30,55,-10,0.063531103367
30,65,0,0.0893281950695
30,70,0,0.0504659208059
30,75,0,0.0850082718021
30,80,10,0.0666440919284
30,85,10,0.055875871714
35,50,-10,0.0962706335615
35,60,0,0.0852830421044
35,65,0,0.0604886343972
35,75,10,0.121115577135
140,65,-100,0.1131269292
145,65,-90,0.0744023139456
150,65,-90,0.0158931714582
155,60,-70,0.0909560106208
155,65,-90,0.0822001178898
155,65,-80,0.11791559513
160,60,-70,0.100237962718
160,65,-80,0.0623262894889
165,60,-60,0.0730295883652
170,60,-50,0.0907524294213
170,65,-70,0.0842189047264
175,60,-40,0.114694535601
175,65,-60,0.0513557796657
