Strike,Dip,Rake,Misfit
6,27,-48,0.0015933604653
24,37,-24,0.00166903139937
14,30,-38,0.00239838633804
170,63,-62,0.00291425081802
166,63,-68,0.00453008531393
32,53,-8,0.00600793342978
32,73,4,0.0070696738978
30,46,-14,0.0077390360387
156,64,-82,0.00774655790592
30,81,8,0.00776239131805
146,67,-98,0.00787650697072
176,64,-54,0.00821778906346
28,87,12,0.00828683557544
28,42,-18,0.00870637051478
30,83,10,0.0100182453223
152,65,-88,0.01047790265
148,66,-94,0.0106042205535
26,40,-20,0.0113539022236
154,64,-84,0.0113545929618
