Strike,Dip,Rake,Misfit
110,8,50,0.00255543028512
20,80,80,0.00382982859629
5,84,85,0.00457210240981
105,8,45,0.00471067519757
75,30,60,0.00540926381637
155,4,80,0.00600506616579
90,14,45,0.00619710769051
150,4,75,0.00678051666399
100,10,45,0.00748256582812
115,6,50,0.00816955264696
85,18,50,0.00846493334209
45,66,75,0.00944011913422
175,4,95,0.00945003660525
115,8,55,0.00960146722027
95,12,45,0.00970276203963
60,48,65,0.0102676780157
85,16,45,0.0103251520297
105,10,50,0.0104901415485
95,10,40,0.0106941540236
