Strike,Dip,Rake,Misfit
0,4,76,0.0129585377016
6,3,84,0.0144744740227
4,3,82,0.0145940874476
8,3,86,0.0147847507812
2,3,80,0.0151010396894
2,4,78,0.0151120083376
10,3,88,0.0155363343161
0,3,78,0.0159333827421
12,3,90,0.0167093939027
4,4,80,0.0173120668747
14,3,92,0.0182636124471
6,4,82,0.0195694035232
16,3,94,0.0201517504001
8,4,84,0.0218983049175
18,3,98,0.0222289671336
18,3,96,0.0223292895562
10,4,86,0.024314668041
16,3,96,0.0246592493869
20,3,98,0.0247587442134
12,4,88,0.0268347930389
14,3,94,0.0269796473151
12,3,92,0.0291805821586
14,4,90,0.0294745633236
20,4,98,0.0299610208389
10,3,90,0.0312570790379
18,4,96,0.0317290991843
16,4,92,0.0322488544514
8,3,88,0.0332072313872
16,4,94,0.0335229343953
6,3,86,0.0350313462163
18,4,94,0.0351711037853
14,4,92,0.035280823661
4,3,84,0.036731446828
12,4,90,0.0369583503878
20,4,96,0.0382530081154
2,3,82,0.0383109720439
10,4,88,0.0385241885674
0,3,80,0.039774587474
8,4,86,0.0399568750718
