Strike,Dip,Rake,Misfit,Extra
165,70,60,0.110966100495,"[12176, array([-0.96843801,  0.91674823, -0.28555392]), array([-0.77994104,  0.58651566, -0.21838349])]"
170,70,70,0.140759017564,"[12537, array([-0.98641097,  0.55076649, -0.19835581]), array([-0.77994104,  0.58651566, -0.21838349])]"
150,80,40,0.159928417514,"[11134, array([-0.97371008,  0.80929305, -0.08576851]), array([-0.77994104,  0.58651566, -0.21838349])]"
145,85,30,0.201348191112,"[10793, array([-0.96341354,  0.94641992, -0.09007239]), array([-0.77994104,  0.58651566, -0.21838349])]"
5,25,90,0.230287249763,"[479, array([-0.96494683,  1.1572702 , -0.27106657]), array([-0.77994104,  0.58651566, -0.21838349])]"
160,75,50,0.253105843138,"[11835, array([-0.97064747,  0.619425  , -0.57447601]), array([-0.77994104,  0.58651566, -0.21838349])]"
0,25,80,0.253567304512,"[118, array([-0.96033992,  1.13208605, -0.55483652]), array([-0.77994104,  0.58651566, -0.21838349])]"
155,75,40,0.263873475307,"[11474, array([-0.93722684,  1.19654141, -0.46330645]), array([-0.77994104,  0.58651566, -0.21838349])]"
155,75,50,0.277765143096,"[11475, array([-0.97590314,  0.84835342,  0.06283547]), array([-0.77994104,  0.58651566, -0.21838349])]"
150,80,30,0.300335296098,"[11133, array([-0.92606773,  1.24456975, -0.55102662]), array([-0.77994104,  0.58651566, -0.21838349])]"
175,65,70,0.307774180139,"[12877, array([-0.94181703,  1.31125975, -0.53016456]), array([-0.77994104,  0.58651566, -0.21838349])]"
160,70,50,0.320398195158,"[11815, array([-0.93787777,  1.35664928, -0.27050734]), array([-0.77994104,  0.58651566, -0.21838349])]"
10,25,90,0.325528586604,"[839, array([-0.95087534,  1.14797412, -0.73863144]), array([-0.77994104,  0.58651566, -0.21838349])]"
145,85,20,0.358238405423,"[10792, array([-0.9067449 ,  1.44530043, -0.47474427]), array([-0.77994104,  0.58651566, -0.21838349])]"
175,65,80,0.377382385057,"[12878, array([-0.96237978,  1.24952656,  0.07207568]), array([-0.77994104,  0.58651566, -0.21838349])]"
170,70,60,0.388106830306,"[12536, array([-0.9545421 ,  0.71105722, -0.82879559]), array([-0.77994104,  0.58651566, -0.21838349])]"
165,70,50,0.389295320141,"[12175, array([-0.92382861,  1.11489527, -0.8762958 ]), array([-0.77994104,  0.58651566, -0.21838349])]"
170,65,60,0.390660076572,"[12516, array([-0.91490448,  1.54644077, -0.59994158]), array([-0.77994104,  0.58651566, -0.21838349])]"
175,70,80,0.399019287174,"[12898, array([-0.99467038,  0.29895712, -0.02872467]), array([-0.77994104,  0.58651566, -0.21838349])]"
170,65,70,0.402704346283,"[12517, array([-0.94834751,  1.45153801, -0.01955338]), array([-0.77994104,  0.58651566, -0.21838349])]"
155,80,40,0.413440545623,"[11494, array([-0.9632346 ,  0.57250769, -0.80304995]), array([-0.77994104,  0.58651566, -0.21838349])]"
150,85,30,0.415731164157,"[11153, array([-0.95139419,  0.74154244, -0.88987873]), array([-0.77994104,  0.58651566, -0.21838349])]"
0,25,90,0.421752178343,"[119, array([-0.96589619,  1.15790353,  0.20294212]), array([-0.77994104,  0.58651566, -0.21838349])]"
160,75,60,0.426780113284,"[11836, array([-0.99482365,  0.2865915 ,  0.00710398]), array([-0.77994104,  0.58651566, -0.21838349])]"
175,70,70,0.427613242813,"[12897, array([-0.97521581,  0.40133576, -0.68969759]), array([-0.77994104,  0.58651566, -0.21838349])]"
5,25,80,0.440726081374,"[478, array([-0.93810697,  1.15068957, -1.02062226]), array([-0.77994104,  0.58651566, -0.21838349])]"
160,70,40,0.443028745254,"[11814, array([-0.8804037 ,  1.56744692, -0.81921863]), array([-0.77994104,  0.58651566, -0.21838349])]"
5,20,90,0.445493036444,"[459, array([-0.99454342,  0.18864114, -0.25520704]), array([-0.77994104,  0.58651566, -0.21838349])]"
150,85,40,0.457795673946,"[11154, array([-0.99041131,  0.20997981, -0.45032398]), array([-0.77994104,  0.58651566, -0.21838349])]"
160,70,60,0.46117922415,"[11816, array([-0.96685491,  1.10463055,  0.28642317]), array([-0.77994104,  0.58651566, -0.21838349])]"
150,75,30,0.463727863538,"[11113, array([-0.88491623,  1.75468456, -0.23078995]), array([-0.77994104,  0.58651566, -0.21838349])]"
165,65,50,0.472684458526,"[12155, array([-0.87620319,  1.85134781, -0.59975325]), array([-0.77994104,  0.58651566, -0.21838349])]"
155,75,30,0.473499837356,"[11473, array([-0.87007337,  1.50837309, -0.97537105]), array([-0.77994104,  0.58651566, -0.21838349])]"
165,70,70,0.476677736135,"[12177, array([-0.98362191,  0.69074626,  0.31386437]), array([-0.77994104,  0.58651566, -0.21838349])]"
165,65,60,0.476787291368,"[12156, array([-0.92235472,  1.74011546, -0.04727067]), array([-0.77994104,  0.58651566, -0.21838349])]"
155,70,40,0.487699227341,"[11454, array([-0.89185009,  1.82152128, -0.14920032]), array([-0.77994104,  0.58651566, -0.21838349])]"
