Strike,Dip,Rake,Misfit,Extra
0,0,-80,0.0612504935979,"[2, array([ 0.80080313,  3.53898934,  0.09691155]), array([ 0.16662171,  0.98602089,  0.        ])]"
0,0,-70,0.104794018829,"[3, array([ 0.79424658,  3.51001401, -0.3217384 ]), array([ 0.16662171,  0.98602089,  0.        ])]"
0,70,90,0.133890329035,"[299, array([ 0.23875682,  5.37953451, -0.28518787]), array([ 0.16662171,  0.98602089,  0.        ])]"
0,75,90,0.091408253507,"[319, array([ 0.39725368,  5.1193665 , -0.08335404]), array([ 0.16662171,  0.98602089,  0.        ])]"
0,80,90,0.058226528046,"[339, array([ 0.54368017,  4.70364914,  0.12101246]), array([ 0.16662171,  0.98602089,  0.        ])]"
0,85,80,0.128734174212,"[358, array([ 0.72352289,  3.93694923, -0.51492745]), array([ 0.16662171,  0.98602089,  0.        ])]"
0,85,90,0.076716604701,"[359, array([ 0.67358723,  4.14501378,  0.32170205]), array([ 0.16662171,  0.98602089,  0.        ])]"
5,0,-80,0.101052261567,"[362, array([ 0.79494039,  3.51308013,  0.30592837]), array([ 0.16662171,  0.98602089,  0.        ])]"
5,0,-70,0.0632886680949,"[363, array([ 0.80057127,  3.5379647 , -0.11284283]), array([ 0.16662171,  0.98602089,  0.        ])]"
5,5,-70,0.142730600549,"[383, array([ 0.88891486,  2.77410796, -0.0095886 ]), array([ 0.16662171,  0.98602089,  0.        ])]"
5,70,90,0.139906946063,"[659, array([ 0.24719028,  5.2588932 , -0.37641333]), array([ 0.16662171,  0.98602089,  0.        ])]"
5,75,90,0.0900440591941,"[679, array([ 0.39898564,  5.00418739, -0.09953218]), array([ 0.16662171,  0.98602089,  0.        ])]"
5,80,80,0.13928718824,"[698, array([ 0.61529568,  4.3483503 , -0.60408265]), array([ 0.16662171,  0.98602089,  0.        ])]"
5,80,90,0.0639773443125,"[699, array([ 0.53865801,  4.59743187,  0.18037322]), array([ 0.16662171,  0.98602089,  0.        ])]"
5,85,80,0.0829541040388,"[718, array([ 0.73404395,  3.79193794, -0.30758877]), array([ 0.16662171,  0.98602089,  0.        ])]"
5,85,90,0.11048164001,"[719, array([ 0.66196354,  4.05098572,  0.45479806]), array([ 0.16662171,  0.98602089,  0.        ])]"
10,0,-70,0.0612504935979,"[723, array([ 0.80080313,  3.53898934,  0.09691155]), array([ 0.16662171,  0.98602089,  0.        ])]"
10,0,-60,0.104794018829,"[724, array([ 0.79424658,  3.51001401, -0.3217384 ]), array([ 0.16662171,  0.98602089,  0.        ])]"
10,70,90,0.145438548892,"[1019, array([ 0.25758407,  5.10108373, -0.44372087]), array([ 0.16662171,  0.98602089,  0.        ])]"
10,75,90,0.0874006859132,"[1039, array([ 0.40066931,  4.85314433, -0.09857633]), array([ 0.16662171,  0.98602089,  0.        ])]"
10,80,80,0.104904856793,"[1058, array([ 0.62865609,  4.16968053, -0.43756041]), array([ 0.16662171,  0.98602089,  0.        ])]"
10,80,90,0.0738550818329,"[1059, array([ 0.53158041,  4.45774459,  0.2495634 ]), array([ 0.16662171,  0.98602089,  0.        ])]"
10,85,80,0.0393390583939,"[1078, array([ 0.73821214,  3.6236885 , -0.07589409]), array([ 0.16662171,  0.98602089,  0.        ])]"
10,85,90,0.147270189564,"[1079, array([ 0.64633972,  3.92689853,  0.59012027]), array([ 0.16662171,  0.98602089,  0.        ])]"
15,0,-70,0.101052261567,"[1083, array([ 0.79494039,  3.51308013,  0.30592837]), array([ 0.16662171,  0.98602089,  0.        ])]"
15,0,-60,0.0632886680949,"[1084, array([ 0.80057127,  3.5379647 , -0.11284283]), array([ 0.16662171,  0.98602089,  0.        ])]"
15,5,-60,0.136494756826,"[1104, array([ 0.88353591,  2.83181438,  0.059349  ]), array([ 0.16662171,  0.98602089,  0.        ])]"
15,70,90,0.148922827264,"[1379, array([ 0.269209  ,  4.90907419, -0.48162256]), array([ 0.16662171,  0.98602089,  0.        ])]"
15,75,90,0.0831747819512,"[1399, array([ 0.4017862 ,  4.66876138, -0.0766234 ]), array([ 0.16662171,  0.98602089,  0.        ])]"
15,80,80,0.0602341154962,"[1418, array([ 0.63671864,  3.9676404 , -0.24003422]), array([ 0.16662171,  0.98602089,  0.        ])]"
15,80,90,0.0892818009908,"[1419, array([ 0.52215533,  4.28659062,  0.33070392]), array([ 0.16662171,  0.98602089,  0.        ])]"
15,85,80,0.0666270160637,"[1438, array([ 0.73540012,  3.43510037,  0.17749991]), array([ 0.16662171,  0.98602089,  0.        ])]"
20,0,-60,0.0612504935979,"[1444, array([ 0.80080313,  3.53898934,  0.09691155]), array([ 0.16662171,  0.98602089,  0.        ])]"
20,0,-50,0.104794018829,"[1445, array([ 0.79424658,  3.51001401, -0.3217384 ]), array([ 0.16662171,  0.98602089,  0.        ])]"
20,5,-50,0.138162076525,"[1465, array([ 0.87494809,  2.86532945, -0.14905985]), array([ 0.16662171,  0.98602089,  0.        ])]"
20,70,90,0.148773739996,"[1739, array([ 0.28120001,  4.68643675, -0.48564518]), array([ 0.16662171,  0.98602089,  0.        ])]"
20,75,80,0.121983311336,"[1758, array([ 0.53596024,  4.1423638 , -0.48543369]), array([ 0.16662171,  0.98602089,  0.        ])]"
20,75,90,0.0777543743962,"[1759, array([ 0.40172374,  4.45408378, -0.03058529]), array([ 0.16662171,  0.98602089,  0.        ])]"
20,80,70,0.144327144185,"[1777, array([ 0.74788046,  3.29144693, -0.45186116]), array([ 0.16662171,  0.98602089,  0.        ])]"
20,80,80,0.00382982859629,"[1778, array([ 0.63866361,  3.74582889, -0.01343269]), array([ 0.16662171,  0.98602089,  0.        ])]"
20,80,90,0.111615536853,"[1779, array([ 0.51004129,  4.08639573,  0.42540392]), array([ 0.16662171,  0.98602089,  0.        ])]"
20,85,70,0.122707129516,"[1797, array([ 0.82524212,  2.76561303,  0.0161452 ]), array([ 0.16662171,  0.98602089,  0.        ])]"
20,85,80,0.145036557544,"[1798, array([ 0.72506721,  3.22913667,  0.44912961]), array([ 0.16662171,  0.98602089,  0.        ])]"
25,0,-60,0.101052261567,"[1804, array([ 0.79494039,  3.51308013,  0.30592837]), array([ 0.16662171,  0.98602089,  0.        ])]"
25,0,-50,0.0632886680949,"[1805, array([ 0.80057127,  3.5379647 , -0.11284283]), array([ 0.16662171,  0.98602089,  0.        ])]"
25,5,-50,0.131286170482,"[1825, array([ 0.87563038,  2.9109304 ,  0.12432532]), array([ 0.16662171,  0.98602089,  0.        ])]"
25,70,90,0.143394370881,"[2099, array([ 0.2925864 ,  4.43725636, -0.45249135]), array([ 0.16662171,  0.98602089,  0.        ])]"
25,75,80,0.0742212839149,"[2118, array([ 0.54477962,  3.89384151, -0.27007762]), array([ 0.16662171,  0.98602089,  0.        ])]"
25,75,90,0.073444478498,"[2119, array([ 0.3997983 ,  4.21260487,  0.04172873]), array([ 0.16662171,  0.98602089,  0.        ])]"
25,80,70,0.0774777854267,"[2137, array([ 0.75336364,  3.04932263, -0.06341826]), array([ 0.16662171,  0.98602089,  0.        ])]"
25,80,80,0.0679695285227,"[2138, array([ 0.63374104,  3.50793244,  0.23926631]), array([ 0.16662171,  0.98602089,  0.        ])]"
25,80,90,0.14221438089,"[2139, array([ 0.49486254,  3.85995551,  0.53468089]), array([ 0.16662171,  0.98602089,  0.        ])]"
30,0,-50,0.0612504935979,"[2165, array([ 0.80080313,  3.53898934,  0.09691155]), array([ 0.16662171,  0.98602089,  0.        ])]"
30,0,-40,0.104794018829,"[2166, array([ 0.79424658,  3.51001401, -0.3217384 ]), array([ 0.16662171,  0.98602089,  0.        ])]"
30,5,-40,0.120511767569,"[2186, array([ 0.8663405 ,  2.95811391, -0.08274361]), array([ 0.16662171,  0.98602089,  0.        ])]"
30,70,80,0.149790363977,"[2458, array([ 0.45958168,  3.89149366, -0.55744939]), array([ 0.16662171,  0.98602089,  0.        ])]"
30,70,90,0.131265872436,"[2459, array([ 0.30232587,  4.16602701, -0.38016392]), array([ 0.16662171,  0.98602089,  0.        ])]"
30,75,70,0.0694610732491,"[2477, array([ 0.68200827,  3.20676647, -0.18123775]), array([ 0.16662171,  0.98602089,  0.        ])]"
30,75,80,0.018779530426,"[2478, array([ 0.5469542 ,  3.63266305, -0.02016621]), array([ 0.16662171,  0.98602089,  0.        ])]"
30,75,90,0.0764275889703,"[2479, array([ 0.3952812 ,  3.948183  ,  0.14151806]), array([ 0.16662171,  0.98602089,  0.        ])]"
30,80,70,0.152600501433,"[2497, array([ 0.74749351,  2.80591536,  0.35367232]), array([ 0.16662171,  0.98602089,  0.        ])]"
35,0,-50,0.101052261567,"[2525, array([ 0.79494039,  3.51308013,  0.30592837]), array([ 0.16662171,  0.98602089,  0.        ])]"
35,0,-40,0.0632886680949,"[2526, array([ 0.80057127,  3.5379647 , -0.11284283]), array([ 0.16662171,  0.98602089,  0.        ])]"
35,5,-40,0.126904580398,"[2546, array([ 0.8652905 ,  3.00851279,  0.18351431]), array([ 0.16662171,  0.98602089,  0.        ])]"
35,5,-30,0.142968118268,"[2547, array([ 0.85036622,  2.98986191, -0.28638296]), array([ 0.16662171,  0.98602089,  0.        ])]"
35,70,60,0.144250958934,"[2816, array([ 0.74283939,  2.78610728, -0.31932481]), array([ 0.16662171,  0.98602089,  0.        ])]"
35,70,70,0.095862485766,"[2817, array([ 0.61556526,  3.25246465, -0.31152366]), array([ 0.16662171,  0.98602089,  0.        ])]"
35,70,80,0.0891162565538,"[2818, array([ 0.46958749,  3.61999753, -0.29425701]), array([ 0.16662171,  0.98602089,  0.        ])]"
35,70,90,0.111485769923,"[2819, array([ 0.30934153,  3.87753861, -0.26804951]), array([ 0.16662171,  0.98602089,  0.        ])]"
35,75,70,0.0988471701564,"[2837, array([ 0.67932365,  2.95919059,  0.24312061]), array([ 0.16662171,  0.98602089,  0.        ])]"
35,75,80,0.0765603787674,"[2838, array([ 0.54160339,  3.36316471,  0.25997418]), array([ 0.16662171,  0.98602089,  0.        ])]"
35,75,90,0.0956737408332,"[2839, array([ 0.38742679,  3.66495078,  0.26892856]), array([ 0.16662171,  0.98602089,  0.        ])]"
40,0,-40,0.0612504935979,"[2886, array([ 0.80080313,  3.53898934,  0.09691155]), array([ 0.16662171,  0.98602089,  0.        ])]"
40,0,-30,0.104794018829,"[2887, array([ 0.79424658,  3.51001401, -0.3217384 ]), array([ 0.16662171,  0.98602089,  0.        ])]"
40,5,-30,0.104814090915,"[2907, array([ 0.85527443,  3.06664128, -0.02222011]), array([ 0.16662171,  0.98602089,  0.        ])]"
