Strike,Dip,Rake,P,SV,SH,SH/SV,P/SV,P/SH,Plunge P,Plunge S,Ratio1,Ratio2,Ratio3,Sum
10,15,-90,0.98176597191,0.779213010213,0.631937643551,0.810994728359,1.25994555923,1.55358045517,62.631608935,64.0344175574,1.86652430359e-05,0.00401340266639,0.00411649881827,0.0081485667277
10,15,-70,0.978362022009,0.835441796889,0.638632847016,0.764425300953,1.17107143269,1.53196320324,62.631608935,64.0344175574,0.00109296041737,0.000754334487649,0.00333673178016,0.00518402668517
10,15,90,0.98176597191,0.779213010213,0.631937643551,0.810994728359,1.25994555923,1.55358045517,62.631608935,64.0344175574,1.86652430359e-05,0.00401340266639,0.00411649881827,0.0081485667277
10,25,-70,0.959028352322,1.01864606629,0.760546234092,0.746624621895,0.941473573653,1.26097311292,62.631608935,64.0344175574,0.00197066266087,0.00661041717458,0.00118377794699,0.00976485778244
20,15,-80,0.973265525526,0.854781151717,0.790540685313,0.924845714865,1.13861369495,1.23113907179,62.631608935,64.0344175574,0.00367771395207,0.000183764424957,0.00212465799699,0.00598613637401
25,25,-70,0.964304007394,0.825256406545,0.664851697339,0.805630458687,1.16849018044,1.45040467108,62.631608935,64.0344175574,5.72258849863e-05,0.000695654995185,0.00105342948857,0.00180631036874
40,30,-50,0.957444722241,0.83734871918,0.718714737065,0.858321892184,1.14342411986,1.33216236271,62.631608935,64.0344175574,0.000555829869672,0.000244788455076,6.15815700104e-05,0.000862199894759
45,25,-20,0.972573182722,0.79661147041,0.656041180169,0.823539711061,1.22088774622,1.48248800856,62.631608935,64.0344175574,1.02464930876e-05,0.00230063695697,0.00181823287125,0.0041291163213
45,75,10,0.961254417448,0.818210251171,0.783342984122,0.957385932284,1.17482568334,1.22711818058,62.631608935,64.0344175574,0.00606859443734,0.000843632400394,0.00227485875362,0.00918708559136
50,30,-10,0.971950670284,0.824803969909,0.62192465134,0.754027228323,1.17840202732,1.56281097427,62.631608935,64.0344175574,0.00157259471875,0.000933011172522,0.00446927833682,0.0069748842281
50,80,40,0.971862173089,0.788727737902,0.707809955143,0.897407205465,1.23218967254,1.37305524742,62.631608935,64.0344175574,0.00208403749432,0.00275392110939,4.36367809233e-05,0.00488159538464
50,85,20,0.960182622649,0.874107919636,0.799295625846,0.914412977952,1.09847148284,1.2012859718,62.631608935,64.0344175574,0.0030240909676,1.82952533429e-05,0.0033798025224,0.00642218874333
55,65,0,0.963118274447,0.760448654692,0.611185423893,0.803716884923,1.26651322019,1.57582009779,62.631608935,64.0344175574,7.61479816636e-05,0.004340383617,0.00498571061389,0.00940224221255
55,70,30,0.974946168791,0.854491028586,0.64198921716,0.751311828542,1.14096712098,1.51863324606,62.631608935,64.0344175574,0.00171307915178,0.000212564544364,0.00288984285458,0.00481548655072
60,35,-10,0.986827226329,0.88523804866,0.675904025577,0.763527987302,1.11475916317,1.46001087283,62.631608935,64.0344175574,0.00113074548877,9.26850946056e-06,0.00126293830489,0.00240295230312
