Index,Strike,Dip,Rake,Misfit,Extra
4938,166,49,-94,0.00128933261812,"[25, 751903, array([ 0.7283635 , -3.65411101,  0.00454759]), array([ 0.19507396, -0.98078853,  0.        ])]"
2944,34,69,-36,0.000383530417117,"[35, 159932, array([  6.24752627e-01,  -3.13497062e+00,  -2.55536616e-04]), array([ 0.19507396, -0.98078853,  0.        ])]"
4964,166,49,-94,0.00130423563904,"[45, 751903, array([ 0.73053193, -3.68552496,  0.00424238]), array([ 0.19507396, -0.98078853,  0.        ])]"
5972,172,49,-80,0.0010676572016,"[55, 778910, array([ 0.72799946, -3.66602972, -0.00382614]), array([ 0.19507396, -0.98078853,  0.        ])]"
6807,166,67,-94,0.00138633704872,"[25, 753703, array([  7.26177577e-01,  -3.62495471e+00,   5.79713052e-04]), array([ 0.19507396, -0.98078853,  0.        ])]"
1243,18,28,-56,0.00148406489894,"[35, 83822, array([ 0.71178195, -3.59793575, -0.00393945]), array([ 0.19507396, -0.98078853,  0.        ])]"
1244,18,28,-56,0.00109544313846,"[45, 83822, array([  7.14757637e-01,  -3.57328856e+00,   4.12193977e-04]), array([ 0.19507396, -0.98078853,  0.        ])]"
4471,40,52,-24,0.00280072228096,"[55, 185238, array([ 0.64592048, -3.20394016,  0.00338228]), array([ 0.19507396, -0.98078853,  0.        ])]"
4406,40,52,-24,0.00110612079912,"[25, 185238, array([ 0.63424395, -3.19508818,  0.00339053]), array([ 0.19507396, -0.98078853,  0.        ])]"
1216,18,28,-56,0.00358998445907,"[35, 83822, array([ 0.70795129, -3.51329704,  0.00919676]), array([ 0.19507396, -0.98078853,  0.        ])]"
277,4,25,-72,0.00269457108294,"[45, 20514, array([ 0.70807009, -3.59178367,  0.00767557]), array([ 0.19507396, -0.98078853,  0.        ])]"
4713,40,69,-14,0.000244141081263,"[55, 186943, array([  5.83093985e-01,  -2.93409424e+00,  -5.56058273e-04]), array([ 0.19507396, -0.98078853,  0.        ])]"
852,12,45,-64,0.00140699254318,"[25, 58518, array([  7.20321935e-01,  -3.59941055e+00,   2.81187561e-03]), array([ 0.19507396, -0.98078853,  0.        ])]"
2971,34,68,-36,0.000642474786344,"[35, 159832, array([  6.31432087e-01,  -3.17426510e+00,   2.07761033e-03]), array([ 0.19507396, -0.98078853,  0.        ])]"
4978,166,49,-94,0.00307447954106,"[45, 751903, array([  7.27742944e-01,  -3.71609206e+00,   3.34599030e-03]), array([ 0.19507396, -0.98078853,  0.        ])]"
5580,176,42,-72,0.000730954594213,"[55, 796214, array([  6.93723797e-01,  -3.49755917e+00,  -1.79852086e-03]), array([ 0.19507396, -0.98078853,  0.        ])]"
4938,166,49,-94,0.00128933261812,"[25, 751903, array([ 0.7283635 , -3.65411101,  0.00454759]), array([ 0.19507396, -0.98078853,  0.        ])]"
5956,172,49,-80,0.00149393405721,"[25, 778910, array([  7.22859327e-01,  -3.66043607e+00,  -2.28622737e-03]), array([ 0.19507396, -0.98078853,  0.        ])]"
995,14,47,-62,0.00392330579243,"[25, 67719, array([  7.01084041e-01,  -3.59652474e+00,  -3.37869784e-03]), array([ 0.19507396, -0.98078853,  0.        ])]"
2944,34,69,-36,0.000383530417117,"[35, 159932, array([  6.24752627e-01,  -3.13497062e+00,  -2.55536616e-04]), array([ 0.19507396, -0.98078853,  0.        ])]"
990,14,47,-62,0.00166226472304,"[35, 67719, array([ 0.70492877, -3.56663634,  0.00417248]), array([ 0.19507396, -0.98078853,  0.        ])]"
5917,172,49,-80,0.00199226421208,"[35, 778910, array([ 0.72678475, -3.62769062, -0.00526928]), array([ 0.19507396, -0.98078853,  0.        ])]"
4964,166,49,-94,0.00130423563904,"[45, 751903, array([ 0.73053193, -3.68552496,  0.00424238]), array([ 0.19507396, -0.98078853,  0.        ])]"
5991,172,49,-80,0.00244081905015,"[45, 778910, array([  7.25029824e-01,  -3.69175059e+00,  -1.47687254e-03]), array([ 0.19507396, -0.98078853,  0.        ])]"
2667,32,64,-40,0.0043034068244,"[45, 150430, array([ 0.64058386, -3.26542363,  0.01135788]), array([ 0.19507396, -0.98078853,  0.        ])]"
5972,172,49,-80,0.0010676572016,"[55, 778910, array([ 0.72799946, -3.66602972, -0.00382614]), array([ 0.19507396, -0.98078853,  0.        ])]"
4950,166,49,-94,0.00203664404796,"[55, 751903, array([ 0.73349854, -3.65941039,  0.00519241]), array([ 0.19507396, -0.98078853,  0.        ])]"
2966,34,69,-36,0.00220220415104,"[55, 159932, array([ 0.62578071, -3.16221048, -0.00638315]), array([ 0.19507396, -0.98078853,  0.        ])]"
6807,166,67,-94,0.00138633704872,"[25, 753703, array([  7.26177577e-01,  -3.62495471e+00,   5.79713052e-04]), array([ 0.19507396, -0.98078853,  0.        ])]"
2098,28,33,-44,0.00180240351907,"[25, 129328, array([  6.97921479e-01,  -3.54178419e+00,   1.19130270e-03]), array([ 0.19507396, -0.98078853,  0.        ])]"
7779,172,67,-80,0.0022914170825,"[25, 780710, array([ 0.71976502, -3.62956053,  0.00821579]), array([ 0.19507396, -0.98078853,  0.        ])]"
1243,18,28,-56,0.00148406489894,"[35, 83822, array([ 0.71178195, -3.59793575, -0.00393945]), array([ 0.19507396, -0.98078853,  0.        ])]"
2089,28,33,-44,0.00211483326571,"[35, 129328, array([ 0.70082763, -3.51871167,  0.00752737]), array([ 0.19507396, -0.98078853,  0.        ])]"
7723,172,67,-80,0.00218345641418,"[35, 780710, array([ 0.72275776, -3.60399053,  0.00551822]), array([ 0.19507396, -0.98078853,  0.        ])]"
