Index,Strike,Dip,Rake,Misfit,Extra
6663,14,1,74,0.00409580766834,"[25, 63187, array([-0.91404543, -2.72691095,  0.00375981]), array([-0.31413278, -0.94937906,  0.        ])]"
7614,16,1,76,0.000740290493414,"[35, 72188, array([ -9.12593654e-01,  -2.75207939e+00,   1.03762330e-03]), array([-0.31413278, -0.94937906,  0.        ])]"
7563,16,1,76,0.00383734855048,"[45, 72188, array([ -9.13589446e-01,  -2.72605436e+00,   8.52049253e-04]), array([-0.31413278, -0.94937906,  0.        ])]"
7601,16,1,76,0.000912950474432,"[55, 72188, array([ -9.12274460e-01,  -2.74924696e+00,   9.55914735e-04]), array([-0.31413278, -0.94937906,  0.        ])]"
4480,12,75,-84,0.00421955299848,"[25, 61508, array([ -9.05453901e-01,  -2.69828998e+00,   5.32920957e-04]), array([-0.31413278, -0.94937906,  0.        ])]"
4487,12,75,-84,0.00183834099872,"[35, 61508, array([-0.90396426, -2.72193308, -0.00422345]), array([-0.31413278, -0.94937906,  0.        ])]"
6827,18,76,-86,0.00203163374097,"[45, 88607, array([-0.91024855, -2.75646204, -0.00563991]), array([-0.31413278, -0.94937906,  0.        ])]"
2400,6,74,-82,0.00339495627033,"[55, 34409, array([-0.89481404, -2.68880071,  0.00829265]), array([-0.31413278, -0.94937906,  0.        ])]"
9590,24,77,-88,0.00606619760663,"[25, 115706, array([-0.92669381, -2.85016936, -0.00942317]), array([-0.31413278, -0.94937906,  0.        ])]"
6992,18,77,-86,0.00503175861001,"[35, 88707, array([-0.92795507, -2.77141086,  0.01040736]), array([-0.31413278, -0.94937906,  0.        ])]"
7009,18,77,-86,0.0023409701162,"[45, 88707, array([-0.926756  , -2.79827362,  0.00685251]), array([-0.31413278, -0.94937906,  0.        ])]"
7032,18,77,-86,0.00316341748523,"[55, 88707, array([-0.92552953, -2.82522142,  0.00327433]), array([-0.31413278, -0.94937906,  0.        ])]"
3679,6,86,-76,0.000339180930905,"[25, 35612, array([ -8.86096872e-01,  -2.67574062e+00,   6.46838772e-04]), array([-0.31413278, -0.94937906,  0.        ])]"
8363,16,89,-82,0.00325519557228,"[35, 80909, array([-0.90040057, -2.74810211,  0.00415381]), array([-0.31413278, -0.94937906,  0.        ])]"
8409,16,89,-82,0.00616072056769,"[45, 80909, array([ -8.98797661e-01,  -2.77354450e+00,   7.82610615e-05]), array([-0.31413278, -0.94937906,  0.        ])]"
15363,28,6,88,0.00476361791033,"[55, 126694, array([-0.92092194, -2.82613191, -0.00434346]), array([-0.31413278, -0.94937906,  0.        ])]"
6663,14,1,74,0.00409580766834,"[25, 63187, array([-0.91404543, -2.72691095,  0.00375981]), array([-0.31413278, -0.94937906,  0.        ])]"
7597,16,1,76,0.0041029718874,"[25, 72188, array([ -9.14170153e-01,  -2.72539307e+00,   9.17875153e-04]), array([-0.31413278, -0.94937906,  0.        ])]"
