Index,Strike,Dip,Rake,Misfit,Extra
1702,74,32,84,0.00165023982088,"[35, 'NewGudkova', 168192, array([ 0.21427645,  2.0866045 , -1.02196221]), array([ 0.09308418,  0.89464244, -0.43697853])]"
150,6,72,66,0.00226154041264,"[35, 'NewGudkova', 17183, array([ 0.46695269,  4.41874527, -2.14913025]), array([ 0.09308418,  0.89464244, -0.43697853])]"
2111,92,20,92,0.00335690380789,"[35, 'NewGudkova', 208096, array([ 0.21305741,  2.00056784, -0.98376092]), array([ 0.09308418,  0.89464244, -0.43697853])]"
1754,76,30,84,0.00338707405922,"[35, 'NewGudkova', 172592, array([ 0.21934452,  2.07831203, -1.00725192]), array([ 0.09308418,  0.89464244, -0.43697853])]"
2298,102,16,98,0.00347942536287,"[35, 'NewGudkova', 230399, array([ 0.22111386,  2.0580939 , -1.00117855]), array([ 0.09308418,  0.89464244, -0.43697853])]"
2191,96,18,94,0.00366387354311,"[35, 'NewGudkova', 216997, array([ 0.21903365,  2.0310546 , -0.99604215]), array([ 0.09308418,  0.89464244, -0.43697853])]"
232,10,70,66,0.00371853592393,"[35, 'NewGudkova', 26083, array([ 0.46007699,  4.33113573, -2.13309028]), array([ 0.09308418,  0.89464244, -0.43697853])]"
561,26,62,68,0.00409358858995,"[35, 'NewGudkova', 61684, array([ 0.41795907,  3.84921886, -1.88433165]), array([ 0.09308418,  0.89464244, -0.43697853])]"
1382,62,40,78,0.00418474371157,"[35, 'NewGudkova', 141589, array([ 0.26001699,  2.41609349, -1.17239626]), array([ 0.09308418,  0.89464244, -0.43697853])]"
475,22,64,68,0.00437044778345,"[35, 'NewGudkova', 52784, array([ 0.42102718,  4.01970878, -1.94195651]), array([ 0.09308418,  0.89464244, -0.43697853])]"
1081,50,48,74,0.00453250483885,"[35, 'NewGudkova', 114987, array([ 0.30803747,  2.861292  , -1.40949909]), array([ 0.09308418,  0.89464244, -0.43697853])]"
2072,90,22,92,0.00509508696079,"[35, 'NewGudkova', 203696, array([ 0.20090758,  1.95976753, -0.9451521 ]), array([ 0.09308418,  0.89464244, -0.43697853])]"
66,2,74,66,0.00532832882383,"[35, 'NewGudkova', 8283, array([ 0.47466304,  4.47669883, -2.15914305]), array([ 0.09308418,  0.89464244, -0.43697853])]"
23,0,74,66,0.00533092704591,"[35, 'NewGudkova', 3783, array([ 0.45045865,  4.55253742, -2.20675033]), array([ 0.09308418,  0.89464244, -0.43697853])]"
105,4,72,66,0.00540480335545,"[35, 'NewGudkova', 12683, array([ 0.44284448,  4.50045725, -2.20809561]), array([ 0.09308418,  0.89464244, -0.43697853])]"
