Index,Strike,Dip,Rake,Misfit,Extra
421,12,46,-64,0.00207438758057,"[35, 'NewGudkova', 29318, array([ 0.7111806 , -3.5697306 , -0.00746148]), array([ 0.19507396, -0.98078853,  0.        ])]"
989,26,56,-48,0.00342809561518,"[35, 'NewGudkova', 61326, array([ 0.66990291, -3.40423802, -0.00958285]), array([ 0.19507396, -0.98078853,  0.        ])]"
1717,36,76,-32,0.00590037059578,"[35, 'NewGudkova', 84834, array([ 0.58826071, -3.04817952,  0.00485842]), array([ 0.19507396, -0.98078853,  0.        ])]"
569,16,48,-60,0.00600142230516,"[35, 'NewGudkova', 38420, array([ 0.70028771, -3.54898309,  0.02100684]), array([ 0.19507396, -0.98078853,  0.        ])]"
1314,32,64,-40,0.00828054503287,"[35, 'NewGudkova', 75230, array([ 0.64211573, -3.22077637,  0.02715441]), array([ 0.19507396, -0.98078853,  0.        ])]"
278,8,44,-68,0.00905136427218,"[35, 'NewGudkova', 20216, array([ 0.72841176, -3.53153344, -0.02036188]), array([ 0.19507396, -0.98078853,  0.        ])]"
3454,178,50,-66,0.00914026657451,"[35, 'NewGudkova', 403017, array([ 0.71894258, -3.52171772, -0.02739506]), array([ 0.19507396, -0.98078853,  0.        ])]"
1087,28,58,-46,0.0092422527391,"[35, 'NewGudkova', 65927, array([ 0.65995903, -3.36048048,  0.03055519]), array([ 0.19507396, -0.98078853,  0.        ])]"
896,24,54,-50,0.00983703725947,"[35, 'NewGudkova', 56725, array([ 0.68215925, -3.42558425, -0.03435077]), array([ 0.19507396, -0.98078853,  0.        ])]"
1718,36,76,-30,0.0104341228255,"[35, 'NewGudkova', 84835, array([ 0.61605475, -2.9643222 ,  0.01800569]), array([ 0.19507396, -0.98078853,  0.        ])]"
2428,166,48,-94,0.0105545305588,"[35, 'NewGudkova', 375903, array([  7.08119157e-01,  -3.76757947e+00,   1.24111873e-03]), array([ 0.19507396, -0.98078853,  0.        ])]"
651,18,50,-58,0.0113236879813,"[35, 'NewGudkova', 43021, array([  6.77223083e-01,  -3.61857245e+00,  -8.89481086e-04]), array([ 0.19507396, -0.98078853,  0.        ])]"
2925,172,48,-80,0.0122644278223,"[35, 'NewGudkova', 389410, array([ 0.70265589, -3.77218838,  0.00580553]), array([ 0.19507396, -0.98078853,  0.        ])]"
2748,170,48,-84,0.0123565341482,"[35, 'NewGudkova', 384908, array([ 0.70681706, -3.76678668, -0.02269509]), array([ 0.19507396, -0.98078853,  0.        ])]"
2577,168,48,-90,0.0127136861459,"[35, 'NewGudkova', 380405, array([ 0.70913475, -3.76680683,  0.02882131]), array([ 0.19507396, -0.98078853,  0.        ])]"
1737,36,78,-30,0.0128967769541,"[35, 'NewGudkova', 84935, array([ 0.5910819 , -3.00399449, -0.03898507]), array([ 0.19507396, -0.98078853,  0.        ])]"
3286,176,50,-72,0.0129529308679,"[35, 'NewGudkova', 398514, array([ 0.73525502, -3.51271978,  0.02954522]), array([ 0.19507396, -0.98078853,  0.        ])]"
3112,174,50,-76,0.0135110145572,"[35, 'NewGudkova', 394012, array([ 0.74371164, -3.49328747,  0.00518885]), array([ 0.19507396, -0.98078853,  0.        ])]"
2308,164,48,-98,0.0135574536079,"[35, 'NewGudkova', 371401, array([ 0.70495508, -3.7726222 , -0.02691754]), array([ 0.19507396, -0.98078853,  0.        ])]"
1190,30,60,-42,0.0136575197739,"[35, 'NewGudkova', 70529, array([ 0.67659445, -3.20255356,  0.02209643]), array([ 0.19507396, -0.98078853,  0.        ])]"
1479,34,70,-36,0.0136981004825,"[35, 'NewGudkova', 80032, array([ 0.61098445, -3.16791307, -0.04003067]), array([ 0.19507396, -0.98078853,  0.        ])]"
1738,36,78,-28,0.013798572503,"[35, 'NewGudkova', 84936, array([ 0.61871986, -2.92185995, -0.01844148]), array([ 0.19507396, -0.98078853,  0.        ])]"
807,22,52,-52,0.0140819421819,"[35, 'NewGudkova', 52124, array([ 0.69682849, -3.42274396, -0.04659967]), array([ 0.19507396, -0.98078853,  0.        ])]"
1459,34,68,-36,0.0141749561734,"[35, 'NewGudkova', 79932, array([ 0.63847056, -3.09893434,  0.03926226]), array([ 0.19507396, -0.98078853,  0.        ])]"
213,6,44,-70,0.014616591963,"[35, 'NewGudkova', 15715, array([ 0.71719362, -3.62321135, -0.05388454]), array([ 0.19507396, -0.98078853,  0.        ])]"
1315,32,64,-38,0.0153809381462,"[35, 'NewGudkova', 75231, array([ 0.66770643, -3.12474207, -0.01900256]), array([ 0.19507396, -0.98078853,  0.        ])]"
498,14,48,-62,0.0159999386918,"[35, 'NewGudkova', 33919, array([ 0.68383757, -3.67845961, -0.03723893]), array([ 0.19507396, -0.98078853,  0.        ])]"
353,10,46,-66,0.0164535544822,"[35, 'NewGudkova', 24817, array([ 0.69723246, -3.68052241, -0.05132162]), array([ 0.19507396, -0.98078853,  0.        ])]"
1203,30,62,-44,0.0164657686353,"[35, 'NewGudkova', 70628, array([ 0.62023104, -3.40727754, -0.00869838]), array([ 0.19507396, -0.98078853,  0.        ])]"
490,14,46,-62,0.016567757827,"[35, 'NewGudkova', 33819, array([ 0.72546503, -3.45050456,  0.04400393]), array([ 0.19507396, -0.98078853,  0.        ])]"
