Index,Strike,Dip,Rake,Misfit,Extra
159,20,0,82,0.0328206964538,"[35, 'NewGudkova', 268, array([-0.89785397, -2.91489234,  0.07760167]), array([-0.31413278, -0.94937906,  0.        ])]"
219,28,0,90,0.0328206964538,"[35, 'NewGudkova', 374, array([-0.89785397, -2.91489234,  0.07760167]), array([-0.31413278, -0.94937906,  0.        ])]"
32,4,0,66,0.0328206964538,"[35, 'NewGudkova', 56, array([-0.89785397, -2.91489234,  0.07760167]), array([-0.31413278, -0.94937906,  0.        ])]"
3,0,0,62,0.0328206964538,"[35, 'NewGudkova', 3, array([-0.89785397, -2.91489234,  0.07760167]), array([-0.31413278, -0.94937906,  0.        ])]"
127,16,0,78,0.0328206964538,"[35, 'NewGudkova', 215, array([-0.89785397, -2.91489234,  0.07760167]), array([-0.31413278, -0.94937906,  0.        ])]"
95,12,0,74,0.0328206964538,"[35, 'NewGudkova', 162, array([-0.89785397, -2.91489234,  0.07760167]), array([-0.31413278, -0.94937906,  0.        ])]"
63,8,0,70,0.0328206964538,"[35, 'NewGudkova', 109, array([-0.89785397, -2.91489234,  0.07760167]), array([-0.31413278, -0.94937906,  0.        ])]"
268,36,0,98,0.0328206964538,"[35, 'NewGudkova', 480, array([-0.89785397, -2.91489234,  0.07760167]), array([-0.31413278, -0.94937906,  0.        ])]"
190,24,0,86,0.0328206964538,"[35, 'NewGudkova', 321, array([-0.89785397, -2.91489234,  0.07760167]), array([-0.31413278, -0.94937906,  0.        ])]"
245,32,0,94,0.0328206964538,"[35, 'NewGudkova', 427, array([-0.89785397, -2.91489234,  0.07760167]), array([-0.31413278, -0.94937906,  0.        ])]"
62,8,0,66,0.0427408743202,"[35, 'NewGudkova', 108, array([-0.89743817, -2.91354244, -0.1139898 ]), array([-0.31413278, -0.94937906,  0.        ])]"
126,16,0,74,0.0427408743202,"[35, 'NewGudkova', 214, array([-0.89743817, -2.91354244, -0.1139898 ]), array([-0.31413278, -0.94937906,  0.        ])]"
