Model,Depth,173a Pe,173a Se,235b Pe,235b Se,325a Pe,325a Se,325ab Pe,325ab Se,173ab Pe,173ab Se
DWAK,65,46.4653174992,48.4836947517,46.8401214398,48.7443439041,43.7751234422,46.4392142045,43.7751234422,46.4392142045,46.4653174992,48.4836947517
DWAK,45,46.571242032,48.5359047539,46.9284747649,48.9040928176,43.8628213067,46.5251231702,43.8628213067,46.5251231702,46.571242032,48.5359047539
DWAK,35,46.6225226283,48.5549174572,46.96936961,48.9537938397,43.9042210258,46.5673506771,43.9042210258,46.5673506771,46.6225226283,48.5549174572
DWAK,25,46.6726052602,48.5656347852,47.0062911966,49.0019495736,43.9433301544,46.6090604744,43.9433301544,46.6090604744,46.6726052602,48.5656347852
DWAK,15,46.7214123418,48.6107177535,47.0361824068,49.0455782233,43.9787506481,46.6506549544,43.9787506481,46.6506549544,46.7214123418,48.6107177535
DWAK,10,38.566721247,40.001716636,38.792168224,40.3134129541,36.4805791025,38.533788151,36.4805791025,38.533788151,38.566721247,40.001716636
DWAK,5,38.5799671468,40.018815128,38.7965618278,40.3214676454,36.4874496235,38.5453724577,36.4874496235,38.5453724577,38.5799671468,40.018815128
EH45Tcold,45,56.5768126458,57.9661104254,56.7990923944,0.0,54.2006399484,57.0629054702,54.2006399484,57.0629054702,56.5768126458,57.9661104254
EH45Tcold,35,56.6420415825,57.9865100305,56.8368032347,0.0,54.2725384432,57.0960305747,54.2725384432,57.0960305747,56.6420415825,57.9865100305
EH45Tcold,25,56.6795375705,58.0126270014,56.8740725291,0.0,54.3451102356,57.130842986,54.3451102356,57.130842986,56.6795375705,58.0126270014
EH45Tcold,15,56.7164640116,0.0,56.9112063152,0.0,54.4196105862,57.1927668637,54.4196105862,57.1927668637,56.7164640116,0.0
EH45Tcold,10,56.7347264131,0.0,56.9298232158,0.0,54.4587105184,57.2049849757,54.4587105184,57.2049849757,56.7347264131,0.0
EH45Tcold,5,56.7528630341,0.0,56.9485700342,29.2398578875,54.5141305369,57.2171399211,54.5141305369,57.2171399211,56.7528630341,0.0
EH45TcoldCrust1b,85,59.2574298308,60.9930361669,59.5525961335,30.2991942871,56.3948876418,59.8750533304,56.3948876418,59.8750533304,,
EH45TcoldCrust1b,75,58.6761585216,60.3694476941,58.9535742893,30.0746867834,55.9122921746,59.2604646139,55.9122921746,59.2604646139,,
EH45TcoldCrust1b,65,58.1025359174,59.7222409229,58.3615767792,29.850610147,55.4323764596,58.6554194188,55.4323764596,58.6554194188,,
EH45TcoldCrust1b,55,57.5402518001,29.6228844093,57.7768069632,29.626884406,54.9562643904,58.0601789103,54.9562643904,58.0601789103,,
EH45TcoldCrust1b,45,44.5311664674,24.2395868823,44.6646588557,24.242719754,42.8975686425,44.8412663053,42.8975686425,44.8412663053,,
EH45TcoldCrust1b,35,43.8968425708,23.9409888616,44.0273012718,23.9440563032,42.3227473018,44.216973474,42.3227473018,44.216973474,,
EH45TcoldCrust1b,25,43.2682828844,23.6430550817,43.3958741487,23.646058748,41.7594576327,43.5762200206,41.7594576327,43.5762200206,,
EH45TcoldCrust1b,15,42.6452864023,23.3458523364,42.7702392988,23.3487938246,41.1814155454,42.9418355552,41.1814155454,42.9418355552,,
EH45TcoldCrust1b,10,42.3357663127,23.1974145104,42.4594950145,23.200325474,40.8937418639,42.6267257802,40.8937418639,42.6267257802,,
EH45TcoldCrust1b,5,42.0276612725,23.0492136467,42.1502378101,23.0520944713,40.6070737567,42.3132454138,40.6070737567,42.3132454138,,
NewGudkova,45,62.2325774317,63.4233704462,62.9579331526,63.9743904037,56.7719979021,59.1124887315,56.7719979021,59.1124887315,62.2325774317,63.4233704462
NewGudkova,35,62.631608935,64.0344175574,63.3653933247,64.5966097054,57.101920704,59.6389581368,57.101920704,59.6389581368,62.631608935,64.0344175574
NewGudkova,25,62.8148673694,64.1827646002,63.5495507515,64.7440350268,57.2587975013,59.7800964867,57.2587975013,59.7800964867,62.8148673694,64.1827646002
NewGudkova,15,63.1695449477,64.660126921,63.9124244948,65.2279975968,57.5521976695,60.1918751836,57.5521976695,60.1918751836,63.1695449477,64.660126921
NewGudkova,10,54.0597398838,53.8650157676,54.573644725,54.2293563575,49.9685162742,50.8460634852,49.9685162742,50.8460634852,54.0597398838,53.8650157676
NewGudkova,5,23.0774354327,21.0749816382,23.2348596394,21.1768216829,21.7608349966,20.1993589639,21.7608349966,20.1993589639,23.0774354327,21.0749816382
LFAK,55,48.9851082036,51.3401217681,49.3011263681,51.4099757505,46.5575670598,50.2901938316,46.5575670598,50.2901938316,48.9851082036,51.3401217681
LFAK,45,49.0336857397,51.3561161818,49.3545689805,0.0,46.6363733347,50.31665187,46.6363733347,50.31665187,49.0336857397,51.3561161818
LFAK,35,49.0813962608,51.3707204679,49.4096527323,0.0,46.6836193914,50.3428855855,46.6836193914,50.3428855855,49.0813962608,51.3707204679
LFAK,25,49.1281626704,51.383668764,49.5540002813,0.0,46.730207275,50.3689261527,46.730207275,50.3689261527,49.1281626704,51.383668764
LFAK,15,49.1738129118,51.3945753547,49.5814595689,0.0,46.7761315885,50.3949591782,46.7761315885,50.3949591782,49.1738129118,51.3945753547
LFAK,10,41.2224406536,42.8970522482,41.52342084,0.0,39.3911850472,42.1581466685,39.3911850472,42.1581466685,41.2224406536,42.8970522482
LFAK,5,41.2350042656,42.8992331835,41.5307897182,0.0,39.4045786872,42.1652737436,39.4045786872,42.1652737436,41.2350042656,42.8992331835
MAAK,65,45.3933025847,47.9279056686,45.5848646826,48.0450821615,42.4587764849,46.8150872989,42.4587764849,46.8150872989,45.3933025847,47.9279056686
MAAK,55,45.420350722,47.9443019996,45.6183207525,48.0646540184,42.5219735125,46.8402574191,42.5219735125,46.8402574191,45.420350722,47.9443019996
MAAK,45,45.4463809432,47.9595467402,45.6511298687,48.0837394802,42.5854656255,46.8650450712,42.5854656255,46.8650450712,45.4463809432,47.9595467402
MAAK,35,45.4708933221,47.9730556502,45.683115777,48.1023180722,42.649647185,46.8894356728,42.649647185,46.8894356728,45.4708933221,47.9730556502
MAAK,25,45.4935446954,47.9818986187,45.7148841207,48.1203536016,42.7154967052,46.9134037636,42.7154967052,46.9134037636,45.4935446954,47.9818986187
MAAK,15,45.513304181,48.0017550098,45.7460408549,48.1377770235,42.788059446,46.9369011843,42.788059446,46.9369011843,45.513304181,48.0017550098
MAAK,10,37.7528597617,39.6757480149,37.9352827354,39.7762478613,35.6877317,38.8785076993,35.6877317,38.8785076993,37.7528597617,39.6757480149
MAAK,5,37.75617137,39.6811293054,37.9440331726,39.7808222896,35.7039621435,38.8849581819,35.7039621435,38.8849581819,37.75617137,39.6811293054
TAYAK,75,45.4050464506,47.2884849863,45.6588420331,47.5043417385,42.7627122554,45.5088587635,42.7627122554,45.5088587635,45.4050464506,47.2884849863
TAYAK,65,45.4447147433,47.3206415134,45.6783229463,47.5296080539,42.7954125256,45.5416554974,42.7954125256,45.5416554974,45.4447147433,47.3206415134
TAYAK,55,45.4829596398,47.3522668755,45.7330536336,47.5533663319,42.8240650841,45.5739082457,42.8240650841,45.5739082457,45.4829596398,47.3522668755
TAYAK,45,45.5195994187,47.3835139943,45.7871287184,47.5755337286,42.8435161063,45.6053114485,42.8435161063,45.6053114485,45.5195994187,47.3835139943
TAYAK,35,45.5543746303,47.4153238074,45.8405753759,47.5958384108,42.8837316601,45.6357926278,42.8837316601,45.6357926278,45.5543746303,47.4153238074
TAYAK,25,45.5868952661,47.4453434084,45.8934156729,47.6138943638,42.9368286156,45.6651641842,42.9368286156,45.6651641842,45.5868952661,47.4453434084
TAYAK,15,45.6167322288,47.4715034906,45.9456765205,47.6291256826,42.9894274246,45.693085451,42.9894274246,45.693085451,45.6167322288,47.4715034906
TAYAK,10,37.2638163932,38.6621004918,37.5175887896,38.7729712053,35.2983371079,37.3480617728,35.2983371079,37.3480617728,37.2638163932,38.6621004918
TAYAK,5,37.2706598011,38.6687805425,37.5317775192,38.7758394446,35.3129734924,37.3550427137,35.3129734924,37.3550427137,37.2706598011,38.6687805425
