Strike,Dip,Rake,P,SV,SH,SH/SV,P/SV,P/SH
40,70,0,0.672884353708,2.47003901677,1.9995934266,0.809539206883,0.272418512073,0.33651058498
40,80,-100,0.892115060231,1.42192845605,1.23104393011,0.865756589137,0.627397993503,0.724681742392
40,80,-90,0.801528386815,1.909588385,1.5209381265,0.79647432842,0.419738825976,0.52699605122
40,80,90,0.801528386815,1.909588385,1.5209381265,0.79647432842,0.419738825976,0.52699605122
40,80,100,0.686587678959,2.33922643716,1.76461938755,0.754360227602,0.293510567447,0.389085421934
45,60,0,0.779140682289,2.27698169116,1.67380630191,0.735098709143,0.342181355834,0.465490350585
45,80,100,0.644595868404,2.24590723387,1.85176272052,0.824505434861,0.287009124279,0.348098523241
50,45,0,0.881973958359,1.74033668258,1.52522903204,0.876398829777,0.506783524812,0.578256733798
115,20,-90,0.564205537285,2.22381866567,1.74811879875,0.786088733643,0.253710226466,0.322750111543
115,20,90,0.564205537285,2.22381866567,1.74811879875,0.786088733643,0.253710226466,0.322750111543
125,20,100,0.516174175424,2.28382260652,1.66936018244,0.730950021108,0.226013252496,0.309204796456
125,45,45,0.429963245852,4.06034353253,3.23661536311,0.797128454077,0.105893317254,0.132843479257
125,45,45,0.429963245852,4.06034353253,3.23661536311,0.797128454077,0.105893317254,0.132843479257
125,80,0,0.310572218978,2.59859209321,2.04631795938,0.787471787022,0.119515571447,0.151771242369
130,45,45,0.360516099152,4.29376936579,3.11529631839,0.725538810541,0.083962613834,0.115724496904
130,45,45,0.360516099152,4.29376936579,3.11529631839,0.725538810541,0.083962613834,0.115724496904
130,60,0,0.0320071944599,2.54934801892,2.06517762477,0.810080698846,0.0125550510257,0.0154985189051
140,45,0,0.116638552302,2.20378985302,1.71648128491,0.778877025212,0.0529263496437,0.0679521258562
140,60,-100,0.202077068633,4.00607424735,3.21648842859,0.802902849521,0.0504426668493,0.0628253678255
140,60,-90,0.187086472514,3.61204759172,3.0788621905,0.852386939078,0.0517951294282,0.0607648088605
140,60,90,0.187086472514,3.61204759172,3.0788621905,0.852386939078,0.0517951294282,0.0607648088605
140,70,45,0.479140732563,3.73894451119,2.74586261643,0.734395123599,0.128148660973,0.174495522717
140,70,45,0.479140732563,3.73894451119,2.74586261643,0.734395123599,0.128148660973,0.174495522717
140,80,45,0.711275158964,2.81984051071,2.26971169075,0.804907824444,0.252239499455,0.313376875954
140,80,45,0.711275158964,2.81984051071,2.26971169075,0.804907824444,0.252239499455,0.313376875954
140,90,45,0.881973958359,1.74033668258,1.52522903204,0.876398829777,0.506783524812,0.578256733798
140,90,45,0.881973958359,1.74033668258,1.52522903204,0.876398829777,0.506783524812,0.578256733798
150,60,100,0.285839167352,3.53163931694,2.59263149341,0.734115593563,0.080936681722,0.110250595998
150,70,-100,0.601440670286,3.19701042319,2.62305980456,0.820472709607,0.188125964784,0.229289728447
155,70,-90,0.624432315058,2.93102649413,2.42528901575,0.827453801804,0.213042194027,0.25746717649
155,70,90,0.624432315058,2.93102649413,2.42528901575,0.827453801804,0.213042194027,0.25746717649
155,80,0,0.327310803442,2.29093827676,1.80032522433,0.785846237151,0.14287194324,0.181806486416
160,70,0,0.204681115639,1.90946345717,1.58533638936,0.830252280244,0.10719299962,0.129108949377
160,70,100,0.628097931203,2.66008019873,2.28466043974,0.858869007344,0.236119922814,0.274919598676
160,80,-100,0.887755423645,1.7084827022,1.42368498341,0.833303715386,0.519616278528,0.623561696575
40,20,0,0.745159455976,0.666856300062,3.19480197982,4.79084021478,1.11742133336,0.233241202642
45,20,0,0.81250478191,0.664974968173,2.74646478282,4.13017769731,1.2218576951,0.295836592187
160,90,100,0.850424621968,0.765087981801,1.93997047558,2.53561749985,1.11153833572,0.438369878651
40,70,-90,0.716980066693,3.22249372013,0.505960118335,0.157008876441,0.22249230843,1.41706834336
40,70,90,0.716980066693,3.22249372013,0.505960118335,0.157008876441,0.22249230843,1.41706834336
45,80,45,0.976383110257,0.64483245685,0.66936135546,1.03803918111,1.5141655788,1.45867863792
45,80,45,0.976383110257,0.64483245685,0.66936135546,1.03803918111,1.5141655788,1.45867863792
50,60,-100,0.694822066319,3.24825817748,0.527136582062,0.162282846147,0.213906046981,1.31810633138
50,60,-90,0.562923847224,3.69641033398,0.371868470929,0.100602594769,0.152289328392,1.51377137679
50,60,90,0.562923847224,3.69641033398,0.371868470929,0.100602594769,0.152289328392,1.51377137679
50,70,0,0.728962450807,2.51842747035,0.489847642839,0.19450536043,0.289451437212,1.48814118321
130,20,-100,0.752432802945,2.89383794087,0.561738285099,0.194115322481,0.26001207335,1.33947217575
