Strike,Dip,Rake,P,SV,SH,SH/SV,P/SV,P/SH
1,20,45,0.780600758516,2.8220497204,1.01076690022,0.358167644217,0.276607726956,0.772285636131
1,20,45,0.780600758516,2.8220497204,1.01076690022,0.358167644217,0.276607726956,0.772285636131
2,20,45,0.77567635982,2.82540542195,1.1036463188,0.390615205246,0.274536303283,0.70283055958
2,20,45,0.77567635982,2.82540542195,1.1036463188,0.390615205246,0.274536303283,0.70283055958
2,45,45,0.264154535067,4.40118067803,1.65591712081,0.376243840449,0.0600190163485,0.15952159184
2,45,45,0.264154535067,4.40118067803,1.65591712081,0.376243840449,0.0600190163485,0.15952159184
3,20,45,0.770336280758,2.82766074667,1.19634631562,0.423086933972,0.272428820064,0.643907429395
3,20,45,0.770336280758,2.82766074667,1.19634631562,0.423086933972,0.272428820064,0.643907429395
3,45,45,0.256323715677,4.39853105854,1.74739986012,0.397268960219,0.0582748450028,0.146688643811
3,45,45,0.256323715677,4.39853105854,1.74739986012,0.397268960219,0.0582748450028,0.146688643811
45,20,-90,0.640357439653,3.40876616833,1.36023069057,0.399039013941,0.187856076959,0.470771203806
45,20,90,0.640357439653,3.40876616833,1.36023069057,0.399039013941,0.187856076959,0.470771203806
45,45,-100,0.203274096704,4.75708155548,1.728966906,0.363451180275,0.042730841238,0.117569686266
45,80,-90,0.949429333973,1.47713099986,0.628335325656,0.425375491892,0.642752290799,1.51102332657
45,80,90,0.949429333973,1.47713099986,0.628335325656,0.425375491892,0.642752290799,1.51102332657
50,45,-100,0.243400488205,4.57880254829,1.92050564367,0.419434038358,0.0531581097106,0.12673771046
90,45,100,0.289352458777,3.47763761695,1.51093899024,0.43447281076,0.083203740771,0.191505057878
140,45,-90,0.5025874033,2.91191413624,1.17292560562,0.402802263645,0.17259691728,0.428490435278
140,45,90,0.5025874033,2.91191413624,1.17292560562,0.402802263645,0.17259691728,0.428490435278
150,45,100,0.378518480463,2.96112693539,1.09312744088,0.36915926427,0.127829197708,0.346271135741
160,45,100,0.325397470339,3.34110470935,1.37203517962,0.41065315187,0.0973921797268,0.237164086732
160,80,0,0.299780480766,2.48915989231,0.980839830002,0.394044526039,0.120434401057,0.305636528612
40,80,100,0.914801723203,1.64315863004,1.10087489364,0.669974811628,0.556733663129,0.830977006099
45,80,100,0.888069899806,1.68478877564,1.25362502598,0.744084388566,0.527110527236,0.708401540652
50,80,100,0.857783868519,1.7098435509,1.39192665899,0.81406667777,0.501673891783,0.616256512498
90,45,0,0.880100642428,1.73356480911,0.0112271517627,0.00647633806573,0.507682572813,78.3903754963
90,70,-100,0.767157019488,1.56882117159,1.68857896777,1.07633616779,0.489002209671,0.454321079517
150,20,45,0.949469449386,1.81127984744,0.642585625598,0.354768826311,0.524198097123,1.47757654632
150,20,45,0.949469449386,1.81127984744,0.642585625598,0.354768826311,0.524198097123,1.47757654632
1,80,100,0.957960935071,0.961530792409,0.725673176486,0.754706123002,0.996287318756,1.32009968966
2,80,100,0.961404300766,0.980983931146,0.665081367752,0.67797376352,0.980040824565,1.44554387986
40,0,-90,0.977027867435,0.254932156936,0.683494847292,2.6810852562,3.83250147481,1.42945900954
40,0,90,0.977027867435,0.254932156936,0.683494847292,2.6810852562,3.83250147481,1.42945900954
40,70,-100,0.854707610786,2.8847566682,0.654879674768,0.227013835166,0.29628412691,1.3051368728
40,90,-90,0.977027867435,0.254932156936,0.683494847292,2.6810852562,3.83250147481,1.42945900954
40,90,90,0.977027867435,0.254932156936,0.683494847292,2.6810852562,3.83250147481,1.42945900954
50,0,100,0.977027867435,0.254932156936,0.683494847292,2.6810852562,3.83250147481,1.42945900954
50,60,100,0.527532945348,4.29959902911,0.360875719439,0.0839324125333,0.122693521367,1.46181335272
90,60,45,0.986611613676,0.487150111178,0.687977697229,1.41224990294,2.02527227447,1.4340749964
90,60,45,0.986611613676,0.487150111178,0.687977697229,1.41224990294,2.02527227447,1.4340749964
150,20,45,0.949469449386,1.81127984744,0.642585625598,0.354768826311,0.524198097123,1.47757654632
150,20,45,0.949469449386,1.81127984744,0.642585625598,0.354768826311,0.524198097123,1.47757654632
160,20,-100,0.818019736227,2.32737350702,0.609411640691,0.261845225467,0.351477635094,1.34231065114
