Strike,Dip,Rake,P,SV,SH,SH/SV,P/SV,P/SH,Plunge P,Plunge S,Ratio1,Ratio2,Ratio3,Sum
0,10,50,0.930057607243,1.47804565993,0.547319417055,0.370299397301,0.629248224502,1.69929583761,42.7627122554,45.5088587635,0.000757518441313,0.0066657235375,0.0157605227531,0.023183764732
0,10,70,0.893518435269,1.64649336369,1.00417920617,0.609889616514,0.542679645709,0.889799778541,42.7627122554,45.5088587635,0.0273880222508,0.000295878029532,0.0346701838553,0.0623540841357
0,15,50,0.873786481298,2.21761235049,0.519220318821,0.234134842686,0.394021291008,1.68288190894,42.7627122554,45.5088587635,0.0231570384511,0.0109542993913,0.0147108561551,0.0488221939974
0,20,50,0.799433994096,2.89830440218,0.531903309822,0.183522237837,0.275828168185,1.50296863985,42.7627122554,45.5088587635,0.0402659452739,0.04446553091,0.00494991555281,0.0896813917367
0,70,-70,0.923970111304,2.28706541451,0.703401499684,0.307556353754,0.403998112796,1.31357426977,42.7627122554,45.5088587635,0.00702102562979,0.00922680077373,4.57476827485e-05,0.0162935740863
0,75,-90,0.845874190746,2.55860703181,0.830054755996,0.324416663316,0.330599494268,1.01905830264,42.7627122554,45.5088587635,0.00468705792126,0.0258297677265,0.0140453733076,0.0445621989554
0,75,90,0.845874190746,2.55860703181,0.830054755996,0.324416663316,0.330599494268,1.01905830264,42.7627122554,45.5088587635,0.00468705792126,0.0258297677265,0.0140453733076,0.0445621989554
0,80,-80,0.948842654184,1.33933629227,0.772474403682,0.576759106834,0.708442427535,1.22831598,42.7627122554,45.5088587635,0.0198778977388,0.0185954334667,0.000668077384516,0.03914140859
0,85,-40,0.905103107112,1.24188419262,0.758418103131,0.610699538359,0.728814419643,1.19340915436,42.7627122554,45.5088587635,0.0275836937367,0.0224398579831,0.00160017261409,0.0516237243339
5,10,50,0.912895431228,1.5003591424,0.986328956329,0.65739523855,0.608451273718,0.925548647204,42.7627122554,45.5088587635,0.0397564262511,0.00443635986271,0.0277548463082,0.071947632422
5,10,70,0.910143498832,1.69277188524,0.579244770345,0.342187140154,0.537664588339,1.5712588968,42.7627122554,45.5088587635,0.00275295269212,0.000177391484048,0.00822067438699,0.0111510185632
5,15,50,0.856701234241,2.2484915491,0.995074067123,0.442551837707,0.381011542865,0.86094217762,42.7627122554,45.5088587635,0.00118862933737,0.0134499420412,0.0410216023115,0.0556601736901
5,15,70,0.831434347902,2.52867138583,0.638333132703,0.252438152415,0.328802845859,1.3025085262,42.7627122554,45.5088587635,0.018196449671,0.0263532742466,7.19228823814e-06,0.0445569162058
5,70,-70,0.90866894718,2.50245665253,1.002775026,0.400716242172,0.363110764081,0.906154345312,42.7627122554,45.5088587635,1.08705014741e-06,0.0173443092738,0.0313804780077,0.0487258743316
5,75,-90,0.86390787524,2.66208690345,0.666218188627,0.250261622851,0.324522792296,1.29673414804,42.7627122554,45.5088587635,0.0187529498976,0.0276238641255,2.85632559213e-07,0.0463770996557
5,75,-70,0.963930043837,1.79747819388,0.563567311271,0.313532210399,0.536268004318,1.71040801083,42.7627122554,45.5088587635,0.00613736290913,0.000149690702724,0.0164828250833,0.0227698786951
5,75,90,0.86390787524,2.66208690345,0.666218188627,0.250261622851,0.324522792296,1.29673414804,42.7627122554,45.5088587635,0.0187529498976,0.0276238641255,2.85632559213e-07,0.0463770996557
5,80,-90,0.905709382455,1.85270180023,1.02937710247,0.555608626463,0.488858694012,0.879861598125,42.7627122554,45.5088587635,0.0156181922342,0.000640575873124,0.0367770439728,0.0530358120801
5,80,-80,0.964186362537,1.45944818022,0.454428398506,0.311370012765,0.660651317123,2.12175639926,42.7627122554,45.5088587635,0.00644989025935,0.0107790193449,0.0470953664479,0.0643242760522
5,80,90,0.905709382455,1.85270180023,1.02937710247,0.555608626463,0.488858694012,0.879861598125,42.7627122554,45.5088587635,0.0156181922342,0.000640575873124,0.0367770439728,0.0530358120801
10,10,-100,0.891285513879,1.75852598582,0.92907860665,0.528328050958,0.506836703616,0.959321964255,42.7627122554,45.5088587635,0.0107923202186,0.000118864575976,0.0221147833618,0.0330259681564
10,10,60,0.915863154447,1.64278127654,0.648845395336,0.394967610479,0.55750766552,1.41152755499,42.7627122554,45.5088587635,3.60683767668e-05,0.000817071921792,0.00168673528054,0.0025398755791
10,10,80,0.891285513879,1.75852598582,0.92907860665,0.528328050958,0.506836703616,0.959321964255,42.7627122554,45.5088587635,0.0107923202186,0.000118864575976,0.0221147833618,0.0330259681564
10,15,-100,0.806148846715,2.6224385292,0.99710753932,0.380221510711,0.30740428717,0.808487364628,42.7627122554,45.5088587635,0.000354408314071,0.0330398621815,0.0545014628447,0.0878957333402
10,15,60,0.847425689728,2.4556372843,0.656992961221,0.267544789868,0.345093998672,1.28985505134,42.7627122554,45.5088587635,0.0145791750561,0.0218173448518,4.1594926183e-06,0.0364006794005
10,15,80,0.806148846715,2.6224385292,0.99710753932,0.380221510711,0.30740428717,0.808487364628,42.7627122554,45.5088587635,0.000354408314071,0.0330398621815,0.0545014628447,0.0878957333402
10,20,60,0.757781016796,3.19878182856,0.695468579975,0.217416697121,0.236896749266,1.08959777424,42.7627122554,45.5088587635,0.0282513440389,0.0612046927706,0.0072420694344,0.0966981062439
10,75,-90,0.878254290992,2.75093729352,0.514716582854,0.187105894441,0.319256383292,1.70628714956,42.7627122554,45.5088587635,0.0388874809787,0.0292328778159,0.0162138963157,0.0843342551102
10,75,-70,0.951260115022,1.99694148597,0.879612185727,0.440479699533,0.476358532137,1.08145399809,42.7627122554,45.5088587635,0.00107206507575,0.00125658281384,0.0078923392702,0.0102209871598
10,75,90,0.878254290992,2.75093729352,0.514716582854,0.187105894441,0.319256383292,1.70628714956,42.7627122554,45.5088587635,0.0388874809787,0.0292328778159,0.0162138963157,0.0843342551102
10,80,-90,0.926896667411,1.91462549044,0.814457578471,0.425387409986,0.484113823847,1.13805395384,42.7627122554,45.5088587635,0.000401299041989,0.00084951347338,0.00402865704965,0.00527946956502
10,80,-70,0.989100690646,1.1985280739,0.509341739236,0.424972723066,0.825262847143,1.94191956883,42.7627122554,45.5088587635,0.000387351668987,0.0440798079464,0.0330900263838,0.0775571859992
10,80,90,0.926896667411,1.91462549044,0.814457578471,0.425387409986,0.484113823847,1.13805395384,42.7627122554,45.5088587635,0.000401299041989,0.00084951347338,0.00402865704965,0.00527946956502
15,10,-100,0.906375687803,1.79199903184,0.495869487816,0.276713033325,0.505790277617,1.82785129974,42.7627122554,45.5088587635,0.0125906769779,0.000137719861575,0.0245986007875,0.037326997627
15,10,60,0.896698626099,1.65050254429,1.08850063379,0.659496489452,0.543288242238,0.823792470358,42.7627122554,45.5088587635,0.0403430934989,0.000312268669975,0.0502966499435,0.0909520121124
15,10,80,0.906375687803,1.79199903184,0.495869487816,0.276713033325,0.505790277617,1.82785129974,42.7627122554,45.5088587635,0.0125906769779,0.000137719861575,0.0245986007875,0.037326997627
15,15,-100,0.822188794676,2.67162270596,0.537118141733,0.201045656834,0.307748842245,1.53074106196,42.7627122554,45.5088587635,0.0337697571741,0.0329255283434,0.00620465792097,0.0728999434385
15,15,80,0.822188794676,2.67162270596,0.537118141733,0.201045656834,0.307748842245,1.53074106196,42.7627122554,45.5088587635,0.0337697571741,0.0329255283434,0.00620465792097,0.0728999434385
15,70,-80,0.847421614417,3.31624751017,0.671512709803,0.20249173433,0.255536298729,1.26195915885,42.7627122554,45.5088587635,0.0332610001023,0.0528181670459,0.000160148836551,0.0862393159848
15,75,-70,0.932169918605,2.19811884036,1.15178535453,0.523986844287,0.424076215303,0.809326073597,42.7627122554,45.5088587635,0.0100974635534,0.00622782525164,0.0542650062743,0.0705902950794
15,80,-90,0.943223274107,1.96448968747,0.603282528966,0.30709376222,0.480136536284,1.56348514803,42.7627122554,45.5088587635,0.00709203677618,0.00104804781172,0.00781792068357,0.0159580052715
15,80,-70,0.977131099718,1.3821694847,0.847157852228,0.61291893766,0.706954617748,1.15342270292,42.7627122554,45.5088587635,0.0281227239499,0.0183260533463,0.00322922916344,0.0496780064596
15,80,90,0.943223274107,1.96448968747,0.603282528966,0.30709376222,0.480136536284,1.56348514803,42.7627122554,45.5088587635,0.00709203677618,0.00104804781172,0.00781792068357,0.0159580052715
20,10,-90,0.892568131349,1.81463078479,0.850067457563,0.468452020481,0.491873134099,1.04999682485,42.7627122554,45.5088587635,0.0031277107569,0.000523471505437,0.0107263725038,0.0143775547661
