Model,Depth,173a Pa,173a Sa,235b Pa,235b Sa,325a Pa,325a Sa,325ab Pa,325ab Sa,173ab Pa,173ab Sa
DWAK,65,27.8861686015,24.0292086431,28.0741209743,24.1318558987,26.5093326994,23.2088105297,26.5093326994,23.2088105297,27.8861686015,24.0292086431
DWAK,45,27.9393851752,24.0498055045,28.1182849763,24.1945454125,26.5549620661,23.2438181493,26.5549620661,23.2438181493,27.9393851752,24.0498055045
DWAK,35,27.9651206981,24.0573015692,28.1387080508,24.214014834,26.5764854212,23.2610088076,26.5764854212,23.2610088076,27.9651206981,24.0573015692
DWAK,25,27.9902374136,24.0615260001,28.1571367952,24.2328632606,26.5968078862,23.2779777503,26.5968078862,23.2779777503,27.9902374136,24.0615260001
DWAK,15,28.0146976741,24.079287995,28.1720494491,24.2499264399,26.615205187,23.2948889212,26.615205187,23.2948889212,28.0146976741,24.079287995
DWAK,10,28.0266667006,24.0913886674,28.1770447004,24.2572035785,26.6230548975,23.3032798764,26.6230548975,23.3032798764,28.0266667006,24.0913886674
DWAK,5,28.0355092625,24.1004987781,28.1799727128,24.2614812329,26.6277123304,23.3095449411,26.6277123304,23.3095449411,28.0355092625,24.1004987781
EH45Tcold,45,56.5768126458,57.9661104254,56.7990923944,0.0,54.2006399484,57.0629054702,54.2006399484,57.0629054702,56.5768126458,57.9661104254
EH45Tcold,35,56.6420415825,57.9865100305,56.8368032347,0.0,54.2725384432,57.0960305747,54.2725384432,57.0960305747,56.6420415825,57.9865100305
EH45Tcold,25,56.6795375705,58.0126270014,56.8740725291,0.0,54.3451102356,57.130842986,54.3451102356,57.130842986,56.6795375705,58.0126270014
EH45Tcold,15,56.7164640116,0.0,56.9112063152,0.0,54.4196105862,57.1927668637,54.4196105862,57.1927668637,56.7164640116,0.0
EH45Tcold,10,56.7347264131,0.0,56.9298232158,0.0,54.4587105184,57.2049849757,54.4587105184,57.2049849757,56.7347264131,0.0
EH45Tcold,5,56.7528630341,0.0,56.9485700342,57.7845069756,54.5141305369,57.2171399211,54.5141305369,57.2171399211,56.7528630341,0.0
EH45TcoldCrust1b,85,19.3565097805,18.9372490498,19.4179264611,19.6935036319,18.7347124582,18.7209752339,18.7347124582,18.7209752339,,
EH45TcoldCrust1b,75,19.3698668661,18.9501145136,19.4289957578,19.6941305331,18.7564641129,18.7300094872,18.7564641129,18.7300094872,,
EH45TcoldCrust1b,65,19.3830243718,18.9560759415,19.4395498138,19.6947177219,18.7777820908,18.7388892711,18.7777820908,18.7388892711,,
EH45TcoldCrust1b,55,19.3968399681,19.6927520428,19.4496555354,19.6952698045,18.7988997831,18.7478332482,18.7988997831,18.7478332482,,
EH45TcoldCrust1b,45,19.4108136631,19.6932561658,19.4585804261,19.6957465889,18.8186297684,18.756595853,18.8186297684,18.756595853,,
EH45TcoldCrust1b,35,19.4167079566,19.6935772759,19.4644528446,19.6960500746,18.833565064,18.7681733116,18.833565064,18.7681733116,,
EH45TcoldCrust1b,25,19.4223969421,19.6938854972,19.4701469655,19.6963412778,18.8512762192,18.7718085009,18.8512762192,18.7718085009,,
EH45TcoldCrust1b,15,19.4278928289,19.6941815961,19.4757029319,19.6966209449,18.8617412459,18.7753317173,18.8617412459,18.7753317173,,
EH45TcoldCrust1b,10,19.4305719503,19.6943253198,19.4784380346,19.6967566677,18.8668654192,18.7770536401,18.8668654192,18.7770536401,,
EH45TcoldCrust1b,5,19.4332070162,19.6944662692,19.481150614,19.6968897576,18.8719204081,18.7787502416,18.8719204081,18.7787502416,,
NewGudkova,45,25.795345193,23.3078207493,25.9778460695,23.4254874327,24.2915678746,22.3134310445,24.2915678746,22.3134310445,25.795345193,23.3078207493
NewGudkova,35,25.8417212971,23.3393225543,26.0235458776,23.4563139584,24.3377900705,22.3475654886,24.3377900705,22.3475654886,25.8417212971,23.3393225543
NewGudkova,25,25.8875324156,23.370415019,26.0685030821,23.4866143348,24.3836020527,22.3814864037,24.3836020527,22.3814864037,25.8875324156,23.370415019
NewGudkova,15,25.9324988348,23.4015042799,26.1130088754,23.5167129605,24.4286969937,22.4149813373,24.4286969937,22.4149813373,25.9324988348,23.4015042799
