Exit Angle,Plunge,Azimuth,Strike,Dip,Rake,P,SV,SH,SH/SV,P/SV,P/SH
0,90,0,90,80,90,0.342020143326,-5.26676503542,3.82091263317e-16,-7.25476190313e-17,-0.0649393206314,8.95126835292e+14
0,90,10,90,80,90,0.342020143326,-5.18675104018,0.914564150601,-0.176326980708,-0.065941114327,0.373970642848
0,90,20,90,80,90,0.342020143326,-4.9491402392,1.80133973228,-0.363970234266,-0.0691069815757,0.189869871406
0,90,30,90,80,90,0.342020143326,-4.56115231644,2.63338251771,-0.57735026919,-0.0749854684951,0.129878641263
0,90,40,90,80,90,0.342020143326,-4.0345760886,3.3854113079,-0.839099631177,-0.0847722625166,0.101027648406
0,90,50,90,80,90,0.342020143326,-3.3854113079,4.0345760886,-1.19175359259,-0.101027648406,0.0847722625166
0,90,60,90,80,90,0.342020143326,-2.63338251771,4.56115231644,-1.73205080757,-0.129878641263,0.0749854684951
0,90,70,90,80,90,0.342020143326,-1.80133973228,4.9491402392,-2.74747741945,-0.189869871406,0.0691069815757
0,90,80,90,80,90,0.342020143326,-0.914564150601,5.18675104018,-5.67128181962,-0.373970642848,0.065941114327
0,90,90,90,80,90,0.342020143326,5.95949161925e-17,5.26676503542,8.83760792349e+16,5.73908254558e+15,0.0649393206314
0,90,100,90,80,90,0.342020143326,0.914564150601,5.18675104018,5.67128181962,0.373970642848,0.065941114327
0,90,110,90,80,90,0.342020143326,1.80133973228,4.9491402392,2.74747741945,0.189869871406,0.0691069815757
0,90,120,90,80,90,0.342020143326,2.63338251771,4.56115231644,1.73205080757,0.129878641263,0.0749854684951
0,90,130,90,80,90,0.342020143326,3.3854113079,4.0345760886,1.19175359259,0.101027648406,0.0847722625166
0,90,140,90,80,90,0.342020143326,4.0345760886,3.3854113079,0.839099631177,0.0847722625166,0.101027648406
0,90,150,90,80,90,0.342020143326,4.56115231644,2.63338251771,0.57735026919,0.0749854684951,0.129878641263
0,90,160,90,80,90,0.342020143326,4.9491402392,1.80133973228,0.363970234266,0.0691069815757,0.189869871406
0,90,170,90,80,90,0.342020143326,5.18675104018,0.914564150601,0.176326980708,0.065941114327,0.373970642848
