Exit Angle,Plunge,Azimuth,Strike,Dip,Rake,P,SV,SH,SH/SV,P/SV,P/SH,Ratio1,Ratio2,Ratio3,Sum
0,90,0,110,20,0,0,-1.801339732,4.949140239,-2.747477419,0,0,4.651106892,0.979524152,1.003692821,6.634323865
0,90,10,110,20,0,0,-0.914564151,5.18675104,-5.67128182,0,0,2.074416822,0.979524152,1.003692821,4.057633795
0,90,20,110,20,0,0,3.22E-16,5.266765035,1.63E+16,0,0,1.02441844,0.979524152,1.003692821,3.007635413
0,90,30,110,20,0,0,0.914564151,5.18675104,5.67128182,0,0,0.507432724,0.979524152,1.003692821,2.490649697
0,90,40,110,20,0,0,1.801339732,4.949140239,2.747477419,0,0,0.228907936,0.979524152,1.003692821,2.212124909
0,90,50,110,20,0,0,2.633382518,4.561152316,1.732050808,0,0,0.078447482,0.979524152,1.003692821,2.061664455
0,90,60,110,20,0,0,3.385411308,4.034576089,1.191753593,0,0,0.009924991,0.979524152,1.003692821,1.993141964
0,90,70,110,20,0,0,4.034576089,3.385411308,0.839099631,0,0,0.005678087,0.979524152,1.003692821,1.98889506
0,90,80,110,20,0,0,4.561152316,2.633382518,0.577350269,0,0,0.065440602,0.979524152,1.003692821,2.048657575
0,90,90,110,20,0,0,4.949140239,1.801339732,0.363970234,0,0,0.206272273,0.979524152,1.003692821,2.189489246
0,90,100,110,20,0,0,5.18675104,0.914564151,0.176326981,0,0,0.473443014,0.979524152,1.003692821,2.456659987
0,90,110,110,20,0,0,5.266765035,0,0,0,,0.975876104,0.979524152,,
0,90,120,110,20,0,0,5.18675104,-0.914564151,-0.176326981,0,0,2.005091181,0.979524152,1.003692821,3.988308154
0,90,130,110,20,0,0,4.949140239,-1.801339732,-0.363970234,0,0,4.547007517,0.979524152,1.003692821,6.53022449
0,90,140,110,20,0,0,4.561152316,-2.633382518,-0.577350269,0,0,13.83776927,0.979524152,1.003692821,15.82098624
0,90,150,110,20,0,0,4.034576089,-3.385411308,-0.839099631,0,0,130.3688222,0.979524152,1.003692821,132.3520392
0,90,160,110,20,0,0,3.385411308,-4.034576089,-1.191753593,0,0,130.9236636,0.979524152,1.003692821,132.9068806
0,90,170,110,20,0,0,2.633382518,-4.561152316,-1.732050808,0,0,14.01893173,0.979524152,1.003692821,16.00214871
0,90,180,110,20,0,0,1.801339732,-4.949140239,-2.747477419,0,0,4.651106892,0.979524152,1.003692821,6.634323865
0,90,190,110,20,0,0,0.914564151,-5.18675104,-5.67128182,0,0,2.074416822,0.979524152,1.003692821,4.057633795
0,90,200,110,20,0,0,3.22E-16,-5.266765035,-1.63E+16,0,0,1.02441844,0.979524152,1.003692821,3.007635413
0,90,210,110,20,0,0,-0.914564151,-5.18675104,5.67128182,0,0,0.507432724,0.979524152,1.003692821,2.490649697
0,90,220,110,20,0,0,-1.801339732,-4.949140239,2.747477419,0,0,0.228907936,0.979524152,1.003692821,2.212124909
0,90,230,110,20,0,0,-2.633382518,-4.561152316,1.732050808,0,0,0.078447482,0.979524152,1.003692821,2.061664455
0,90,240,110,20,0,0,-3.385411308,-4.034576089,1.191753593,0,0,0.009924991,0.979524152,1.003692821,1.993141964
0,90,250,110,20,0,0,-4.034576089,-3.385411308,0.839099631,0,0,0.005678087,0.979524152,1.003692821,1.98889506
0,90,260,110,20,0,0,-4.561152316,-2.633382518,0.577350269,0,0,0.065440602,0.979524152,1.003692821,2.048657575
0,90,270,110,20,0,0,-4.949140239,-1.801339732,0.363970234,0,0,0.206272273,0.979524152,1.003692821,2.189489246
0,90,280,110,20,0,0,-5.18675104,-0.914564151,0.176326981,0,0,0.473443014,0.979524152,1.003692821,2.456659987
0,90,290,110,20,0,0,-5.266765035,-6.45E-16,1.22E-16,0,0,0.975876104,0.979524152,1.003692821,2.959093077
0,90,300,110,20,0,0,-5.18675104,0.914564151,-0.176326981,0,0,2.005091181,0.979524152,1.003692821,3.988308154
0,90,310,110,20,0,0,-4.949140239,1.801339732,-0.363970234,0,0,4.547007517,0.979524152,1.003692821,6.53022449
0,90,320,110,20,0,0,-4.561152316,2.633382518,-0.577350269,0,0,13.83776927,0.979524152,1.003692821,15.82098624
0,90,330,110,20,0,0,-4.034576089,3.385411308,-0.839099631,0,0,130.3688222,0.979524152,1.003692821,132.3520392
0,90,340,110,20,0,0,-3.385411308,4.034576089,-1.191753593,0,0,130.9236636,0.979524152,1.003692821,132.9068806
0,90,350,110,20,0,0,-2.633382518,4.561152316,-1.732050808,0,0,14.01893173,0.979524152,1.003692821,16.00214871
0,90,360,110,20,0,0,-1.801339732,4.949140239,-2.747477419,0,0,4.651106892,0.979524152,1.003692821,6.634323865
5,85,0,110,20,0,0.057479428,-1.880957017,5.058292477,-2.689212157,-0.030558608,0.011363405,4.822940793,1.108288606,0.959171964,6.890401363
5,85,10,110,20,0,0.029223777,-0.957594695,5.324010989,-5.559774943,-0.030517898,0.005489053,2.104686365,1.108106213,0.981935396,4.194727973
5,85,20,110,20,0,-1.03E-17,3.38E-16,5.413796231,1.60E+16,-0.030504239,-1.90E-18,1.02441844,1.108045023,1.003692821,3.136156284
5,85,30,110,20,0,-0.029223777,0.957594695,5.324010989,5.559774943,-0.030517898,-0.005489053,0.500198425,1.108106213,1.025932795,2.634237433
5,85,40,110,20,0,-0.057479428,1.880957017,5.058292477,2.689212157,-0.030558608,-0.011363405,0.220913552,1.108288606,1.05028215,2.379484307
5,85,50,110,20,0,-0.083837913,2.737514246,4.627332168,1.690340854,-0.030625562,-0.01811798,0.072218692,1.108588647,1.079000122,2.259807461
5,85,60,110,20,0,-0.107446011,3.497887814,4.0482352,1.15733706,-0.030717398,-0.026541445,0.007236348,1.109000321,1.115927948,2.232164618
5,85,70,110,20,0,-0.127558557,4.137190323,3.343516904,0.80816125,-0.03083217,-0.038151013,0.008828567,1.109515035,1.168935483,2.287279085
5,85,80,110,20,0,-0.143564442,4.63599689,2.539825289,0.547848791,-0.030967329,-0.056525322,0.078388965,1.110121481,1.25814006,2.446650507
5,85,90,110,20,0,-0.155005179,4.980935361,1.66649988,0.334575689,-0.031119693,-0.093012416,0.23665118,1.110805528,1.456719995,2.804176703
5,85,100,110,20,0,-0.16158548,5.164877466,0.754086856,0.146002855,-0.031285443,-0.214279667,0.537378087,1.111550156,2.394074354,4.043002597
5,85,110,110,20,0,-0.163175911,5.18675104,-0.167072827,-0.032211461,-0.031460139,0.976675349,1.111825919,1.112335521,0.000186176,2.224347617
5,85,120,110,20,0,-0.159808325,5.051027809,-1.06808106,-0.211458163,-0.031638773,0.149621907,2.323159656,1.113139169,0.549892127,3.986190952
