Exit Angle,Azimuth,Strike,Dip,Rake,P,SV,SH,SH/SV,P/SV,P/SH
0,0,110,45,90,1.0,2.39496810042e-16,3.45418424972e-16,1.44226733088,4.1754209579e+15,2.89503954539e+15
0,20,110,45,90,1.0,3.43193444315e-16,2.42674411734e-16,0.707106781187,2.9138085723e+15,4.1207476011e+15
0,40,110,45,90,1.0,4.05495884207e-16,1.10660282947e-16,0.272901124911,2.46611627626e+15,9.0366658513e+15
0,60,110,45,90,1.0,4.18889535982e-16,-3.47011091354e-17,-0.0828407161186,2.3872642167e+15,-2.88175226936e+16
0,80,110,45,90,1.0,3.81758927567e-16,-1.75877035322e-16,-0.460701826786,2.61945413136e+15,-5.68579063304e+15
0,100,110,45,90,1.0,2.98582558325e-16,-2.9583959538e-16,-0.990813385213,3.34915745115e+15,-3.3802101396e+15
0,120,110,45,90,1.0,1.7939272594e-16,-3.80119534108e-16,-2.11892389792,5.57436203033e+15,-2.63075140915e+15
0,140,110,45,90,1.0,3.85654832525e-17,-4.18551447055e-16,-10.8530066722,2.59299227097e+16,-2.38919255216e+15
0,160,110,45,90,1.0,-1.06913325882e-16,-4.06499878327e-16,3.80214416654,-9.35337098302e+15,-2.46002533658e+15
0,180,110,45,90,1.0,-2.39496810042e-16,-3.45418424972e-16,1.44226733088,-4.1754209579e+15,-2.89503954539e+15
0,200,110,45,90,1.0,-3.43193444315e-16,-2.42674411734e-16,0.707106781187,-2.9138085723e+15,-4.1207476011e+15
0,220,110,45,90,1.0,-4.05495884207e-16,-1.10660282947e-16,0.272901124911,-2.46611627626e+15,-9.0366658513e+15
0,240,110,45,90,1.0,-4.18889535982e-16,3.47011091354e-17,-0.0828407161186,-2.3872642167e+15,2.88175226936e+16
0,260,110,45,90,1.0,-3.81758927567e-16,1.75877035322e-16,-0.460701826786,-2.61945413136e+15,5.68579063304e+15
0,280,110,45,90,1.0,-2.98582558325e-16,2.9583959538e-16,-0.990813385213,-3.34915745115e+15,3.3802101396e+15
0,300,110,45,90,1.0,-1.7939272594e-16,3.80119534108e-16,-2.11892389792,-5.57436203033e+15,2.63075140915e+15
0,320,110,45,90,1.0,-3.85654832525e-17,4.18551447055e-16,-10.8530066722,-2.59299227097e+16,2.38919255216e+15
0,340,110,45,90,1.0,1.06913325882e-16,4.06499878327e-16,3.80214416654,9.35337098302e+15,2.46002533658e+15
0,360,110,45,90,1.0,2.39496810042e-16,3.45418424972e-16,1.44226733088,4.1754209579e+15,2.89503954539e+15
10,0,110,45,90,0.943219932408,1.80482567886,0.312799361869,0.173312783352,0.522609991345,3.0154151427
10,20,110,45,90,0.939692620786,1.91694570377,2.21532695304e-16,1.15565451264e-16,0.490203044843,4.24177848554e+15
10,40,110,45,90,0.943219932408,1.80482567886,-0.312799361869,-0.173312783352,0.522609991345,-3.0154151427
10,60,110,45,90,0.952151398964,1.52092780986,-0.479236425942,-0.315094788086,0.626033262585,-1.98680932296
10,80,110,45,90,0.962307887991,1.19809106485,-0.421433440197,-0.351754096629,0.803200955437,-2.28341606575
10,100,110,45,90,0.968937065396,0.987374344756,-0.166437064073,-0.168565311583,0.981326961291,-5.82164237752
10,120,110,45,90,0.968937065396,0.987374344756,0.166437064073,0.168565311583,0.981326961291,5.82164237752
10,140,110,45,90,0.962307887991,1.19809106485,0.421433440197,0.351754096629,0.803200955437,2.28341606575
10,160,110,45,90,0.952151398964,1.52092780986,0.479236425942,0.315094788086,0.626033262585,1.98680932296
10,180,110,45,90,0.943219932408,1.80482567886,0.312799361869,0.173312783352,0.522609991345,3.0154151427
10,200,110,45,90,0.939692620786,1.91694570377,-1.37252756577e-16,-7.15997100527e-17,0.490203044843,-6.84643896578e+15
10,220,110,45,90,0.943219932408,1.80482567886,-0.312799361869,-0.173312783352,0.522609991345,-3.0154151427
10,240,110,45,90,0.952151398964,1.52092780986,-0.479236425942,-0.315094788086,0.626033262585,-1.98680932296
10,260,110,45,90,0.962307887991,1.19809106485,-0.421433440197,-0.351754096629,0.803200955437,-2.28341606575
10,280,110,45,90,0.968937065396,0.987374344756,-0.166437064073,-0.168565311583,0.981326961291,-5.82164237752
10,300,110,45,90,0.968937065396,0.987374344756,0.166437064073,0.168565311583,0.981326961291,5.82164237752
10,320,110,45,90,0.962307887991,1.19809106485,0.421433440197,0.351754096629,0.803200955437,2.28341606575
10,340,110,45,90,0.952151398964,1.52092780986,0.479236425942,0.315094788086,0.626033262585,1.98680932296
10,360,110,45,90,0.943219932408,1.80482567886,0.312799361869,0.173312783352,0.522609991345,3.0154151427
20,0,110,45,90,0.779728243768,3.39196274446,0.616094473412,0.181633620363,0.229875238177,1.26559850383
20,20,110,45,90,0.766044443119,3.60267946455,1.93659820029e-16,5.37543852942e-17,0.212631862106,3.95561889401e+15
20,40,110,45,90,0.779728243768,3.39196274446,-0.616094473412,-0.181633620363,0.229875238177,-1.26559850383
20,60,110,45,90,0.814376843312,2.85840927935,-0.943911495587,-0.330222653,0.284905611382,-0.862768222572
20,80,110,45,90,0.853777776949,2.25167466535,-0.830061838569,-0.368641994043,0.379174571748,-1.02857129105
20,100,110,45,90,0.879494909937,1.85565677144,-0.327817022175,-0.176658220001,0.473953439813,-2.6828835919
20,120,110,45,90,0.879494909937,1.85565677144,0.327817022175,0.176658220001,0.473953439813,2.6828835919
20,140,110,45,90,0.853777776949,2.25167466535,0.830061838569,0.368641994043,0.379174571748,1.02857129105
20,160,110,45,90,0.814376843312,2.85840927935,0.943911495587,0.330222653,0.284905611382,0.862768222572
20,180,110,45,90,0.779728243768,3.39196274446,0.616094473412,0.181633620363,0.229875238177,1.26559850383
20,200,110,45,90,0.766044443119,3.60267946455,-2.76607458641e-17,-7.6778259449e-18,0.212631862106,-2.76942800777e+16
20,220,110,45,90,0.779728243768,3.39196274446,-0.616094473412,-0.181633620363,0.229875238177,-1.26559850383
20,240,110,45,90,0.814376843312,2.85840927935,-0.943911495587,-0.330222653,0.284905611382,-0.862768222572
20,260,110,45,90,0.853777776949,2.25167466535,-0.830061838569,-0.368641994043,0.379174571748,-1.02857129105
20,280,110,45,90,0.879494909937,1.85565677144,-0.327817022175,-0.176658220001,0.473953439813,-2.6828835919
20,300,110,45,90,0.879494909937,1.85565677144,0.327817022175,0.176658220001,0.473953439813,2.6828835919
20,320,110,45,90,0.853777776949,2.25167466535,0.830061838569,0.368641994043,0.379174571748,1.02857129105
20,340,110,45,90,0.814376843312,2.85840927935,0.943911495587,0.330222653,0.284905611382,0.862768222572
20,360,110,45,90,0.779728243768,3.39196274446,0.616094473412,0.181633620363,0.229875238177,1.26559850383
30,0,110,45,90,0.52924444461,4.56997904303,0.900669866139,0.197084025475,0.11580894346,0.58761202579
30,20,110,45,90,0.5,4.85387691203,1.59902689119e-16,3.2943292963e-17,0.103010440739,3.12690175978e+15
