Exit Angle,Azimuth,Strike,Dip,Rake,P,SV,SH,SH/SV,P/SV,P/SH
0,0,112,90,90,1.22464679915e-16,-5.1966562242,-2.09958540122,0.404026225835,-2.35660537529e-17,-5.83280298307e-17
0,20,112,90,90,1.22464679915e-16,-5.60136000649,-0.195603801627,0.0349207694917,-2.18633831378e-17,-6.26085377156e-16
0,40,112,90,90,1.22464679915e-16,-5.33045710473,1.73197050325,-0.324919696233,-2.29745174773e-17,7.07082942145e-17
0,60,112,90,90,1.22464679915e-16,-4.41662240697,3.45064360428,-0.781285626507,-2.77281299215e-17,3.54903878694e-17
0,80,112,90,90,1.22464679915e-16,-2.97007786453,4.75311816055,-1.60033452904,-4.12328179598e-17,2.5765124236e-17
0,100,112,90,90,1.22464679915e-16,-1.16529809794,5.48229651811,-4.70463010948,-1.05093005928e-16,2.23382079955e-17
0,120,112,90,90,1.22464679915e-16,0.780033817223,5.5502290055,7.11536972238,1.56999193126e-16,2.20647976495e-17
0,140,112,90,90,1.22464679915e-16,2.63128214196,4.94872196218,1.88072646535,4.65418276368e-17,2.47467287212e-17
0,160,112,90,90,1.22464679915e-16,4.16515900679,3.75032601485,0.900404044298,2.94021620099e-17,3.26544090913e-17
0,180,112,90,90,1.22464679915e-16,5.1966562242,2.09958540122,0.404026225835,2.35660537529e-17,5.83280298307e-17
0,200,112,90,90,1.22464679915e-16,5.60136000649,0.195603801627,0.0349207694917,2.18633831378e-17,6.26085377156e-16
0,220,112,90,90,1.22464679915e-16,5.33045710473,-1.73197050325,-0.324919696233,2.29745174773e-17,-7.07082942145e-17
0,240,112,90,90,1.22464679915e-16,4.41662240697,-3.45064360428,-0.781285626507,2.77281299215e-17,-3.54903878694e-17
0,260,112,90,90,1.22464679915e-16,2.97007786453,-4.75311816055,-1.60033452904,4.12328179598e-17,-2.5765124236e-17
0,280,112,90,90,1.22464679915e-16,1.16529809794,-5.48229651811,-4.70463010948,1.05093005928e-16,-2.23382079955e-17
0,300,112,90,90,1.22464679915e-16,-0.780033817223,-5.5502290055,7.11536972238,-1.56999193126e-16,-2.20647976495e-17
0,320,112,90,90,1.22464679915e-16,-2.63128214196,-4.94872196218,1.88072646535,-4.65418276368e-17,-2.47467287212e-17
0,340,112,90,90,1.22464679915e-16,-4.16515900679,-3.75032601485,0.900404044298,-2.94021620099e-17,-3.26544090913e-17
0,360,112,90,90,1.22464679915e-16,-5.1966562242,-2.09958540122,0.404026225835,-2.35660537529e-17,-5.83280298307e-17
10,0,112,90,90,0.317115554828,-4.88325950664,-2.06768798124,0.423423735402,-0.0649393206314,-0.153367218703
10,20,112,90,90,0.341811793895,-5.26355666446,-0.192632140361,0.0365973338259,-0.0649393206314,-1.77442763837
10,40,112,90,90,0.325280486014,-5.00899120673,1.70565797959,-0.340519260105,-0.0649393206314,0.190706747722
10,60,112,90,90,0.269515550891,-4.15026748463,3.39822057437,-0.818795556421,-0.0649393206314,0.0793107878056
10,80,112,90,90,0.181243062704,-2.79096025246,4.68090761549,-1.67716742342,-0.0649393206314,0.0387196410594
10,100,112,90,90,0.0711099862926,-1.09502202365,5.39900811534,-4.93050185176,-0.0649393206314,0.0131709352484
10,120,112,90,90,-0.0476000039374,0.732992022008,5.46590855561,7.45698232928,-0.0649393206314,-0.00870852548175
10,140,112,90,90,-0.160568731191,2.472596412,4.87353975585,1.97102112265,-0.0649393206314,-0.0329470444965
10,160,112,90,90,-0.254170499722,3.91396918308,3.69335013575,0.943632911501,-0.0649393206314,-0.0688184142795
10,180,112,90,90,-0.317115554828,4.88325950664,2.06768798124,0.423423735402,-0.0649393206314,-0.153367218703
10,200,112,90,90,-0.341811793895,5.26355666446,0.192632140361,0.0365973338259,-0.0649393206314,-1.77442763837
10,220,112,90,90,-0.325280486014,5.00899120673,-1.70565797959,-0.340519260105,-0.0649393206314,0.190706747722
10,240,112,90,90,-0.269515550891,4.15026748463,-3.39822057437,-0.818795556421,-0.0649393206314,0.0793107878056
10,260,112,90,90,-0.181243062704,2.79096025246,-4.68090761549,-1.67716742342,-0.0649393206314,0.0387196410594
10,280,112,90,90,-0.0711099862926,1.09502202365,-5.39900811534,-4.93050185176,-0.0649393206314,0.0131709352484
10,300,112,90,90,0.0476000039374,-0.732992022008,-5.46590855561,7.45698232928,-0.0649393206314,-0.00870852548175
10,320,112,90,90,0.160568731191,-2.472596412,-4.87353975585,1.97102112265,-0.0649393206314,-0.0329470444965
10,340,112,90,90,0.254170499722,-3.91396918308,-3.69335013575,0.943632911501,-0.0649393206314,-0.0688184142795
10,360,112,90,90,0.317115554828,-4.88325950664,-2.06768798124,0.423423735402,-0.0649393206314,-0.153367218703
20,0,112,90,90,0.595982293617,-3.98086962335,-1.97296490824,0.495611535899,-0.149711583148,-0.302074452073
20,20,112,90,90,0.642396040842,-4.29089070688,-0.183807448987,0.0428366652853,-0.149711583148,-3.49494019086
20,40,112,90,90,0.611327344786,-4.08336704436,1.62751990132,-0.398573011841,-0.149711583148,0.375618967417
20,60,112,90,90,0.506523548718,-3.38332905222,3.2425443319,-0.958388699963,-0.149711583148,0.156211757457
20,80,112,90,90,0.340625537183,-2.27521164375,4.46647006119,-1.96310091567,-0.149711583148,0.0762628054183
20,100,112,90,90,0.133643058767,-0.892670132507,5.15167358303,-5.77108317555,-0.149711583148,0.025941678294
20,120,112,90,90,-0.0894587448988,0.597540571128,5.21550924014,8.72829309363,-0.149711583148,-0.0171524468235
20,140,112,90,90,-0.301770503659,2.01567906313,4.65027751018,2.30705254385,-0.149711583148,-0.0648930097179
20,160,112,90,90,-0.47768428602,3.19069691186,3.5241536817,1.10450907092,-0.149711583148,-0.135545815865
20,180,112,90,90,-0.595982293617,3.98086962335,1.97296490824,0.495611535899,-0.149711583148,-0.302074452073
20,200,112,90,90,-0.642396040842,4.29089070688,0.183807448987,0.0428366652853,-0.149711583148,-3.49494019086
20,220,112,90,90,-0.611327344786,4.08336704436,-1.62751990132,-0.398573011841,-0.149711583148,0.375618967417
20,240,112,90,90,-0.506523548718,3.38332905222,-3.2425443319,-0.958388699963,-0.149711583148,0.156211757457
20,260,112,90,90,-0.340625537183,2.27521164375,-4.46647006119,-1.96310091567,-0.149711583148,0.0762628054183
20,280,112,90,90,-0.133643058767,0.892670132507,-5.15167358303,-5.77108317555,-0.149711583148,0.025941678294
20,300,112,90,90,0.0894587448988,-0.597540571128,-5.21550924014,8.72829309363,-0.149711583148,-0.0171524468235
20,320,112,90,90,0.301770503659,-2.01567906313,-4.65027751018,2.30705254385,-0.149711583148,-0.0648930097179
20,340,112,90,90,0.47768428602,-3.19069691186,-3.5241536817,1.10450907092,-0.149711583148,-0.135545815865
20,360,112,90,90,0.595982293617,-3.98086962335,-1.97296490824,0.495611535899,-0.149711583148,-0.302074452073
30,0,112,90,90,0.802964772034,-2.5983281121,-1.81829429488,0.699793950737,-0.309031322216,-0.441603306075
30,20,112,90,90,0.865497844508,-2.80068000325,-0.169397861286,0.0604845469991,-0.309031322216,-5.10926075417
30,40,112,90,90,0.823639103546,-2.66522855237,1.49993045442,-0.562777422255,-0.309031322216,0.549118194859
30,60,112,90,90,0.682437331079,-2.20831120349,2.98834502071,-1.35322640033,-0.309031322216,0.228366311905
30,80,112,90,90,0.458923544781,-1.48503893227,4.11632107422,-2.77186071341,-0.309031322216,0.111488763025
30,100,112,90,90,0.180056805992,-0.582649048972,4.74780805576,-8.14865838044,-0.309031322216,0.0379241965718
30,120,112,90,90,-0.120527440955,0.390016908611,4.80663931559,12.3241818738,-0.309031322216,-0.025075199748
30,140,112,90,90,-0.406574299727,1.31564107098,4.28571893551,3.25751379312,-0.309031322216,-0.0948672336765
30,160,112,90,90,-0.643582297554,2.08257950339,3.24787760134,1.55954555206,-0.309031322216,-0.198154726425
30,180,112,90,90,-0.802964772034,2.5983281121,1.81829429488,0.699793950737,-0.309031322216,-0.441603306075
30,200,112,90,90,-0.865497844508,2.80068000325,0.169397861286,0.0604845469991,-0.309031322216,-5.10926075417
30,220,112,90,90,-0.823639103546,2.66522855237,-1.49993045442,-0.562777422255,-0.309031322216,0.549118194859
30,240,112,90,90,-0.682437331079,2.20831120349,-2.98834502071,-1.35322640033,-0.309031322216,0.228366311905
30,260,112,90,90,-0.458923544781,1.48503893227,-4.11632107422,-2.77186071341,-0.309031322216,0.111488763025
30,280,112,90,90,-0.180056805992,0.582649048972,-4.74780805576,-8.14865838044,-0.309031322216,0.0379241965718
30,300,112,90,90,0.120527440955,-0.390016908611,-4.80663931559,12.3241818738,-0.309031322216,-0.025075199748
30,320,112,90,90,0.406574299727,-1.31564107098,-4.28571893551,3.25751379312,-0.309031322216,-0.0948672336765
30,340,112,90,90,0.643582297554,-2.08257950339,-3.24787760134,1.55954555206,-0.309031322216,-0.198154726425
30,360,112,90,90,0.802964772034,-2.5983281121,-1.81829429488,0.699793950737,-0.309031322216,-0.441603306075
40,0,112,90,90,0.913097848445,-0.902389883293,-1.60837572946,1.78235124223,-1.01186622917,-0.567714267083
40,20,112,90,90,0.984207834738,-0.972665957583,-0.149841205289,0.154052071136,-1.01186622917,-6.56833901488
40,40,112,90,90,0.9366078308,-0.925624162368,1.32676637966,-1.43337483355,-1.01186622917,0.705932743818
40,60,112,90,90,0.776039099609,-0.766938432414,2.64334635824,-3.44662132776,-1.01186622917,0.293582071525
40,80,112,90,90,0.521868599887,-0.515748608705,3.64109975438,-7.05983437071,-1.01186622917,0.143327190984
40,100,112,90,90,0.204753045059,-0.202351891147,4.19968278323,-20.7543540089,-1.01186622917,0.0487544073274
40,120,112,90,90,-0.137058748836,0.135451450879,4.2517220877,31.3892694401,-1.01186622917,-0.0322360554169
40,140,112,90,90,-0.46233923485,0.456917348879,3.79094095967,8.29677614336,-1.01186622917,-0.121958964745
40,160,112,90,90,-0.731854785741,0.723272271222,2.87291640356,3.972109146,-1.01186622917,-0.254742805893
