Exit Angle,Plunge,Azimuth,Strike,Dip,Rake,P,SV,SH,SH/SV,P/SV,P/SH
0,90,0,110,45,-90,-1.0,-4.05495884207e-16,1.10660282947e-16,-0.272901124911,2.46611627626e+15,-9.0366658513e+15
0,90,10,110,45,-90,-1.0,-3.80119534108e-16,1.7939272594e-16,-0.471937666559,2.63075140915e+15,-5.57436203033e+15
0,90,20,110,45,-90,-1.0,-3.43193444315e-16,2.42674411734e-16,-0.707106781187,2.9138085723e+15,-4.1207476011e+15
0,90,30,110,45,-90,-1.0,-2.9583959538e-16,2.98582558325e-16,-1.00927179116,3.3802101396e+15,-3.34915745115e+15
0,90,40,110,45,-90,-1.0,-2.39496810042e-16,3.45418424972e-16,-1.44226733088,4.1754209579e+15,-2.89503954539e+15
0,90,50,110,45,-90,-1.0,-1.75877035322e-16,3.81758927567e-16,-2.17060133444,5.68579063304e+15,-2.61945413136e+15
0,90,60,110,45,-90,-1.0,-1.06913325882e-16,4.06499878327e-16,-3.80214416654,9.35337098302e+15,-2.46002533658e+15
0,90,70,110,45,-90,-1.0,-3.47011091354e-17,4.18889535982e-16,-12.0713587093,2.88175226936e+16,-2.3872642167e+15
0,90,80,110,45,-90,-1.0,3.85654832525e-17,4.18551447055e-16,10.8530066722,-2.59299227097e+16,-2.38919255216e+15
0,90,90,110,45,-90,-1.0,1.10660282947e-16,4.05495884207e-16,3.66433080966,-9.0366658513e+15,-2.46611627626e+15
0,90,100,110,45,-90,-1.0,1.7939272594e-16,3.80119534108e-16,2.11892389792,-5.57436203033e+15,-2.63075140915e+15
0,90,110,110,45,-90,-1.0,2.42674411734e-16,3.43193444315e-16,1.41421356237,-4.1207476011e+15,-2.9138085723e+15
0,90,120,110,45,-90,-1.0,2.98582558325e-16,2.9583959538e-16,0.990813385213,-3.34915745115e+15,-3.3802101396e+15
0,90,130,110,45,-90,-1.0,3.45418424972e-16,2.39496810042e-16,0.693352736065,-2.89503954539e+15,-4.1754209579e+15
0,90,140,110,45,-90,-1.0,3.81758927567e-16,1.75877035322e-16,0.460701826786,-2.61945413136e+15,-5.68579063304e+15
0,90,150,110,45,-90,-1.0,4.06499878327e-16,1.06913325882e-16,0.263009490487,-2.46002533658e+15,-9.35337098302e+15
0,90,160,110,45,-90,-1.0,4.18889535982e-16,3.47011091354e-17,0.0828407161186,-2.3872642167e+15,-2.88175226936e+16
0,90,170,110,45,-90,-1.0,4.18551447055e-16,-3.85654832525e-17,-0.0921403653571,-2.38919255216e+15,2.59299227097e+16
0,90,180,110,45,-90,-1.0,4.05495884207e-16,-1.10660282947e-16,-0.272901124911,-2.46611627626e+15,9.0366658513e+15
0,90,190,110,45,-90,-1.0,3.80119534108e-16,-1.7939272594e-16,-0.471937666559,-2.63075140915e+15,5.57436203033e+15
0,90,200,110,45,-90,-1.0,3.43193444315e-16,-2.42674411734e-16,-0.707106781187,-2.9138085723e+15,4.1207476011e+15
0,90,210,110,45,-90,-1.0,2.9583959538e-16,-2.98582558325e-16,-1.00927179116,-3.3802101396e+15,3.34915745115e+15
0,90,220,110,45,-90,-1.0,2.39496810042e-16,-3.45418424972e-16,-1.44226733088,-4.1754209579e+15,2.89503954539e+15
0,90,230,110,45,-90,-1.0,1.75877035322e-16,-3.81758927567e-16,-2.17060133444,-5.68579063304e+15,2.61945413136e+15
0,90,240,110,45,-90,-1.0,1.06913325882e-16,-4.06499878327e-16,-3.80214416654,-9.35337098302e+15,2.46002533658e+15
0,90,250,110,45,-90,-1.0,3.47011091354e-17,-4.18889535982e-16,-12.0713587093,-2.88175226936e+16,2.3872642167e+15
0,90,260,110,45,-90,-1.0,-3.85654832525e-17,-4.18551447055e-16,10.8530066722,2.59299227097e+16,2.38919255216e+15
