Exit Angle,Plunge,Azimuth,Strike,Dip,Rake,P,SV,SH,SH/SV,P/SV,P/SH
0,90,0,45,90,-100,-1.2060416625e-16,3.90296438613,-3.90296438613,-1.0,-3.09006576332e-17,3.09006576332e-17
0,90,10,45,90,-100,-1.2060416625e-16,3.16592693404,-4.52141224034,-1.42814800674,-3.80944250335e-17,2.66740035722e-17
0,90,20,45,90,-100,-1.2060416625e-16,2.3326943941,-5.00247927157,-2.14450692051,-5.17016573433e-17,2.41088787585e-17
0,90,30,45,90,-100,-1.2060416625e-16,1.42858411539,-5.33154850152,-3.73205080757,-8.44221666411e-17,2.26208513748e-17
0,90,40,45,90,-100,-1.2060416625e-16,0.481067031234,-5.49862132814,-11.4300523028,-2.5070137511e-16,2.19335282525e-17
0,90,50,45,90,-100,-1.2060416625e-16,-0.481067031234,-5.49862132814,11.4300523028,2.5070137511e-16,2.19335282525e-17
0,90,60,45,90,-100,-1.2060416625e-16,-1.42858411539,-5.33154850152,3.73205080757,8.44221666411e-17,2.26208513748e-17
0,90,70,45,90,-100,-1.2060416625e-16,-2.3326943941,-5.00247927157,2.14450692051,5.17016573433e-17,2.41088787585e-17
0,90,80,45,90,-100,-1.2060416625e-16,-3.16592693404,-4.52141224034,1.42814800674,3.80944250335e-17,2.66740035722e-17
0,90,90,45,90,-100,-1.2060416625e-16,-3.90296438613,-3.90296438613,1.0,3.09006576332e-17,3.09006576332e-17
0,90,100,45,90,-100,-1.2060416625e-16,-4.52141224034,-3.16592693404,0.70020753821,2.66740035722e-17,3.80944250335e-17
0,90,110,45,90,-100,-1.2060416625e-16,-5.00247927157,-2.3326943941,0.466307658155,2.41088787585e-17,5.17016573433e-17
0,90,120,45,90,-100,-1.2060416625e-16,-5.33154850152,-1.42858411539,0.267949192431,2.26208513748e-17,8.44221666411e-17
0,90,130,45,90,-100,-1.2060416625e-16,-5.49862132814,-0.481067031234,0.0874886635259,2.19335282525e-17,2.5070137511e-16
