Exit Angle,Plunge,Azimuth,Strike,Dip,Rake,P,SV,SH,SH/SV,P/SV,P/SH
0,90,0,115,45,90,1.0,2.08480252986e-16,3.64977525946e-16,1.75065753575,4.79661735668e+15,2.73989473025e+15
0,90,10,115,45,90,1.0,2.68690651761e-16,3.23230481216e-16,1.20298372533,3.72175210952e+15,3.09376763057e+15
0,90,20,115,45,90,1.0,3.20737021045e-16,2.71662241877e-16,0.846993717755,3.11781906791e+15,3.68104155031e+15
0,90,30,115,45,90,1.0,3.63037958246e-16,2.11839682786e-16,0.583519375796,2.75453290017e+15,4.7205508753e+15
0,90,40,115,45,90,1.0,3.94308170792e-16,1.4558048213e-16,0.369204832448,2.53608744143e+15,6.86905267361e+15
0,90,50,115,45,90,1.0,4.13597529098e-16,7.48978921917e-17,0.181088828928,2.41780941531e+15,1.33515105798e+16
0,90,60,115,45,90,1.0,4.20319935773e-16,1.93956769921e-18,0.00461450322514,2.37914006663e+15,5.15578806764e+17
0,90,70,115,45,90,1.0,4.14271133891e-16,-7.10776895763e-17,-0.171572875254,2.41387805761e+15,-1.40691123468e+16
0,90,80,115,45,90,1.0,3.95634913237e-16,-1.41935287221e-16,-0.358753190055,2.52758279551e+15,-7.04546430686e+15
0,90,90,115,45,90,1.0,3.64977525946e-16,-2.08480252986e-16,-0.57121394652,2.73989473025e+15,-4.79661735668e+15
0,90,100,115,45,90,1.0,3.23230481216e-16,-2.68690651761e-16,-0.831266441055,3.09376763057e+15,-3.72175210952e+15
0,90,110,115,45,90,1.0,2.71662241877e-16,-3.20737021045e-16,-1.18064630119,3.68104155031e+15,-3.11781906791e+15
0,90,120,115,45,90,1.0,2.11839682786e-16,-3.63037958246e-16,-1.71373915157,4.7205508753e+15,-2.75453290017e+15
0,90,130,115,45,90,1.0,1.4558048213e-16,-3.94308170792e-16,-2.7085235948,6.86905267361e+15,-2.53608744143e+15
0,90,140,115,45,90,1.0,7.48978921917e-17,-4.13597529098e-16,-5.52215178552,1.33515105798e+16,-2.41780941531e+15
0,90,150,115,45,90,1.0,1.93956769921e-18,-4.20319935773e-16,-216.708050945,5.15578806764e+17,-2.37914006663e+15
0,90,160,115,45,90,1.0,-7.10776895763e-17,-4.14271133891e-16,5.82842712475,-1.40691123468e+16,-2.41387805761e+15
