Exit Angle,Plunge,Azimuth,Strike,Dip,Rake,P,SV,SH,SH/SV,P/SV,P/SH
0,90,0,165,75,80,0.492403876506,1.96194238131,6.09920214994,3.10875701959,0.25097774593,0.0807325063838
0,90,10,165,75,80,0.492403876506,2.99017884575,5.65719089132,1.89192392266,0.16467372084,0.0870403502313
0,90,20,165,75,80,0.492403876506,3.92523134194,5.04364011927,1.28492811758,0.125445823089,0.0976286699412
0,90,30,165,75,80,0.492403876506,4.73888415738,4.27759762831,0.902659251892,0.10390713513,0.115112247409
0,90,40,165,75,80,0.492403876506,5.40673710438,3.38265332341,0.625636730268,0.0910722801941,0.145567348891
0,90,50,165,75,80,0.492403876506,5.90890804035,2.38618456857,0.403828347349,0.0833324656846,0.206356156599
0,90,60,165,75,80,0.492403876506,6.23058749671,1.31850203371,0.211617609801,0.0790300877351,0.373457047404
0,90,70,165,75,80,0.492403876506,6.36243453227,0.211924683155,0.0333087408727,0.0773923682843,2.32348525512
0,90,80,165,75,80,0.492403876506,6.30080831158,0.900187501185,0.142868574422,0.0781493186518,0.547001458983
0,90,90,165,75,80,0.492403876506,6.04783467294,1.98441544711,0.328119989124,0.0814182105058,0.248135478497
0,90,100,165,75,80,0.492403876506,5.61131097729,3.00825155786,0.53610494411,0.0877520206061,0.16368440838
0,90,110,165,75,80,0.492403876506,5.00445581497,3.9410348364,0.787505171813,0.0983930910197,0.124942787097
0,90,120,165,75,80,0.492403876506,4.24551278857,4.7548284996,1.1199656523,0.115982191322,0.103558703862
0,90,130,165,75,80,0.492403876506,3.35721975654,5.42521993033,1.61598594187,0.146670135474,0.0907620120161
0,90,140,165,75,80,0.492403876506,2.36615682189,5.93202455836,2.50702933275,0.208102807029,0.0830077272374
0,90,150,165,75,80,0.492403876506,1.30198818919,6.25987685256,4.80793674208,0.378193812044,0.0786603136298
0,90,160,165,75,80,0.492403876506,0.196614957539,6.39869315764,32.5442847163,2.50440700274,0.0769538192213
0,90,170,165,75,80,0.492403876506,0.916741936778,6.34399279951,6.92015118431,0.537123760517,0.0776173447965
0,90,180,165,75,80,0.492403876506,2.00450706467,6.09706592708,3.04167844281,0.245648361726,0.0807607925509
0,90,190,165,75,80,0.492403876506,3.03374011811,5.6649791677,1.86732513239,0.162309181847,0.0869206861896
0,90,200,165,75,80,0.492403876506,3.97312341033,5.06041351381,1.27366129646,0.123933697913,0.0973050670983
0,90,210,165,75,80,0.492403876506,4.79391887091,4.30133302208,0.897247771167,0.102714269842,0.11447704095
0,90,220,165,75,80,0.492403876506,5.47086480375,3.41048787762,0.623390999406,0.0900047605213,0.144379307059
0,90,230,165,75,80,0.492403876506,5.98298231797,2.41476102521,0.403604907531,0.0823007407238,0.203914122916
0,90,240,165,75,80,0.492403876506,6.31426224085,1.34437365034,0.212910645625,0.0779828042808,0.366270103836
0,90,250,165,75,80,0.492403876506,6.45420567326,0.231970960997,0.0359410549866,0.0762919407025,2.12269619606
0,90,260,165,75,80,0.492403876506,6.3981952348,0.888384439092,0.138849223334,0.0769598079515,0.554268912015
0,90,270,165,75,80,0.492403876506,6.14767941754,1.98227922425,0.32244349284,0.0800958935987,0.248402884156
0,90,280,165,75,80,0.492403876506,5.71015913289,3.01603983424,0.528188403169,0.0862329516651,0.163261728481
0,90,290,165,75,80,0.492403876506,5.09897317454,3.95780823093,0.776197107821,0.0965692227927,0.124413273149
0,90,300,165,75,80,0.492403876506,4.332887503,4.77856389337,1.10285898031,0.113643355883,0.103044321996
0,90,310,165,75,80,0.492403876506,3.43550148512,5.45305448454,1.5872659372,0.143328093042,0.0902987266864
0,90,320,165,75,80,0.492403876506,2.43449197222,5.96060101499,2.44839624982,0.202261450079,0.0826097695967
0,90,330,165,75,80,0.492403876506,1.360722873,6.28574846919,4.61941854136,0.361869331571,0.0783365543371
0,90,340,165,75,80,0.492403876506,0.247253244502,6.41873943549,25.9601828417,1.99149611767,0.076713485795
0,90,350,165,75,80,0.492403876506,0.871719432038,6.3557958616,7.2911026507,0.564865091231,0.0774732051231
0,90,360,165,75,80,0.492403876506,1.96194238131,6.09920214994,3.10875701959,0.25097774593,0.0807325063838
5,85,0,165,75,80,0.534919294216,1.96194238131,6.09920214994,3.10875701959,0.272647810308,0.0877031587191
5,85,10,165,75,80,0.55863399953,2.99017884575,5.65719089132,1.89192392266,0.186822938809,0.0987475958053
5,85,20,165,75,80,0.579969327425,3.92523134194,5.04364011927,1.28492811758,0.147754177245,0.114990228032
5,85,30,165,75,80,0.598307805204,4.73888415738,4.27759762831,0.902659251892,0.126254997028,0.139870052584
5,85,40,165,75,80,0.613143009208,5.40673710438,3.38265332341,0.625636730268,0.113403518124,0.181260966048
5,85,50,165,75,80,0.624088827215,5.90890804035,2.38618456857,0.403828347349,0.105618300869,0.261542562731
5,85,60,165,75,80,0.630883392775,6.23058749671,1.31850203371,0.211617609801,0.101255843547,0.478484959935
5,85,70,165,75,80,0.633388512409,6.36243453227,0.211924683155,0.0333087408727,0.0995512816984,2.98874346763
5,85,80,165,75,80,0.631585631873,6.30080831158,0.900187501185,0.142868574422,0.100238826614,0.701615642343
5,85,90,165,75,80,0.625569457025,6.04783467294,1.98441544711,0.328119989124,0.103436930878,0.315241174894
5,85,100,165,75,80,0.615540260543,5.61131097729,3.00825155786,0.53610494411,0.109696337101,0.204617283064
5,85,110,165,75,80,0.60179568909,5.00445581497,3.9410348364,0.787505171813,0.120251973709,0.152699916157
5,85,120,165,75,80,0.584722574069,4.24551278857,4.7548284996,1.1199656523,0.137727196498,0.12297448249
5,85,130,165,75,80,0.564788891733,3.35721975654,5.42521993033,1.61598594187,0.16823113549,0.104104331066
5,85,140,165,75,80,0.542535668986,2.36615682189,5.93202455836,2.50702933275,0.229289818818,0.0914587698768
5,85,150,165,75,80,0.518568342052,1.30198818919,6.25987685256,4.80793674208,0.398289589996,0.0828400229375
5,85,160,165,75,80,0.493546890072,0.196614957539,6.39869315764,32.5442847163,2.51022046465,0.0771324515667
5,85,170,165,75,80,0.468174014656,0.916741936778,6.34399279951,6.92015118431,0.51069335423,0.0737980053655
5,85,180,165,75,80,0.443180731539,2.00450706467,6.09706592708,3.04167844281,0.221092127511,0.0726875413255
5,85,190,165,75,80,0.41930897473,3.03374011811,5.6649791677,1.86732513239,0.138215192603,0.0740177434581
5,85,200,165,75,80,0.39729116088,3.97312341033,5.06041351381,1.27366129646,0.0999946691431,0.0785096237286
