Strike,Dip,Rake,P,SV,SH,SH/SV,P/SV,P/SH
90,0,-100,-0.37662554304,1.35513533006,-4.42132079647,-3.26264152251,-0.277924672677,0.0851839439792
90,0,-90,-0.210804886774,0.758496483032,-4.6677783982,-6.1539881893,-0.277924672677,0.0451617169433
90,0,45,0.837335362135,-3.01281406242,2.58579285829,-0.858264999006,-0.277924672677,0.323821515498
90,0,0,0.973366138613,-3.50226602495,-1.01091506853,0.288645996999,-0.277924672677,-0.962856493998
90,0,45,0.837335362135,-3.01281406242,2.58579285829,-0.858264999006,-0.277924672677,0.323821515498
90,0,90,0.210804886774,-0.758496483032,4.6677783982,-6.1539881893,-0.277924672677,0.0451617169433
90,0,100,0.0385790306948,-0.138811104186,4.77240791532,-34.380591836,-0.277924672677,0.00808376638782
90,20,-100,-0.638812301419,-0.146864030901,-2.97771777627,20.2753373852,4.34968519862,0.214530841879
90,20,-90,-0.498738504743,-0.682487015228,-3.30353898275,4.84044224877,0.730766290955,0.15097097608
90,20,45,0.953904948748,-1.65627950579,1.2135590354,-0.732701836347,-0.575932350435,0.786039179739
90,20,0,0.850286810992,-3.0248199554,-1.58730733615,0.524760931081,-0.28110328004,-0.535678750818
90,20,45,0.953904948748,-1.65627950579,1.2135590354,-0.732701836347,-0.575932350435,0.786039179739
90,20,90,0.498738504743,0.682487015228,3.30353898275,4.84044224877,0.730766290955,0.15097097608
90,20,100,0.343510790973,1.19737297695,3.52898382891,2.94727198361,0.286887041536,0.0973398597522
90,45,-100,-0.61310619357,-1.60138309123,0.769958573514,-0.4808084822,0.38286041418,-0.796284650447
90,45,-90,-0.524671894052,-1.96570221974,0.423447367073,-0.215417860763,0.26691321238,-1.23904866307
90,45,45,0.763567539828,0.0280358194806,-1.73663496403,-61.9434350844,27.235427891,-0.439682233539
90,45,0,0.55517567656,-1.92605358359,-2.03252535195,1.05527975403,-0.288245187615,-0.273145757334
90,45,45,0.763567539828,0.0280358194806,-1.73663496403,-61.9434350844,27.235427891,-0.439682233539
90,45,90,0.524671894052,1.96570221974,-0.423447367073,-0.215417860763,0.26691321238,-1.23904866307
90,45,100,0.42029570453,2.27029448099,-0.0640699266573,-0.0282209762627,0.185128276552,-6.55995295231
90,60,-100,-0.399880027814,-1.86295206091,3.02759046005,-1.62515747108,0.214648587157,-0.132078639133
90,60,-90,-0.348976745514,-2.08159630008,2.70060537615,-1.29737229839,0.167648619235,-0.129221673257
90,60,45,0.475634368163,0.710352675311,-3.4081908907,-4.79788562661,0.669574965639,-0.139556258266
90,60,0,0.323671828673,-1.07700591259,-2.11930440463,1.96777415969,-0.300529295976,-0.152725501804
