Index,Strike,Dip,Rake,Misfit,Extra
115,170,68,68,0.00910095005636,"[25, 771884, array([-0.97735852,  0.7539858 , -0.28088788]), array([-0.77340972,  0.59088503, -0.22954801])]"
25,10,24,96,0.0117668891215,"[25, 47498, array([-0.98083213,  0.73134229, -0.292403  ]), array([-0.77340972,  0.59088503, -0.22954801])]"
7,2,24,86,0.0122274341886,"[25, 11493, array([-0.98048699,  0.76293527, -0.28166076]), array([-0.77340972,  0.59088503, -0.22954801])]"
126,174,67,74,0.0160980961226,"[25, 789787, array([-0.97873907,  0.75079939, -0.2701884 ]), array([-0.77340972,  0.59088503, -0.22954801])]"
12,4,24,88,0.0236620831663,"[25, 20494, array([-0.97958079,  0.765966  , -0.32098454]), array([-0.77340972,  0.59088503, -0.22954801])]"
21,8,24,94,0.0295729966158,"[25, 38497, array([-0.98107985,  0.74808753, -0.2527346 ]), array([-0.77340972,  0.59088503, -0.22954801])]"
42,146,85,30,0.031313096912,"[25, 665565, array([-0.96921206,  0.79111814, -0.29464923]), array([-0.77340972,  0.59088503, -0.22954801])]"
51,148,83,34,0.031978643157,"[25, 674367, array([-0.97376044,  0.7074483 , -0.31171311]), array([-0.77340972,  0.59088503, -0.22954801])]"
83,158,74,50,0.035927615999,"[25, 718475, array([-0.9757877 ,  0.70061911, -0.31064834]), array([-0.77340972,  0.59088503, -0.22954801])]"
70,154,77,44,0.0363315449429,"[25, 700772, array([-0.97555229,  0.69408369, -0.30152541]), array([-0.77340972,  0.59088503, -0.22954801])]"
91,162,71,56,0.0372974969644,"[25, 736178, array([-0.97327528,  0.79881469, -0.27662892]), array([-0.77340972,  0.59088503, -0.22954801])]"
2,0,24,84,0.0386359142765,"[25, 2492, array([-0.98145499,  0.75425454, -0.24200603]), array([-0.77340972,  0.59088503, -0.22954801])]"
34,144,88,26,0.0398991048894,"[25, 656863, array([-0.96809144,  0.80199019, -0.31123739]), array([-0.77340972,  0.59088503, -0.22954801])]"
75,156,75,46,0.0431619054244,"[25, 709573, array([-0.96998917,  0.79306293, -0.33410404]), array([-0.77340972,  0.59088503, -0.22954801])]"
29,12,24,98,0.0445212600706,"[25, 56499, array([-0.98062834,  0.70899721, -0.33236374]), array([-0.77340972,  0.59088503, -0.22954801])]"
35,144,88,28,0.0492030631902,"[25, 656864, array([-0.97606569,  0.68713294, -0.24256319]), array([-0.77340972,  0.59088503, -0.22954801])]"
56,150,80,38,0.0503110379352,"[25, 683069, array([-0.97297322,  0.76447719, -0.22911109]), array([-0.77340972,  0.59088503, -0.22954801])]"
76,156,75,48,0.0503259646373,"[25, 709574, array([-0.97671969,  0.71991555, -0.22605504]), array([-0.77340972,  0.59088503, -0.22954801])]"
16,6,24,90,0.0516581856595,"[25, 29495, array([-0.97873876,  0.76333966, -0.36009408]), array([-0.77340972,  0.59088503, -0.22954801])]"
61,152,78,40,0.0531569102421,"[25, 691870, array([-0.96842634,  0.82623748, -0.28942045]), array([-0.77340972,  0.59088503, -0.22954801])]"
102,166,69,62,0.0550720710819,"[25, 753981, array([-0.97353851,  0.82544824, -0.26906634]), array([-0.77340972,  0.59088503, -0.22954801])]"
133,176,67,76,0.0571184866658,"[25, 798788, array([-0.97966905,  0.68873338, -0.33647925]), array([-0.77340972,  0.59088503, -0.22954801])]"
97,164,70,58,0.0572757746141,"[25, 745079, array([-0.970754  ,  0.82577926, -0.33611546]), array([-0.77340972,  0.59088503, -0.22954801])]"
136,178,66,80,0.0573891122571,"[25, 807690, array([-0.97758208,  0.81884945, -0.25132255]), array([-0.77340972,  0.59088503, -0.22954801])]"
111,168,69,66,0.059364957857,"[25, 762983, array([-0.98098832,  0.675135  , -0.23812646]), array([-0.77340972,  0.59088503, -0.22954801])]"
17,6,24,92,0.0616916339192,"[25, 29496, array([-0.9813809 ,  0.75920172, -0.21324855]), array([-0.77340972,  0.59088503, -0.22954801])]"
48,148,82,34,0.062929796981,"[25, 674267, array([-0.96928184,  0.81594516, -0.24230126]), array([-0.77340972,  0.59088503, -0.22954801])]"
98,164,70,60,0.0633542481358,"[25, 745080, array([-0.97644119,  0.77843399, -0.21637897]), array([-0.77340972,  0.59088503, -0.22954801])]"
110,168,69,64,0.0634715145853,"[25, 762982, array([-0.97605769,  0.71251325, -0.36256836]), array([-0.77340972,  0.59088503, -0.22954801])]"
119,172,67,70,0.0637686842877,"[25, 780785, array([-0.97289605,  0.84714136, -0.32347534]), array([-0.77340972,  0.59088503, -0.22954801])]"
64,152,79,40,0.0638727995161,"[25, 691970, array([-0.97321023,  0.70269961, -0.35808382]), array([-0.77340972,  0.59088503, -0.22954801])]"
86,160,72,52,0.0643615946127,"[25, 727276, array([-0.96885374,  0.84375603, -0.32523596]), array([-0.77340972,  0.59088503, -0.22954801])]"
43,146,85,32,0.0662805664905,"[25, 665566, array([-0.97687059,  0.68362383, -0.21631281]), array([-0.77340972,  0.59088503, -0.22954801])]"
59,150,81,38,0.0684042815988,"[25, 683169, array([-0.97736856,  0.64664082, -0.29897753]), array([-0.77340972,  0.59088503, -0.22954801])]"
105,166,70,62,0.0685071321716,"[25, 754081, array([-0.97925824,  0.65503441, -0.31710385]), array([-0.77340972,  0.59088503, -0.22954801])]"
