Index,Strike,Dip,Rake,Misfit,Extra
4938,166,49,-94,0.00128933261812,"[25, 751903, array([ 0.7283635 , -3.65411101,  0.00454759]), array([ 0.19507396, -0.98078853,  0.        ])]"
5956,172,49,-80,0.00149393405721,"[25, 778910, array([  7.22859327e-01,  -3.66043607e+00,  -2.28622737e-03]), array([ 0.19507396, -0.98078853,  0.        ])]"
995,14,47,-62,0.00392330579243,"[25, 67719, array([  7.01084041e-01,  -3.59652474e+00,  -3.37869784e-03]), array([ 0.19507396, -0.98078853,  0.        ])]"
2962,34,69,-36,0.00426186895217,"[25, 159932, array([ 0.62143593, -3.1513549 , -0.01264262]), array([ 0.19507396, -0.98078853,  0.        ])]"
849,12,46,-64,0.00457184514349,"[25, 58618, array([ 0.70732881, -3.60023237, -0.01441906]), array([ 0.19507396, -0.98078853,  0.        ])]"
2654,32,64,-40,0.00477281907353,"[25, 150430, array([ 0.63869111, -3.24031179,  0.01470434]), array([ 0.19507396, -0.98078853,  0.        ])]"
1143,16,48,-60,0.00541076782003,"[25, 76820, array([ 0.69646474, -3.57829446,  0.01286998]), array([ 0.19507396, -0.98078853,  0.        ])]"
4693,164,49,-98,0.0055789175501,"[25, 742901, array([ 0.72518592, -3.66016669, -0.02063458]), array([ 0.19507396, -0.98078853,  0.        ])]"
706,10,45,-66,0.00590565428976,"[25, 49517, array([ 0.71518209, -3.58922059, -0.02157578]), array([ 0.19507396, -0.98078853,  0.        ])]"
6997,178,50,-66,0.00610860969304,"[25, 806017, array([ 0.71513746, -3.55262042, -0.02049178]), array([ 0.19507396, -0.98078853,  0.        ])]"
3472,36,76,-30,0.00708271639335,"[25, 169635, array([ 0.61293726, -2.9768716 ,  0.00671702]), array([ 0.19507396, -0.98078853,  0.        ])]"
2189,28,58,-46,0.00723668783943,"[25, 131827, array([ 0.65636784, -3.3837059 ,  0.01886794]), array([ 0.19507396, -0.98078853,  0.        ])]"
3492,36,77,-30,0.00724368297783,"[25, 169735, array([ 0.60043807, -2.99716654, -0.02173377]), array([ 0.19507396, -0.98078853,  0.        ])]"
1992,26,56,-48,0.00739753797057,"[25, 122626, array([ 0.66625904, -3.42869797, -0.02075488]), array([ 0.19507396, -0.98078853,  0.        ])]"
1797,24,53,-50,0.00747504561846,"[25, 113325, array([  6.96186244e-01,  -3.36904709e+00,   2.45538943e-03]), array([ 0.19507396, -0.98078853,  0.        ])]"
5599,170,49,-84,0.00747520030454,"[25, 769908, array([ 0.7270439 , -3.65370672, -0.02784619]), array([ 0.19507396, -0.98078853,  0.        ])]"
6309,174,49,-76,0.00755326337477,"[25, 787912, array([ 0.71653155, -3.67166774,  0.02483348]), array([ 0.19507396, -0.98078853,  0.        ])]"
3471,36,76,-32,0.00773699630105,"[25, 169634, array([ 0.58506133, -3.06008891, -0.0068112 ]), array([ 0.19507396, -0.98078853,  0.        ])]"
