Index,Strike,Dip,Rake,Misfit,Extra
6663,14,1,74,0.00409580766834,"[25, 63187, array([-0.91404543, -2.72691095,  0.00375981]), array([-0.31413278, -0.94937906,  0.        ])]"
7597,16,1,76,0.0041029718874,"[25, 72188, array([ -9.14170153e-01,  -2.72539307e+00,   9.17875153e-04]), array([-0.31413278, -0.94937906,  0.        ])]"
5734,12,1,72,0.00430234728575,"[25, 54186, array([-0.91390369, -2.72862801,  0.00657614]), array([-0.31413278, -0.94937906,  0.        ])]"
8529,18,1,78,0.00432512701441,"[25, 81189, array([ -9.14277730e-01,  -2.72407630e+00,  -1.94635039e-03]), array([-0.31413278, -0.94937906,  0.        ])]"
4802,10,1,70,0.00469171165365,"[25, 45185, array([-0.91374507, -2.73054207,  0.00936357]), array([-0.31413278, -0.94937906,  0.        ])]"
9468,20,1,80,0.0047336351025,"[25, 90190, array([-0.91436805, -2.72296232, -0.00482953]), array([-0.31413278, -0.94937906,  0.        ])]"
3868,8,1,68,0.00522017890407,"[25, 36184, array([-0.91356974, -2.7326507 ,  0.01211884]), array([-0.31413278, -0.94937906,  0.        ])]"
10415,22,1,82,0.00528629669815,"[25, 99191, array([-0.91444104, -2.72205255, -0.00772829]), array([-0.31413278, -0.94937906,  0.        ])]"
2930,6,1,66,0.00584705398274,"[25, 27183, array([-0.91337787, -2.73495122,  0.0148387 ]), array([-0.31413278, -0.94937906,  0.        ])]"
11373,24,1,84,0.00594327807115,"[25, 108192, array([-0.9144966 , -2.72134814, -0.01063928]), array([-0.31413278, -0.94937906,  0.        ])]"
1981,4,1,64,0.0065409475524,"[25, 18182, array([-0.91316965, -2.73744071,  0.01751997]), array([-0.31413278, -0.94937906,  0.        ])]"
12330,26,1,86,0.00667361678237,"[25, 117193, array([-0.9145347 , -2.72084999, -0.0135591 ]), array([-0.31413278, -0.94937906,  0.        ])]"
5662,10,88,-78,0.00718091567586,"[25, 53811, array([-0.89945695, -2.65677189, -0.00560349]), array([-0.31413278, -0.94937906,  0.        ])]"
1021,2,1,62,0.0072795523176,"[25, 9181, array([-0.91294531, -2.74011601,  0.02015948]), array([-0.31413278, -0.94937906,  0.        ])]"
13292,28,1,88,0.0074551848022,"[25, 126194, array([-0.91455529, -2.72055874, -0.01648436]), array([-0.31413278, -0.94937906,  0.        ])]"
22935,46,89,-100,0.00790320091368,"[25, 215900, array([ -9.04952844e-01,  -2.66418317e+00,   1.94190526e-04]), array([-0.31413278, -0.94937906,  0.        ])]"
45,0,1,60,0.0080474179106,"[25, 180, array([-0.91270506, -2.74297373,  0.02275411]), array([-0.31413278, -0.94937906,  0.        ])]"
14261,30,1,90,0.00827257355953,"[25, 135195, array([-0.91455835, -2.72047475, -0.01941166]), array([-0.31413278, -0.94937906,  0.        ])]"
8480,16,89,-82,0.0083283253156,"[25, 80909, array([-0.8981165 , -2.78968098, -0.00592573]), array([-0.31413278, -0.94937906,  0.        ])]"
15233,32,1,92,0.00911500754484,"[25, 144196, array([-0.91454388, -2.72059814, -0.02233762]), array([-0.31413278, -0.94937906,  0.        ])]"
852,0,84,-72,0.00955743866668,"[25, 8414, array([-0.88021077, -2.58270206,  0.00935474]), array([-0.31413278, -0.94937906,  0.        ])]"
16207,34,1,94,0.00997480279277,"[25, 153197, array([-0.9145119 , -2.72092874, -0.02525882]), array([-0.31413278, -0.94937906,  0.        ])]"
3751,6,86,-76,0.0107113893259,"[25, 35612, array([-0.88223   , -2.73466371, -0.02204746]), array([-0.31413278, -0.94937906,  0.        ])]"
17178,36,1,96,0.0108463314103,"[25, 162198, array([-0.91446243, -2.72146613, -0.02817187]), array([-0.31413278, -0.94937906,  0.        ])]"
6593,12,88,-80,0.0114546553155,"[25, 62810, array([-0.89071546, -2.78551328,  0.01606592]), array([-0.31413278, -0.94937906,  0.        ])]"
18149,38,1,98,0.0117253473021,"[25, 171199, array([-0.91439553, -2.72220964, -0.03107339]), array([-0.31413278, -0.94937906,  0.        ])]"
