Strike,Dip,Rake,P,SV,SH,SH/SV,P/SV,P/SH,Plunge P,Plunge S,Ratio1,Ratio2,Ratio3,Sum
50,45,-10,0.993029482306,-0.299755743037,0.361476439568,-1.20590329948,-3.31279551893,2.74714856518,62.631608935,64.0344175574,0.0371490608053,0.194540726991,0.0823524579191,0.314042245715
50,50,-10,0.983329076676,-0.650972529787,0.289517944194,-0.444746791833,-1.51055387391,3.3964356835,62.631608935,64.0344175574,0.0714240238335,0.0223379681838,0.122318070228,0.216080062245
50,55,0,0.990091522802,-0.32839144361,0.532973472845,-1.62298221594,-3.0149735691,1.85767504997,62.631608935,64.0344175574,0.110793844146,0.171371188627,0.0202361232835,0.302401156056
50,60,0,0.982328271205,-0.61983806054,0.388291851392,-0.626440801414,-1.58481437934,2.52987094034,62.631608935,64.0344175574,0.0158998946778,0.0293559229795,0.0674166823272,0.112672499984
50,65,0,0.967088908318,-0.90656733556,0.240655094492,-0.265457495602,-1.06675904854,4.01856819345,62.631608935,64.0344175574,0.181694478276,0.000356384198065,0.153808552281,0.335859414755
160,65,-100,0.893869235285,-1.40401338103,1.51150472704,-1.07656005809,-0.636652931775,0.59137706902,62.631608935,64.0344175574,0.0186378893078,0.0727010367289,0.160533115944,0.251872041981
165,60,-100,0.864074767433,-2.24899345443,1.14383847836,-0.508600181162,-0.384205105502,0.755416768873,62.631608935,64.0344175574,0.0463219949634,0.220665083131,0.0828069613332,0.349794039428
165,65,-100,0.930031166397,-1.36401941675,1.04517284991,-0.766244847451,-0.681831325109,0.889834792857,62.631608935,64.0344175574,0.00101840810386,0.0567099608275,0.0430771394831,0.100805508414
165,65,-90,0.891322845058,-1.1105832125,1.55194043444,-1.39741031286,-0.802571869471,0.574327999502,62.631608935,64.0344175574,0.069665043048,0.025683014228,0.170892711799,0.266240769075
165,70,-100,0.968918963776,-0.443756314465,0.90374605453,-2.036581847,-2.183448285,1.07211418398,62.631608935,64.0344175574,0.183723622684,0.0928728442695,0.0131181462586,0.289714613212
