Strike,Dip,Rake,Sum
2,14,-80,0.00295879820085
2,14,100,0.00295879820085
6,14,-75,0.0036621332346
10,24,-70,0.00407839832961
14,24,-65,0.00264621309761
16,14,-85,0.00413791070999
16,14,95,0.00413791070999
20,14,-80,0.00334043636052
20,14,100,0.00334043636052
22,24,-75,0.00138655419705
22,26,-55,0.000745235684482
28,16,-45,0.00323733507693
30,28,-45,0.00350883112079
34,16,-60,0.00201505898834
36,32,-35,0.00104087336611
42,18,-50,0.00196203941973
42,22,-25,0.00389671997345
42,38,-25,0.000326487039355
44,42,-20,0.00207701586434
44,80,15,0.00167806666716
46,46,-15,0.000436321524227
46,74,10,0.00165343863986
48,20,-40,0.00153101114318
48,26,-15,0.00154168144442
48,56,-5,0.00022582847379
48,62,0,0.000220026531227
48,82,45,0.00294448222931
48,88,25,0.00399642426256
50,28,-10,0.000412075719404
50,62,25,0.00330919962993
50,84,20,0.00267870414332
52,32,-5,0.00167020528627
52,56,20,0.00115901297335
54,24,-30,0.00264994789239
54,40,5,0.00127959217492
54,44,10,0.000998534103061
56,26,-25,0.000303301887693
56,52,-15,0.00345713500126
56,56,-10,0.000150512053756
56,60,-5,0.00142381357991
56,62,-5,0.0027841151061
58,28,-20,0.000717074617417
58,64,25,0.000121213829265
62,38,-5,0.00246978560494
62,42,0,0.000935467320763
62,46,5,0.000572672734929
62,50,10,0.00269681073405
144,82,40,0.000202896193758
148,86,60,0.00331824928136
154,88,50,0.00349285199762
158,76,45,0.00243671055572
162,70,70,0.00346445903851
164,78,-100,0.000770916344698
164,78,80,0.000770916344698
168,68,-100,0.000546971850935
168,68,80,0.000546971850935
168,80,65,0.00242201387409
172,78,70,0.000574746278559
174,76,-90,0.00318116315054
174,76,90,0.00318116315054
176,68,70,0.000281782943586
178,76,-85,0.000350231898021
178,76,95,0.000350231898021
