Strike,Dip,Rake,Sum
14,14,-45,0.000521246896952
14,28,-50,0.000664892606025
30,18,-25,0.00032813145834
30,82,40,0.000532593193496
32,14,-75,0.000762276345183
38,30,-60,4.63208964776e-05
38,54,-10,0.00051000502577
38,74,5,0.000627343341155
42,16,-60,0.000262316899788
42,26,-5,0.000274306838378
42,32,-55,0.000259712667906
44,28,0,0.000739329172333
46,38,10,0.000691099929933
46,44,15,0.00036448378764
50,82,50,0.000284042204991
50,88,20,0.000757694511149
52,20,-45,0.000697275105978
52,42,-35,0.000763322024825
54,46,-30,0.000335733551633
56,68,-5,0.000556227937428
62,58,20,0.000176930194041
64,40,-5,0.000530552766971
136,88,65,0.000468137921461
138,78,45,0.000624910107715
140,76,50,7.41222515352e-05
142,74,55,0.000218562252196
150,82,25,0.000208335118947
154,78,-95,0.000659288003324
154,78,85,0.000659288003324
164,70,45,9.4312520187e-05
168,68,50,0.000257982821976
168,76,-80,2.78549679308e-05
168,76,100,2.78549679308e-05
