Strike,Dip,Rake,Sum
4,78,45,7.01072173147e-05
6,2,-15,9.15225835278e-05
6,76,45,8.57725618031e-05
8,52,-30,5.70341347009e-05
10,2,-10,8.17497269342e-05
12,58,-25,2.86892069539e-05
18,86,-10,0.000101603581158
20,2,0,5.8110408736e-05
22,34,-90,8.71947714629e-06
22,34,90,8.71947714629e-06
24,2,5,5.48162519605e-05
32,44,40,0.00015811103779
34,4,15,7.46309859987e-05
36,38,40,0.000102950355982
38,2,-95,8.08850244029e-05
38,2,85,8.08850244029e-05
38,4,20,2.42172754561e-05
38,34,40,0.000109516455316
42,4,25,0.000152676554363
42,6,25,5.7699496563e-05
42,28,40,2.13463255574e-05
44,24,40,2.26763606005e-05
46,6,30,1.95258786214e-05
46,20,40,0.000159292051006
48,2,-85,6.30434964948e-06
48,2,95,6.30434964948e-06
48,10,35,8.99680735049e-05
50,6,35,0.000169561048038
54,82,-100,9.04637586942e-05
54,82,-25,0.000154946941273
54,82,80,9.04637586942e-05
58,2,-75,8.71859525273e-05
62,70,65,9.47256936421e-05
64,2,-70,8.32092775164e-05
64,66,60,0.000102857626327
68,56,40,0.00011169192213
68,58,45,2.01275306393e-05
76,4,-55,0.000141793909384
78,32,-15,7.66410033907e-05
78,34,-10,0.000115947172696
80,6,-50,8.20182383011e-05
82,8,-45,0.000141940080372
84,12,-40,3.77919233468e-05
104,90,-15,3.11912596729e-05
106,84,-5,0.000147475771951
112,74,20,0.000125971676699
112,88,-90,0.000126107562436
112,88,90,0.000126107562436
118,66,45,0.000115501141296
124,82,-80,8.22816866294e-05
124,82,100,8.22816866294e-05
126,60,70,0.000120464302673
130,58,-100,0.000111924545193
130,58,80,0.000111924545193
130,80,-75,4.19707842898e-05
132,80,-75,0.00012653990407
134,56,-90,5.22997904969e-05
134,56,90,5.22997904969e-05
138,54,-80,6.2158292487e-05
138,54,100,6.2158292487e-05
142,74,0,8.89505592784e-05
144,80,-65,0.000145164304134
146,52,-65,9.39170820996e-05
146,80,-65,5.83222592116e-05
150,52,-60,3.84719677511e-05
154,52,-55,0.000114970207576
154,82,-60,3.97258676541e-05
156,58,20,1.88077885662e-05
160,56,25,7.89806733644e-05
164,54,30,3.31130156943e-05
172,52,40,2.63943467104e-05
172,86,55,0.000132209222855
178,52,50,0.000107404128299
